sentence_id	token_id	token	surprisal
1	1	<|endoftext|>	0.0
1	2	The	4.729313
1	3	Ġassistant	14.661116
1	4	Ġknew	16.348918
1	5	Ġwho	6.747474
1	6	Ġthe	3.798539
1	7	Ġsecretary	10.22481
1	8	Ġimpressed	22.871824
1	9	Ġat	6.1039
1	10	Ġthe	1.729074
1	11	Ġmeeting	5.90786
1	12	.	1.878355
1	13	<|endoftext|>	7.534783
2	1	<|endoftext|>	0.0
2	2	The	4.729313
2	3	Ġassistant	14.661116
2	4	Ġknew	16.348932
2	5	Ġwho	6.747474
2	6	Ġthe	3.798539
2	7	Ġsecretary	10.224807
2	8	Ġimpressed	22.871823
2	9	Ġthe	6.622082
2	10	Ġdirector	6.479472
2	11	Ġat	6.538787
2	12	Ġthe	1.233232
2	13	Ġmeeting	6.907514
2	14	.	1.737675
2	15	<|endoftext|>	7.36529
3	1	<|endoftext|>	0.0
3	2	The	4.729313
3	3	Ġassistant	14.661116
3	4	Ġknew	16.348918
3	5	Ġthat	3.218776
3	6	Ġthe	3.439892
3	7	Ġsecretary	11.326484
3	8	Ġimpressed	19.580878
3	9	Ġat	8.153907
3	10	Ġthe	2.52279
3	11	Ġmeeting	5.645833
3	12	.	2.259967
3	13	<|endoftext|>	7.972755
4	1	<|endoftext|>	0.0
4	2	The	4.729313
4	3	Ġassistant	14.661116
4	4	Ġknew	16.348932
4	5	Ġthat	3.218776
4	6	Ġthe	3.439892
4	7	Ġsecretary	11.326484
4	8	Ġimpressed	19.580871
4	9	Ġthe	4.123414
4	10	Ġdirector	5.947543
4	11	Ġat	6.859876
4	12	Ġthe	1.569439
4	13	Ġmeeting	6.270807
4	14	.	2.035162
4	15	<|endoftext|>	7.675943
5	1	<|endoftext|>	0.0
5	2	The	4.729281
5	3	Ġassistant	14.661097
5	4	Ġknew	16.348909
5	5	Ġwho	6.747629
5	6	Ġthe	3.798587
5	7	Ġsecurity	11.535352
5	8	Ġguard	1.861078
5	9	Ġsaid	10.122579
5	10	Ġthe	5.823729
5	11	Ġsecretary	11.199588
5	12	Ġimpressed	20.114836
5	13	Ġat	6.566133
5	14	Ġthe	2.19879
5	15	Ġmeeting	3.542662
5	16	.	1.305345
5	17	<|endoftext|>	6.334879
6	1	<|endoftext|>	0.0
6	2	The	4.729281
6	3	Ġassistant	14.661097
6	4	Ġknew	16.348909
6	5	Ġwho	6.747629
6	6	Ġthe	3.798587
6	7	Ġsecurity	11.535352
6	8	Ġguard	1.861078
6	9	Ġsaid	10.122579
6	10	Ġthe	5.823729
6	11	Ġsecretary	11.199588
6	12	Ġimpressed	20.114836
6	13	Ġthe	7.291377
6	14	Ġdirector	6.034571
6	15	Ġat	6.168313
6	16	Ġthe	1.218082
6	17	Ġmeeting	5.236651
6	18	.	1.121295
6	19	<|endoftext|>	6.203988
7	1	<|endoftext|>	0.0
7	2	The	4.729281
7	3	Ġassistant	14.661097
7	4	Ġknew	16.348909
7	5	Ġthat	3.218776
7	6	Ġthe	3.439831
7	7	Ġsecurity	10.229972
7	8	Ġguard	3.180852
7	9	Ġsaid	8.914582
7	10	Ġthe	3.803254
7	11	Ġsecretary	11.037679
7	12	Ġimpressed	17.898302
7	13	Ġat	9.312582
7	14	Ġthe	2.360989
7	15	Ġmeeting	4.837613
7	16	.	1.985529
7	17	<|endoftext|>	6.668255
8	1	<|endoftext|>	0.0
8	2	The	4.729281
8	3	Ġassistant	14.661097
8	4	Ġknew	16.348909
8	5	Ġthat	3.218776
8	6	Ġthe	3.439831
8	7	Ġsecurity	10.229972
8	8	Ġguard	3.180852
8	9	Ġsaid	8.914582
8	10	Ġthe	3.803254
8	11	Ġsecretary	11.037679
8	12	Ġimpressed	17.898302
8	13	Ġthe	4.72873
8	14	Ġdirector	6.363212
8	15	Ġat	6.903605
8	16	Ġthe	1.385764
8	17	Ġmeeting	4.735511
8	18	.	1.633376
8	19	<|endoftext|>	6.588498
9	1	<|endoftext|>	0.0
9	2	The	4.729281
9	3	Ġassistant	14.661097
9	4	Ġknew	16.348909
9	5	Ġwho	6.747629
9	6	Ġthe	3.798587
9	7	Ġsecurity	11.535352
9	8	Ġguard	1.861078
9	9	Ġsaid	10.122579
9	10	Ġhis	7.988609
9	11	Ġmanager	10.784096
9	12	Ġbelieved	8.433873
9	13	Ġthe	7.776745
9	14	Ġsecretary	11.807971
9	15	Ġimpressed	20.082893
9	16	Ġat	5.907774
9	17	Ġthe	2.341246
9	18	Ġmeeting	3.920311
9	19	.	1.05678
9	20	<|endoftext|>	6.189348
10	1	<|endoftext|>	0.0
10	2	The	4.729281
10	3	Ġassistant	14.661097
10	4	Ġknew	16.348909
10	5	Ġwho	6.747629
10	6	Ġthe	3.798587
10	7	Ġsecurity	11.535352
10	8	Ġguard	1.861078
10	9	Ġsaid	10.122579
10	10	Ġhis	7.988609
10	11	Ġmanager	10.784096
10	12	Ġbelieved	8.433873
10	13	Ġthe	7.776745
10	14	Ġsecretary	11.807971
10	15	Ġimpressed	20.082893
10	16	Ġthe	6.694172
10	17	Ġdirector	6.601313
10	18	Ġat	5.57
10	19	Ġthe	1.352793
10	20	Ġmeeting	5.787449
10	21	.	0.870964
10	22	<|endoftext|>	6.089278
11	1	<|endoftext|>	0.0
11	2	The	4.729281
11	3	Ġassistant	14.661097
11	4	Ġknew	16.348909
11	5	Ġthat	3.218776
11	6	Ġthe	3.439831
11	7	Ġsecurity	10.229972
11	8	Ġguard	3.180852
11	9	Ġsaid	8.914582
11	10	Ġhis	6.105785
11	11	Ġmanager	12.000982
11	12	Ġbelieved	8.238292
11	13	Ġthe	2.533421
11	14	Ġsecretary	11.739478
11	15	Ġimpressed	18.223476
11	16	Ġat	7.710845
11	17	Ġthe	2.285626
11	18	Ġmeeting	3.670862
11	19	.	1.418766
11	20	<|endoftext|>	6.55792
12	1	<|endoftext|>	0.0
12	2	The	4.729281
12	3	Ġassistant	14.661097
12	4	Ġknew	16.348909
12	5	Ġthat	3.218776
12	6	Ġthe	3.439831
12	7	Ġsecurity	10.229972
12	8	Ġguard	3.180852
12	9	Ġsaid	8.914582
12	10	Ġhis	6.105785
12	11	Ġmanager	12.000982
12	12	Ġbelieved	8.238292
12	13	Ġthe	2.533421
12	14	Ġsecretary	11.739478
12	15	Ġimpressed	18.223476
12	16	Ġthe	3.819975
12	17	Ġdirector	6.657335
12	18	Ġat	6.107353
12	19	Ġthe	1.427351
