sentence_id,token_id,token,surprisal
0,0,the,2.46696
0,1,assistant,15.2034
0,2,knew,15.6583
0,3,who,6.5865
0,4,impressed,13.5162
0,5,the,4.71827
0,6,director,12.3383
0,7,at,6.47196
0,8,the,1.8512
0,9,meeting,10.3209
0,10,.,4.36052
0,11,</s>,24.3093
1,0,the,2.46696
1,1,assistant,15.2034
1,2,knew,15.6583
1,3,who,6.5865
1,4,the,4.19838
1,5,secretary,12.9498
1,6,impressed,17.8356
1,7,the,3.86737
1,8,director,12.3383
1,9,at,6.47196
1,10,the,1.8512
1,11,meeting,10.3209
1,12,.,4.36052
1,13,</s>,24.3093
2,0,the,2.46696
2,1,assistant,15.2034
2,2,knew,15.6583
2,3,that,3.27732
2,4,impressed,15.3592
2,5,the,1.92461
2,6,director,12.3383
2,7,at,6.47196
2,8,the,1.8512
2,9,meeting,10.3209
2,10,.,4.36052
2,11,</s>,24.3093
3,0,the,2.46696
3,1,assistant,15.2034
3,2,knew,15.6583
3,3,that,3.27732
3,4,the,3.23771
3,5,secretary,12.5664
3,6,impressed,18.7121
3,7,the,3.86737
3,8,director,12.3383
3,9,at,6.47196
3,10,the,1.8512
3,11,meeting,10.3209
3,12,.,4.36052
3,13,</s>,24.3093
4,0,the,2.46696
4,1,assistant,15.2034
4,2,knew,15.6583
4,3,who,6.5865
4,4,the,4.19838
4,5,security,12.3762
4,6,guard,6.83755
4,7,said,11.4595
4,8,impressed,17.3005
4,9,the,3.86737
4,10,director,12.3383
4,11,at,6.47196
4,12,the,1.8512
4,13,meeting,10.3209
4,14,.,4.36052
4,15,</s>,24.3093
5,0,the,2.46696
5,1,assistant,15.2034
5,2,knew,15.6583
5,3,who,6.5865
5,4,the,4.19838
5,5,security,12.3762
5,6,guard,6.83755
5,7,said,11.4595
5,8,the,4.51729
5,9,secretary,13.1325
5,10,impressed,17.8356
5,11,the,3.86737
5,12,director,12.3383
5,13,at,6.47196
5,14,the,1.8512
5,15,meeting,10.3209
5,16,.,4.36052
5,17,</s>,24.3093
6,0,the,2.46696
6,1,assistant,15.2034
6,2,knew,15.6583
6,3,that,3.27732
6,4,the,3.23771
6,5,security,11.7785
6,6,guard,7.46344
6,7,said,11.4595
6,8,impressed,17.3005
6,9,the,3.86737
6,10,director,12.3383
6,11,at,6.47196
6,12,the,1.8512
6,13,meeting,10.3209
6,14,.,4.36052
6,15,</s>,24.3093
7,0,the,2.46696
7,1,assistant,15.2034
7,2,knew,15.6583
7,3,that,3.27732
7,4,the,3.23771
7,5,security,11.7785
7,6,guard,7.46344
7,7,said,11.4595
7,8,the,4.51729
7,9,secretary,13.1325
7,10,impressed,17.8356
7,11,the,3.86737
7,12,director,12.3383
7,13,at,6.47196
7,14,the,1.8512
7,15,meeting,10.3209
7,16,.,4.36052
7,17,</s>,24.3093
8,0,the,2.46696
8,1,assistant,15.2034
8,2,knew,15.6583
8,3,who,6.5865
8,4,the,4.19838
8,5,security,12.3762
8,6,guard,6.83755
8,7,said,11.4595
8,8,his,6.83762
8,9,manager,11.8836
8,10,believed,14.5891
8,11,impressed,17.2437
8,12,the,3.86737
8,13,director,12.3383
8,14,at,6.47196
8,15,the,1.8512
8,16,meeting,10.3209
8,17,.,4.36052
8,18,</s>,24.3093
9,0,the,2.46696
9,1,assistant,15.2034
9,2,knew,15.6583
9,3,who,6.5865
9,4,the,4.19838
9,5,security,12.3762
9,6,guard,6.83755
9,7,said,11.4595
9,8,his,6.83762
9,9,manager,11.8836
9,10,believed,14.5891
9,11,the,3.87627
9,12,secretary,12.8324
9,13,impressed,17.8356
9,14,the,3.86737
9,15,director,12.3383
9,16,at,6.47196
9,17,the,1.8512
9,18,meeting,10.3209
9,19,.,4.36052
9,20,</s>,24.3093
10,0,the,2.46696
10,1,assistant,15.2034
10,2,knew,15.6583
10,3,that,3.27732
10,4,the,3.23771
10,5,security,11.7785
10,6,guard,7.46344
10,7,said,11.4595
10,8,his,6.83762
10,9,manager,11.8836
10,10,believed,14.5891
10,11,impressed,17.2437
10,12,the,3.86737
10,13,director,12.3383
10,14,at,6.47196
10,15,the,1.8512
10,16,meeting,10.3209
10,17,.,4.36052
10,18,</s>,24.3093
11,0,the,2.46696
11,1,assistant,15.2034
11,2,knew,15.6583
11,3,that,3.27732
11,4,the,3.23771
11,5,security,11.7785
11,6,guard,7.46344
11,7,said,11.4595
11,8,his,6.83762
11,9,manager,11.8836
11,10,believed,14.5891
11,11,the,3.87627
11,12,secretary,12.8324
11,13,impressed,17.8356
11,14,the,3.86737
11,15,director,12.3383
11,16,at,6.47196
11,17,the,1.8512
11,18,meeting,10.3209
11,19,.,4.36052
11,20,</s>,24.3093
12,0,the,2.46696
12,1,assistant,15.2034
12,2,knew,15.6583
12,3,who,6.5865
12,4,the,4.19838
12,5,security,12.3762
12,6,guard,6.83755
12,7,said,11.4595
12,8,his,6.83762
12,9,manager,11.8836
12,10,believed,14.5891
12,11,the,3.87627
12,12,junior,13.3061
12,13,associate,11.452
12,14,claimed,13.4449
12,15,impressed,17.2359
12,16,the,3.86737
12,17,director,12.3383
12,18,at,6.47196
12,19,the,1.8512
12,20,meeting,10.3209
12,21,.,4.36052
12,22,</s>,24.3093
13,0,the,2.46696
13,1,assistant,15.2034
13,2,knew,15.6583
13,3,who,6.5865
13,4,the,4.19838
13,5,security,12.3762
13,6,guard,6.83755
13,7,said,11.4595
13,8,his,6.83762
13,9,manager,11.8836
13,10,believed,14.5891
13,11,the,3.87627
13,12,junior,13.3061
13,13,associate,11.452
13,14,claimed,13.4449
13,15,the,3.86294
13,16,secretary,13.0899
13,17,impressed,17.8356
13,18,the,3.86737
13,19,director,12.3383
13,20,at,6.47196
13,21,the,1.8512
13,22,meeting,10.3209
13,23,.,4.36052
13,24,</s>,24.3093
14,0,the,2.46696
14,1,assistant,15.2034
14,2,knew,15.6583
14,3,that,3.27732
14,4,the,3.23771
14,5,security,11.7785
14,6,guard,7.46344
14,7,said,11.4595
14,8,his,6.83762
14,9,manager,11.8836
14,10,believed,14.5891
14,11,the,3.87627
14,12,junior,13.3061
14,13,associate,11.452
14,14,claimed,13.4449
14,15,impressed,17.2359
14,16,the,3.86737
14,17,director,12.3383
14,18,at,6.47196
14,19,the,1.8512
14,20,meeting,10.3209
14,21,.,4.36052
14,22,</s>,24.3093
15,0,the,2.46696
15,1,assistant,15.2034
15,2,knew,15.6583
15,3,that,3.27732
15,4,the,3.23771
15,5,security,11.7785
15,6,guard,7.46344
15,7,said,11.4595
15,8,his,6.83762
15,9,manager,11.8836
15,10,believed,14.5891
15,11,the,3.87627
15,12,junior,13.3061
15,13,associate,11.452
15,14,claimed,13.4449
15,15,the,3.86294
15,16,secretary,13.0899
15,17,impressed,17.8356
15,18,the,3.86737
15,19,director,12.3383
15,20,at,6.47196
15,21,the,1.8512
15,22,meeting,10.3209
15,23,.,4.36052
15,24,</s>,24.3093
16,0,the,2.46696
16,1,teacher,13.5008
16,2,reported,12.6558
16,3,who,11.6591
16,4,hit,11.3101
16,5,a,4.24568
16,6,classmate,15.2295
16,7,in,6.72896
16,8,art,11.354
16,9,class,11.1307
16,10,.,3.66141
16,11,</s>,22.8395
17,0,the,2.46696
17,1,teacher,13.5008
17,2,reported,12.6558
17,3,who,11.6591
17,4,the,8.96323
17,5,student,11.9019
17,6,hit,14.1389
17,7,a,4.71314
17,8,classmate,15.0302
17,9,in,6.72896
17,10,art,11.354
17,11,class,11.1307
17,12,.,3.66141
17,13,</s>,22.8395
18,0,the,2.46696
18,1,teacher,13.5008
18,2,reported,12.6558
18,3,that,2.72983
18,4,hit,12.6411
18,5,a,5.26799
18,6,classmate,15.0302
18,7,in,6.72896
18,8,art,11.354
18,9,class,11.1307
18,10,.,3.66141
18,11,</s>,22.8395
19,0,the,2.46696
19,1,teacher,13.5008
19,2,reported,12.6558
19,3,that,2.72983
19,4,the,3.55757
19,5,student,11.0771
19,6,hit,14.4386
19,7,a,4.71314
19,8,classmate,15.0302
19,9,in,6.72896
19,10,art,11.354
19,11,class,11.1307
19,12,.,3.66141
19,13,</s>,22.8395
20,0,the,2.46696
20,1,teacher,13.5008
20,2,reported,12.6558
20,3,who,11.6591
20,4,the,8.96323
20,5,other,10.2478
20,6,children,8.57896
20,7,claimed,15.0575
20,8,hit,14.5772
20,9,a,4.71314
20,10,classmate,15.0302
20,11,in,6.72896
20,12,art,11.354
20,13,class,11.1307
20,14,.,3.66141
20,15,</s>,22.8395
21,0,the,2.46696
21,1,teacher,13.5008
21,2,reported,12.6558
21,3,who,11.6591
21,4,the,8.96323
21,5,other,10.2478
21,6,children,8.57896
21,7,claimed,15.0575
21,8,the,3.86294
21,9,student,12.0419
21,10,hit,14.1389
21,11,a,4.71314
21,12,classmate,15.0302
