sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,subject,verb,object,continuation,main_clause_surprisal,main_clause_surprisal_mean,complementiser_surprisal,complementiser_surprisal_mean,embedding_1_surprisal,embedding_1_surprisal_mean,embedding_2_surprisal,embedding_2_surprisal_mean,embedding_3_surprisal,embedding_3_surprisal_mean,subject_surprisal,subject_surprisal_mean,verb_surprisal,verb_surprisal_mean,object_surprisal,object_surprisal_mean,continuation_surprisal,continuation_surprisal_mean,semi_local_surprisal_mean,global_surprisal_mean
1,yes,yes,0,+wh_gap,The assistant knew,who,,,,,impressed,the director,at the meeting.,2.46696,11.109553333333333,6.5865,6.5865,,,,,,,,,13.5162,13.5162,4.71827,8.528285,6.47196,6.214686666666666,8.202805,8.913199
1,yes,no,0,+wh_no_gap,The assistant knew,who,,,,the secretary,impressed,the director,at the meeting.,2.46696,11.109553333333333,6.5865,6.5865,,,,,,,4.19838,8.57409,17.8356,17.8356,3.86737,8.102835,6.47196,6.214686666666666,8.72918875,9.1457225
1,no,yes,0,-wh_gap,The assistant knew,that,,,,,impressed,the director,at the meeting.,2.46696,11.109553333333333,3.27732,3.27732,,,,,,,,,15.3592,15.3592,1.92461,7.131455,6.47196,6.214686666666666,8.044361666666667,8.487215
1,no,no,0,-wh_no_gap,The assistant knew,that,,,,the secretary,impressed,the director,at the meeting.,2.46696,11.109553333333333,3.27732,3.27732,,,,,,,3.23771,7.902055,18.7121,18.7121,3.86737,8.102835,6.47196,6.214686666666666,8.6707425,8.830993333333334
1,yes,yes,1,+wh_gap,The assistant knew,who,the security guard said,,,,impressed,the director,at the meeting.,2.46696,11.109553333333333,6.5865,6.5865,4.19838,8.7179075,,,,,,,17.3005,17.3005,3.86737,8.102835,6.47196,6.214686666666666,8.691705,9.06693
1,yes,no,1,+wh_no_gap,The assistant knew,who,the security guard said,,,the secretary,impressed,the director,at the meeting.,2.46696,11.109553333333333,6.5865,6.5865,4.19838,8.7179075,,,,,4.51729,8.824895,17.8356,17.8356,3.86737,8.102835,6.47196,6.214686666666666,8.79189,9.070119375
1,no,yes,1,-wh_gap,The assistant knew,that,the security guard said,,,,impressed,the director,at the meeting.,2.46696,11.109553333333333,3.27732,3.27732,3.23771,8.4847875,,,,,,,17.3005,17.3005,3.86737,8.102835,6.47196,6.214686666666666,8.691705,8.763954285714286
1,no,no,1,-wh_no_gap,The assistant knew,that,the security guard said,,,the secretary,impressed,the director,at the meeting.,2.46696,11.109553333333333,3.27732,3.27732,3.23771,8.4847875,,,,,4.51729,8.824895,17.8356,17.8356,3.86737,8.102835,6.47196,6.214686666666666,8.79189,8.805015625
1,yes,yes,2,+wh_gap,The assistant knew,who,the security guard said,his manager believed,,,impressed,the director,at the meeting.,2.46696,11.109553333333333,6.5865,6.5865,4.19838,8.7179075,6.83762,11.103439999999999,,,,,17.2437,17.2437,3.86737,8.102835,6.47196,6.214686666666666,8.682238333333334,9.42297294117647
1,yes,no,2,+wh_no_gap,The assistant knew,who,the security guard said,his manager believed,,the secretary,impressed,the director,at the meeting.,2.46696,11.109553333333333,6.5865,6.5865,4.19838,8.7179075,6.83762,11.103439999999999,,,3.87627,8.354334999999999,17.8356,17.8356,3.86737,8.102835,6.47196,6.214686666666666,8.67425,9.341637368421054
1,no,yes,2,-wh_gap,The assistant knew,that,the security guard said,his manager believed,,,impressed,the director,at the meeting.,2.46696,11.109553333333333,3.27732,3.27732,3.23771,8.4847875,6.83762,11.103439999999999,,,,,17.2437,17.2437,3.86737,8.102835,6.47196,6.214686666666666,8.682238333333334,9.173463529411762
1,no,no,2,-wh_no_gap,The assistant knew,that,the security guard said,his manager believed,,the secretary,impressed,the director,at the meeting.,2.46696,11.109553333333333,3.27732,3.27732,3.23771,8.4847875,6.83762,11.103439999999999,,,3.87627,8.354334999999999,17.8356,17.8356,3.86737,8.102835,6.47196,6.214686666666666,8.67425,9.118392105263158
1,yes,yes,3,+wh_gap,The assistant knew,who,the security guard said,his manager believed,the junior associate claimed,,impressed,the director,at the meeting.,2.46696,11.109553333333333,6.5865,6.5865,4.19838,8.7179075,6.83762,11.103439999999999,3.87627,10.519817499999998,,,17.2359,17.2359,3.86737,8.102835,6.47196,6.214686666666666,8.680938333333334,9.631524285714287
1,yes,no,3,+wh_no_gap,The assistant knew,who,the security guard said,his manager believed,the junior associate claimed,the secretary,impressed,the director,at the meeting.,2.46696,11.109553333333333,6.5865,6.5865,4.19838,8.7179075,6.83762,11.103439999999999,3.87627,10.519817499999998,3.86294,8.476420000000001,17.8356,17.8356,3.86737,8.102835,6.47196,6.214686666666666,8.70477125,9.557154347826085
1,no,yes,3,-wh_gap,The assistant knew,that,the security guard said,his manager believed,the junior associate claimed,,impressed,the director,at the meeting.,2.46696,11.109553333333333,3.27732,3.27732,3.23771,8.4847875,6.83762,11.103439999999999,3.87627,10.519817499999998,,,17.2359,17.2359,3.86737,8.102835,6.47196,6.214686666666666,8.680938333333334,9.429540476190475
1,no,no,3,-wh_no_gap,The assistant knew,that,the security guard said,his manager believed,the junior associate claimed,the secretary,impressed,the director,at the meeting.,2.46696,11.109553333333333,3.27732,3.27732,3.23771,8.4847875,6.83762,11.103439999999999,3.87627,10.519817499999998,3.86294,8.476420000000001,17.8356,17.8356,3.86737,8.102835,6.47196,6.214686666666666,8.70477125,9.372734347826087
2,yes,yes,0,+wh_gap,The teacher reported,who,,,,,hit,a classmate,in art class.,2.46696,9.541186666666666,11.6591,11.6591,,,,,,,,,11.3101,11.3101,4.24568,9.73759,6.72896,9.737886666666666,9.999823333333334,10.02816
2,yes,no,0,+wh_no_gap,The teacher reported,who,,,,the student,hit,a classmate,in art class.,2.46696,9.541186666666666,11.6591,11.6591,,,,,,,8.96323,10.432565,14.1389,14.1389,4.71314,9.87167,6.72896,9.737886666666666,10.49512875,10.353640833333335
2,no,yes,0,-wh_gap,The teacher reported,that,,,,,hit,a classmate,in art class.,2.46696,9.541186666666666,2.72983,2.72983,,,,,,,,,12.6411,12.6411,5.26799,10.149095,6.72896,9.737886666666666,10.358825,9.350634
2,no,no,0,-wh_no_gap,The teacher reported,that,,,,the student,hit,a classmate,in art class.,2.46696,9.541186666666666,2.72983,2.72983,,,,,,,3.55757,7.317335,14.4386,14.4386,4.71314,9.87167,6.72896,9.737886666666666,9.75378375,9.115305000000001
2,yes,yes,1,+wh_gap,The teacher reported,who,the other children claimed,,,,hit,a classmate,in art class.,2.46696,9.541186666666666,11.6591,11.6591,8.96323,10.7118725,,,,,,,14.5772,14.5772,4.71314,9.87167,6.72896,9.737886666666666,10.589033333333333,10.476025000000002
