sentence_id,token_id,token,surprisal
0,0,They,0.0
0,1,reported,10.412453
0,2,that,1.780984
0,3,could,14.058225
0,4,have,3.326235
0,5,promoted,14.368273
0,6,the,1.462504
0,7,accountant,19.658405
0,8,last,15.678619
0,9,quarter,9.408402
0,10,.,2.424914
0,11,<eos>,-0.0
1,0,They,0.0
1,1,reported,10.412453
1,2,that,1.780984
1,3,the,1.89322
1,4,boss,15.239762
1,5,could,4.987105
1,6,have,3.82969
1,7,promoted,13.011321
1,8,the,1.503596
1,9,accountant,19.401102
1,10,last,15.588111
1,11,quarter,9.117103
1,12,.,2.081423
1,13,<eos>,-0.0
2,0,They,0.0
2,1,reported,10.412453
2,2,who,11.821813
2,3,could,6.14351
2,4,have,3.424369
2,5,promoted,12.921373
2,6,the,1.446931
2,7,accountant,19.539301
2,8,last,15.650681
2,9,quarter,8.715836
2,10,.,2.028728
2,11,<eos>,-0.0
3,0,They,0.0
3,1,reported,10.412453
3,2,who,11.821813
3,3,the,7.229744
3,4,boss,14.907178
3,5,could,5.074233
3,6,have,3.638331
3,7,promoted,11.887764
3,8,the,5.784883
3,9,accountant,18.117706
3,10,last,15.359127
3,11,quarter,9.825212
3,12,.,1.650641
3,13,<eos>,-0.0
4,0,They,0.0
4,1,reported,10.412453
4,2,that,1.780984
4,3,the,1.89322
4,4,man,9.066194
4,5,said,8.81948
4,6,could,9.33667
4,7,have,2.535733
4,8,promoted,13.556826
4,9,the,1.778742
4,10,accountant,18.957132
4,11,last,15.698484
4,12,quarter,9.762378
4,13,.,2.080148
4,14,<eos>,-0.0
5,0,They,0.0
5,1,reported,10.412453
5,2,that,1.780984
5,3,the,1.89322
5,4,man,9.066194
5,5,said,8.81948
5,6,the,4.605371
5,7,boss,14.21947
5,8,could,5.48197
5,9,have,3.060905
5,10,promoted,13.61716
5,11,the,1.64784
5,12,accountant,18.415121
5,13,last,15.464504
5,14,quarter,9.259489
5,15,.,1.738094
5,16,<eos>,-0.0
6,0,They,0.0
6,1,reported,10.412453
6,2,who,11.821813
6,3,the,7.229744
6,4,man,8.530405
6,5,said,7.054339
6,6,could,7.581649
6,7,have,2.70314
6,8,promoted,13.579658
6,9,the,1.757004
6,10,accountant,19.206671
6,11,last,15.722594
6,12,quarter,9.378961
6,13,.,1.821849
6,14,<eos>,-0.0
7,0,They,0.0
7,1,reported,10.412453
7,2,who,11.821813
7,3,the,7.229744
7,4,man,8.530405
7,5,said,7.054339
7,6,the,6.105996
7,7,boss,14.155415
7,8,could,5.669885
7,9,have,3.132709
7,10,promoted,13.4602
7,11,the,2.771923
7,12,accountant,18.46979
7,13,last,15.2795
7,14,quarter,9.173591
7,15,.,1.6004
7,16,<eos>,-0.0
8,0,They,0.0
8,1,reported,10.412453
8,2,that,1.780984
8,3,the,1.89322
8,4,man,9.066194
8,5,said,8.81948
8,6,the,4.605371
8,7,old,9.739626
8,8,woman,5.196508
8,9,told,7.141207
8,10,him,1.646867
8,11,could,13.262743
8,12,have,3.76772
8,13,promoted,14.149467
8,14,the,1.973507
8,15,accountant,18.560835
8,16,last,15.898722
8,17,quarter,9.930102
8,18,.,1.530038
8,19,<eos>,-0.0
9,0,They,0.0
9,1,reported,10.412453
9,2,that,1.780984
9,3,the,1.89322
9,4,man,9.066194
9,5,said,8.81948
9,6,the,4.605371
9,7,old,9.739626
9,8,woman,5.196508
9,9,told,7.141207
9,10,him,1.646867
9,11,the,5.062836
9,12,boss,15.509688
9,13,could,4.424331
9,14,have,3.168495
9,15,promoted,14.220979
9,16,the,1.922299
9,17,accountant,18.20459
9,18,last,15.666544
9,19,quarter,9.723347
9,20,.,1.400097
9,21,<eos>,-0.0
10,0,They,0.0
10,1,reported,10.412453
10,2,who,11.821813
10,3,the,7.229744
10,4,man,8.530405
10,5,said,7.054339
10,6,the,6.105996
10,7,old,9.806818
10,8,woman,5.144083
10,9,told,6.641197
10,10,him,1.82627
10,11,could,10.261149
10,12,have,3.300533
10,13,promoted,14.513792
10,14,the,2.45416
10,15,accountant,18.827194
10,16,last,15.510133
10,17,quarter,9.951709
10,18,.,1.497822
