item,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,embedding_4,subject,verb,object,continuation,continuation_type
1,-wh_gap,I know,that,our mother said,her friend remarked,the park attendant reported,the cop thinks,your friend,threw,the plastic,into the trash can,PP
1,-wh_no_gap,I know,that,our mother said,her friend remarked,the park attendant reported,the cop thinks,,threw,the plastic,into the trash can,PP
1,+wh_gap,I know,who,our mother said,her friend remarked,the park attendant reported,the cop thinks,your friend,threw,the plastic,into the trash can,PP
1,+wh_no_gap,I know,who,our mother said,her friend remarked,the park attendant reported,the cop thinks,,threw,the plastic,into the trash can,PP
2,-wh_gap,The accountant knew,that,the security guard believed,his friend knew,the assistant reported,her colleague suspected,the secretary,introduced,the new woman,to her friend,PP
2,-wh_no_gap,The accountant knew,that,the security guard believed,his friend knew,the assistant reported,her colleague suspected,,introduced,the new woman,to her friend,PP
2,+wh_gap,The accountant knew,who,the security guard believed,his friend knew,the assistant reported,her colleague suspected,the secretary,introduced,the new woman,to her friend,PP
2,+wh_no_gap,The accountant knew,who,the security guard believed,his friend knew,the assistant reported,her colleague suspected,,introduced,the new woman,to her friend,PP
3,-wh_gap,The assistant told me,that,the man knew,his friend recalled,the woman said,her colleague saw,the pilot,sent,the package,to his family,PP
3,-wh_no_gap,The assistant told me,that,the man knew,his friend recalled,the woman said,her colleague saw,,sent,the package,to his family,PP
3,+wh_gap,The assistant told me,who,the man knew,his friend recalled,the woman said,her colleague saw,the pilot,sent,the package,to his family,PP
3,+wh_no_gap,The assistant told me,who,the man knew,his friend recalled,the woman said,her colleague saw,,sent,the package,to his family,PP
4,-wh_gap,We discovered,that,the delivery boy remarked,the worker said,the gardener knew,the maid remembers,the funny actor,told,a story,about the woman,PP
4,-wh_no_gap,We discovered,that,the delivery boy remarked,the worker said,the gardener knew,the maid remembers,,told,a story,about the woman,PP
4,+wh_gap,We discovered,who,the delivery boy remarked,the worker said,the gardener knew,the maid remembers,the funny actor,told,a story,about the woman,PP
4,+wh_no_gap,We discovered,who,the delivery boy remarked,the worker said,the gardener knew,the maid remembers,,told,a story,about the woman,PP
5,-wh_gap,The neighbors found out,that,her mother heard,the newspaper reported,the mayor said,his assistant saw,the young woman,bought,a gift,for her parents,PP
5,-wh_no_gap,The neighbors found out,that,her mother heard,the newspaper reported,the mayor said,his assistant saw,,bought,a gift,for her parents,PP
5,+wh_gap,The neighbors found out,who,her mother heard,the newspaper reported,the mayor said,his assistant saw,the young woman,bought,a gift,for her parents,PP
5,+wh_no_gap,The neighbors found out,who,her mother heard,the newspaper reported,the mayor said,his assistant saw,,bought,a gift,for her parents,PP
6,-wh_gap,My friend knows,that,the judge thought,the cop said,the man testified,his friend reported,the successful architect,handed,an award,for her mother,PP
6,-wh_no_gap,My friend knows,that,the judge thought,the cop said,the man testified,his friend reported,,handed,an award,for her mother,PP
6,+wh_gap,My friend knows,who,the judge thought,the cop said,the man testified,his friend reported,the successful architect,handed,an award,for her mother,PP
6,+wh_no_gap,My friend knows,who,the judge thought,the cop said,the man testified,his friend reported,,handed,an award,for her mother,PP
7,-wh_gap,The commissioner discovered,that,the report stated,the television host thought,the man reported,the lawyer said,the police detective,lent,some money,to the man,PP
7,-wh_no_gap,The commissioner discovered,that,the report stated,the television host thought,the man reported,the lawyer said,,lent,some money,to the man,PP
7,+wh_gap,The commissioner discovered,who,the report stated,the television host thought,the man reported,the lawyer said,the police detective,lent,some money,to the man,PP
7,+wh_no_gap,The commissioner discovered,who,the report stated,the television host thought,the man reported,the lawyer said,,lent,some money,to the man,PP
8,-wh_gap,We all know,that,the accountant said,his colleague recalled,the partners knew,their accountant suspects,the investor,repaid,his debt,to the criminal kingpin,PP
8,-wh_no_gap,We all know,that,the accountant said,his colleague recalled,the partners knew,their accountant suspects,,repaid,his debt,to the criminal kingpin,PP
8,+wh_gap,We all know,who,the accountant said,his colleague recalled,the partners knew,their accountant suspects,the investor,repaid,his debt,to the criminal kingpin ,PP
8,+wh_no_gap,We all know,who,the accountant said,his colleague recalled,the partners knew,their accountant suspects,,repaid,his debt,to the criminal kingpin ,PP
9,-wh_gap,I know,that,the secretary said,the journalist remarked,the workers said,their representatives think,the business man,promised,a raise,to the factory workers,PP
