sentence_id	token_id	token	surprisal
1	1	The	0.0
1	2	assistant	19.641615
1	3	knew	15.797457
1	4	who	8.132307
1	5	the	4.022631
1	6	secretary	12.068179
1	7	introduced	14.949581
1	8	to	2.59475
1	9	her	5.417305
1	10	friend	9.559542
1	11	.	2.788332
1	12	<eos>	-0.0
2	1	The	0.0
2	2	assistant	19.641615
2	3	knew	15.797457
2	4	who	8.132307
2	5	the	4.022631
2	6	secretary	12.068179
2	7	introduced	14.949581
2	8	her	8.545922
2	9	partner	15.878469
2	10	to	2.101699
2	11	her	4.312099
2	12	friend	7.265463
2	13	.	2.913061
2	14	<eos>	-0.0
3	1	The	0.0
3	2	assistant	19.641615
3	3	knew	15.797457
3	4	that	2.728114
3	5	the	1.719252
3	6	secretary	13.587895
3	7	introduced	14.55541
3	8	to	6.753639
3	9	her	5.540607
3	10	friend	8.939439
3	11	.	5.626384
3	12	<eos>	-0.0
4	1	The	0.0
4	2	assistant	19.641615
4	3	knew	15.797457
4	4	that	2.728114
4	5	the	1.719252
4	6	secretary	13.587895
4	7	introduced	14.55541
4	8	her	5.73611
4	9	partner	16.759729
4	10	to	1.704777
4	11	her	3.941895
4	12	friend	6.535703
4	13	.	3.26582
4	14	<eos>	-0.0
5	1	The	0.0
5	2	assistant	19.641615
5	3	knew	15.797457
5	4	who	8.132307
5	5	the	4.022631
5	6	security	11.629489
5	7	guard	5.741409
5	8	said	8.462949
5	9	the	4.754498
5	10	secretary	12.499672
5	11	introduced	14.596349
5	12	to	5.356333
5	13	her	6.1186
5	14	friend	9.901752
5	15	.	2.712464
5	16	<eos>	-0.0
6	1	The	0.0
6	2	assistant	19.641615
6	3	knew	15.797457
6	4	who	8.132307
6	5	the	4.022631
6	6	security	11.629489
6	7	guard	5.741409
6	8	said	8.462949
6	9	the	4.754498
6	10	secretary	12.499672
6	11	introduced	14.596349
6	12	her	6.958785
6	13	partner	17.677887
6	14	to	1.845088
6	15	her	4.138436
6	16	friend	6.93864
