sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,embedding_4,subject,verb,object,continuation
1,no,yes,0,-wh_gap,I know,that,,,,,your friend,threw,,into the trash can.
1,no,no,0,-wh_no_gap,I know,that,,,,,your friend,threw,the plastic,into the trash can.
1,yes,yes,0,+wh_gap,I know,what,,,,,your friend,threw,,into the trash can.
1,yes,no,0,+wh_no_gap,I know,what,,,,,your friend,threw,the plastic,into the trash can.
1,no,yes,1,-wh_gap,I know,that,our mother said,,,,your friend,threw,,into the trash can.
1,no,no,1,-wh_no_gap,I know,that,our mother said,,,,your friend,threw,the plastic,into the trash can.
1,yes,yes,1,+wh_gap,I know,what,our mother said,,,,your friend,threw,,into the trash can.
1,yes,no,1,+wh_no_gap,I know,what,our mother said,,,,your friend,threw,the plastic,into the trash can.
1,no,yes,2,-wh_gap,I know,that,our mother said,her friend remarked,,,your friend,threw,,into the trash can.
1,no,no,2,-wh_no_gap,I know,that,our mother said,her friend remarked,,,your friend,threw,the plastic,into the trash can.
1,yes,yes,2,+wh_gap,I know,what,our mother said,her friend remarked,,,your friend,threw,,into the trash can.
1,yes,no,2,+wh_no_gap,I know,what,our mother said,her friend remarked,,,your friend,threw,the plastic,into the trash can.
1,no,yes,3,-wh_gap,I know,that,our mother said,her friend remarked,the park attendant reported,,your friend,threw,,into the trash can.
1,no,no,3,-wh_no_gap,I know,that,our mother said,her friend remarked,the park attendant reported,,your friend,threw,the plastic,into the trash can.
1,yes,yes,3,+wh_gap,I know,what,our mother said,her friend remarked,the park attendant reported,,your friend,threw,,into the trash can.
1,yes,no,3,+wh_no_gap,I know,what,our mother said,her friend remarked,the park attendant reported,,your friend,threw,the plastic,into the trash can.
1,no,yes,4,-wh_gap,I know,that,our mother said,her friend remarked,the park attendant reported,the cop thinks,your friend,threw,,into the trash can.
1,no,no,4,-wh_no_gap,I know,that,our mother said,her friend remarked,the park attendant reported,the cop thinks,your friend,threw,the plastic,into the trash can.
1,yes,yes,4,+wh_gap,I know,what,our mother said,her friend remarked,the park attendant reported,the cop thinks,your friend,threw,,into the trash can.
1,yes,no,4,+wh_no_gap,I know,what,our mother said,her friend remarked,the park attendant reported,the cop thinks,your friend,threw,the plastic,into the trash can.
10,no,yes,0,-wh_gap,The newspaper reported,that,,,,,the boss,sold,,to his friend.
10,no,no,0,-wh_no_gap,The newspaper reported,that,,,,,the boss,sold,a car,to his friend.
10,yes,yes,0,+wh_gap,The newspaper reported,what,,,,,the boss,sold,,to his friend.
10,yes,no,0,+wh_no_gap,The newspaper reported,what,,,,,the boss,sold,a car,to his friend.
10,no,yes,1,-wh_gap,The newspaper reported,that,the investigator thought,,,,the boss,sold,,to his friend.
10,no,no,1,-wh_no_gap,The newspaper reported,that,the investigator thought,,,,the boss,sold,a car,to his friend.
10,yes,yes,1,+wh_gap,The newspaper reported,what,the investigator thought,,,,the boss,sold,,to his friend.
