sentence_id,condition,embedding_level,model,continuation_start_pos,sentence_start,continuation
1,gap_filler,0,gpt2,ADP,The assistant knew who the secretary impressed,"on the floor of the Senate, but his wife was the one who had been the biggest cheerleader"
1,gap_filler,0,gpt2,CCONJ,The assistant knew who the secretary impressed,"and he called him. Mrs. H. said, ""Mr. Brown, how long ago you"
1,gap_filler,0,gpt2,ADP,The assistant knew who the secretary impressed,"with his performance in the first round, but he said there has nothing in evidence to support them saying"
1,gap_filler,0,gpt2,ADP,The assistant knew who the secretary impressed,on her last day. She knew that she was out of the White House to see his birthday present
1,gap_filler,0,gpt2,PUNCT,The assistant knew who the secretary impressed,. He recognized it and asked if anyone had noticed. The president sat next to him and watched for
1,gap_filler,0,grnn,PUNCT,The assistant knew who the secretary impressed,.
1,gap_filler,0,grnn,PUNCT,The assistant knew who the secretary impressed,", and was in the process of investigating <unk> in <unk> ."
1,gap_filler,0,grnn,ADP,The assistant knew who the secretary impressed,by his skill .
1,gap_filler,0,grnn,ADP,The assistant knew who the secretary impressed,with .
1,gap_filler,0,grnn,PUNCT,The assistant knew who the secretary impressed,.
2,no_gap_no_filler,0,gpt2,PRON,The assistant knew that the secretary impressed,"him so strongly that he accepted the appointment.

At the same time, after taking the job"
2,no_gap_no_filler,0,gpt2,PRON,The assistant knew that the secretary impressed,"him so much he asked what was next.

""Why wouldn't you know?"" he replied"
2,no_gap_no_filler,0,gpt2,PRON,The assistant knew that the secretary impressed,"her, with her wit, sense of humour, and ease of expression.

""She was"
2,no_gap_no_filler,0,gpt2,PRON,The assistant knew that the secretary impressed,"her with his appearance and attitude while she was going there.

""Please don't let this"
2,no_gap_no_filler,0,gpt2,PRON,The assistant knew that the secretary impressed,"his senior officers, who ordered him to work as soon as the military department ordered for him; the"
2,no_gap_no_filler,0,grnn,PUNCT,The assistant knew that the secretary impressed,.
2,no_gap_no_filler,0,grnn,PUNCT,The assistant knew that the secretary impressed,", come to realize that the new figure neglected and destroyed the volume ."
2,no_gap_no_filler,0,grnn,PUNCT,The assistant knew that the secretary impressed,; in the first episode they made him turn a shadow .
2,no_gap_no_filler,0,grnn,PROPN,The assistant knew that the secretary impressed,Otto the experience when he was studying staff probe .
2,no_gap_no_filler,0,grnn,ADP,The assistant knew that the secretary impressed,by the progress he had made .
5,gap_filler,1,gpt2,SCONJ,The assistant knew who the security guard said the secretary impressed,"upon him. That security guard was Mike Rogers, a former FBI agents who had already been shot and"
5,gap_filler,1,gpt2,PUNCT,The assistant knew who the security guard said the secretary impressed,". He's had a job where he's been a little bit under the radar, and I think"
