sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,embedding_4,subject,verb,object,continuation
54,no,yes,0,-wh_gap,They reported,that,,,,,,could have promoted,the accountant,last quarter.
54,no,no,0,-wh_no_gap,They reported,that,,,,,the boss,could have promoted,the accountant,last quarter.
54,yes,yes,0,+wh_gap,They reported,who,,,,,,could have promoted,the accountant,last quarter.
54,yes,no,0,+wh_no_gap,They reported,who,,,,,the boss,could have promoted,the accountant,last quarter.
54,no,yes,1,-wh_gap,They reported,that,the man said,,,,,could have promoted,the accountant,last quarter.
54,no,no,1,-wh_no_gap,They reported,that,the man said,,,,the boss,could have promoted,the accountant,last quarter.
54,yes,yes,1,+wh_gap,They reported,who,the man said,,,,,could have promoted,the accountant,last quarter.
54,yes,no,1,+wh_no_gap,They reported,who,the man said,,,,the boss,could have promoted,the accountant,last quarter.
54,no,yes,2,-wh_gap,They reported,that,the man said,the old woman told him,,,,could have promoted,the accountant,last quarter.
54,no,no,2,-wh_no_gap,They reported,that,the man said,the old woman told him,,,the boss,could have promoted,the accountant,last quarter.
54,yes,yes,2,+wh_gap,They reported,who,the man said,the old woman told him,,,,could have promoted,the accountant,last quarter.
54,yes,no,2,+wh_no_gap,They reported,who,the man said,the old woman told him,,,the boss,could have promoted,the accountant,last quarter.
54,no,yes,3,-wh_gap,They reported,that,the man said,the old woman told him,she knew,,,could have promoted,the accountant,last quarter.
54,no,no,3,-wh_no_gap,They reported,that,the man said,the old woman told him,she knew,,the boss,could have promoted,the accountant,last quarter.
54,yes,yes,3,+wh_gap,They reported,who,the man said,the old woman told him,she knew,,,could have promoted,the accountant,last quarter.
54,yes,no,3,+wh_no_gap,They reported,who,the man said,the old woman told him,she knew,,the boss,could have promoted,the accountant,last quarter.
54,no,yes,4,-wh_gap,They reported,that,the man said,the old woman told him,she knew,he noticed,,could have promoted,the accountant,last quarter.
54,no,no,4,-wh_no_gap,They reported,that,the man said,the old woman told him,she knew,he noticed,the boss,could have promoted,the accountant,last quarter.
54,yes,yes,4,+wh_gap,They reported,who,the man said,the old woman told him,she knew,he noticed,,could have promoted,the accountant,last quarter.
54,yes,no,4,+wh_no_gap,They reported,who,the man said,the old woman told him,she knew,he noticed,the boss,could have promoted,the accountant,last quarter.
53,no,yes,0,-wh_gap,He reported,that,,,,,,could abandon,his comrades,on the sinking ship.
53,no,no,0,-wh_no_gap,He reported,that,,,,,the pirate,could abandon,his comrades,on the sinking ship.
53,yes,yes,0,+wh_gap,He reported,who,,,,,,could abandon,his comrades,on the sinking ship.
53,yes,no,0,+wh_no_gap,He reported,who,,,,,the pirate,could abandon,his comrades,on the sinking ship.
53,no,yes,1,-wh_gap,He reported,that,the sailor believed,,,,,could abandon,his comrades,on the sinking ship.
53,no,no,1,-wh_no_gap,He reported,that,the sailor believed,,,,the pirate,could abandon,his comrades,on the sinking ship.
53,yes,yes,1,+wh_gap,He reported,who,the sailor believed,,,,,could abandon,his comrades,on the sinking ship.
53,yes,no,1,+wh_no_gap,He reported,who,the sailor believed,,,,the pirate,could abandon,his comrades,on the sinking ship.
53,no,yes,2,-wh_gap,He reported,that,the sailor believed,the man believed,,,,could abandon,his comrades,on the sinking ship.
53,no,no,2,-wh_no_gap,He reported,that,the sailor believed,the man believed,,,the pirate,could abandon,his comrades,on the sinking ship.
53,yes,yes,2,+wh_gap,He reported,who,the sailor believed,the man believed,,,,could abandon,his comrades,on the sinking ship.
53,yes,no,2,+wh_no_gap,He reported,who,the sailor believed,the man believed,,,the pirate,could abandon,his comrades,on the sinking ship.
53,no,yes,3,-wh_gap,He reported,that,the sailor believed,the man believed,he knew,,,could abandon,his comrades,on the sinking ship.
53,no,no,3,-wh_no_gap,He reported,that,the sailor believed,the man believed,he knew,,the pirate,could abandon,his comrades,on the sinking ship.
53,yes,yes,3,+wh_gap,He reported,who,the sailor believed,the man believed,he knew,,,could abandon,his comrades,on the sinking ship.
53,yes,no,3,+wh_no_gap,He reported,who,the sailor believed,the man believed,he knew,,the pirate,could abandon,his comrades,on the sinking ship.
53,no,yes,4,-wh_gap,He reported,that,the sailor believed,the man believed,he knew,the man saw,,could abandon,his comrades,on the sinking ship.
53,no,no,4,-wh_no_gap,He reported,that,the sailor believed,the man believed,he knew,the man saw,the pirate,could abandon,his comrades,on the sinking ship.
53,yes,yes,4,+wh_gap,He reported,who,the sailor believed,the man believed,he knew,the man saw,,could abandon,his comrades,on the sinking ship.
53,yes,no,4,+wh_no_gap,He reported,who,the sailor believed,the man believed,he knew,the man saw,the pirate,could abandon,his comrades,on the sinking ship.
52,no,yes,0,-wh_gap,They know,that,,,,,,might have reassured,his client,last night.
52,no,no,0,-wh_no_gap,They know,that,,,,,the lawyer,might have reassured,his client,last night.
52,yes,yes,0,+wh_gap,They know,who,,,,,,might have reassured,his client,last night.
52,yes,no,0,+wh_no_gap,They know,who,,,,,the lawyer,might have reassured,his client,last night.
52,no,yes,1,-wh_gap,They know,that,the man said,,,,,might have reassured,his client,last night.
52,no,no,1,-wh_no_gap,They know,that,the man said,,,,the lawyer,might have reassured,his client,last night.
52,yes,yes,1,+wh_gap,They know,who,the man said,,,,,might have reassured,his client,last night.
52,yes,no,1,+wh_no_gap,They know,who,the man said,,,,the lawyer,might have reassured,his client,last night.
52,no,yes,2,-wh_gap,They know,that,the man said,the neighbors thought,,,,might have reassured,his client,last night.
52,no,no,2,-wh_no_gap,They know,that,the man said,the neighbors thought,,,the lawyer,might have reassured,his client,last night.
52,yes,yes,2,+wh_gap,They know,who,the man said,the neighbors thought,,,,might have reassured,his client,last night.
52,yes,no,2,+wh_no_gap,They know,who,the man said,the neighbors thought,,,the lawyer,might have reassured,his client,last night.
52,no,yes,3,-wh_gap,They know,that,the man said,the neighbors thought,they knew,,,might have reassured,his client,last night.
52,no,no,3,-wh_no_gap,They know,that,the man said,the neighbors thought,they knew,,the lawyer,might have reassured,his client,last night.
52,yes,yes,3,+wh_gap,They know,who,the man said,the neighbors thought,they knew,,,might have reassured,his client,last night.
52,yes,no,3,+wh_no_gap,They know,who,the man said,the neighbors thought,they knew,,the lawyer,might have reassured,his client,last night.
52,no,yes,4,-wh_gap,They know,that,the man said,the neighbors thought,they knew,the woman noticed,,might have reassured,his client,last night.
