sentence_id	token_id	token	surprisal
1	1	i	8.92268
1	2	know	6.35939
1	3	that	3.01867
1	4	your	9.03142
1	5	friend	9.03406
1	6	threw	15.5017
1	7	into	7.68647
1	8	the	2.46141
1	9	trash	15.0978
1	10	can	4.46141
1	11	.	3.06211
1	12	</s>	23.6519
2	1	i	8.92268
2	2	know	6.35939
2	3	that	3.01867
2	4	your	9.03142
2	5	friend	9.03406
2	6	threw	15.5017
2	7	the	3.69269
2	8	plastic	14.4012
2	9	into	10.8086
2	10	the	3.06669
2	11	trash	14.7837
2	12	can	4.46141
2	13	.	3.06211
2	14	</s>	23.6519
3	1	i	8.92268
3	2	know	6.35939
3	3	what	4.42758
3	4	your	8.81526
3	5	friend	9.10335
3	6	threw	15.5017
3	7	into	7.68647
3	8	the	2.46141
3	9	trash	15.0978
3	10	can	4.46141
3	11	.	3.06211
3	12	</s>	23.6519
4	1	i	8.92268
4	2	know	6.35939
4	3	what	4.42758
4	4	your	8.81526
4	5	friend	9.10335
4	6	threw	15.5017
4	7	the	3.69269
4	8	plastic	14.4012
4	9	into	10.8086
4	10	the	3.06669
4	11	trash	14.7837
4	12	can	4.46141
4	13	.	3.06211
4	14	</s>	23.6519
5	1	i	8.92268
5	2	know	6.35939
5	3	that	3.01867
5	4	our	9.03142
5	5	mother	10.0931
5	6	said	9.9453
5	7	your	15.38
5	8	friend	9.0128
5	9	threw	15.5017
5	10	into	7.68647
5	11	the	2.46141
5	12	trash	15.0978
5	13	can	4.46141
5	14	.	3.06211
5	15	</s>	23.6519
6	1	i	8.92268
6	2	know	6.35939
6	3	that	3.01867
6	4	our	9.03142
6	5	mother	10.0931
6	6	said	9.9453
6	7	your	15.38
6	8	friend	9.0128
6	9	threw	15.5017
6	10	the	3.69269
6	11	plastic	14.4012
6	12	into	10.8086
6	13	the	3.06669
6	14	trash	14.7837
6	15	can	4.46141
6	16	.	3.06211
6	17	</s>	23.6519
7	1	i	8.92268
7	2	know	6.35939
7	3	what	4.42758
7	4	our	10.4328
7	5	mother	10.0517
7	6	said	9.9453
7	7	your	15.38
7	8	friend	9.0128
7	9	threw	15.5017
7	10	into	7.68647
7	11	the	2.46141
7	12	trash	15.0978
7	13	can	4.46141
7	14	.	3.06211
7	15	</s>	23.6519
8	1	i	8.92268
8	2	know	6.35939
8	3	what	4.42758
8	4	our	10.4328
8	5	mother	10.0517
8	6	said	9.9453
8	7	your	15.38
8	8	friend	9.0128
8	9	threw	15.5017
8	10	the	3.69269
8	11	plastic	14.4012
8	12	into	10.8086
8	13	the	3.06669
8	14	trash	14.7837
8	15	can	4.46141
8	16	.	3.06211
8	17	</s>	23.6519
9	1	i	8.92268
9	2	know	6.35939
9	3	that	3.01867
9	4	our	9.03142
9	5	mother	10.0931
9	6	said	9.9453
9	7	her	8.58876
9	8	friend	9.53134
9	9	remarked	15.6711
9	10	your	16.1277
9	11	friend	9.0128
9	12	threw	15.5017
9	13	into	7.68647
9	14	the	2.46141
9	15	trash	15.0978
9	16	can	4.46141
9	17	.	3.06211
9	18	</s>	23.6519
10	1	i	8.92268
10	2	know	6.35939
10	3	that	3.01867
10	4	our	9.03142
10	5	mother	10.0931
10	6	said	9.9453
10	7	her	8.58876
10	8	friend	9.53134
10	9	remarked	15.6711
10	10	your	16.1277
10	11	friend	9.0128
10	12	threw	15.5017
10	13	the	3.69269
10	14	plastic	14.4012
10	15	into	10.8086
10	16	the	3.06669
10	17	trash	14.7837
10	18	can	4.46141
10	19	.	3.06211
10	20	</s>	23.6519
11	1	i	8.92268
11	2	know	6.35939
11	3	what	4.42758
11	4	our	10.4328
11	5	mother	10.0517
11	6	said	9.9453
11	7	her	8.58876
11	8	friend	9.53134
11	9	remarked	15.6711
11	10	your	16.1277
11	11	friend	9.0128
11	12	threw	15.5017
11	13	into	7.68647
11	14	the	2.46141
11	15	trash	15.0978
11	16	can	4.46141
11	17	.	3.06211
11	18	</s>	23.6519
12	1	i	8.92268
12	2	know	6.35939
12	3	what	4.42758
12	4	our	10.4328
12	5	mother	10.0517
12	6	said	9.9453
12	7	her	8.58876
12	8	friend	9.53134
12	9	remarked	15.6711
12	10	your	16.1277
12	11	friend	9.0128
12	12	threw	15.5017
12	13	the	3.69269
12	14	plastic	14.4012
12	15	into	10.8086
12	16	the	3.06669
12	17	trash	14.7837
12	18	can	4.46141
12	19	.	3.06211
12	20	</s>	23.6519
13	1	i	8.92268
13	2	know	6.35939
13	3	that	3.01867
13	4	our	9.03142
13	5	mother	10.0931
13	6	said	9.9453
13	7	her	8.58876
13	8	friend	9.53134
13	9	remarked	15.6711
13	10	the	9.18833
13	11	park	11.2248
13	12	attendant	18.2286
13	13	reported	13.0792
13	14	your	14.7672
13	15	friend	9.0128
13	16	threw	15.5017
13	17	into	7.68647
13	18	the	2.46141
13	19	trash	15.0978
13	20	can	4.46141
13	21	.	3.06211
13	22	</s>	23.6519
14	1	i	8.92268
14	2	know	6.35939
14	3	that	3.01867
14	4	our	9.03142
14	5	mother	10.0931
14	6	said	9.9453
14	7	her	8.58876
