sentence_id,token_id,token,surprisal
0,0,<|endoftext|>,0.0
0,1,I,5.770367
0,2,Ġknow,5.545733
0,3,Ġwhat,4.510479
0,4,Ġthe,6.346878
0,5,Ġlion,14.863674
0,6,Ġdev,16.210724
0,7,oured,5.626653
0,8,Ġyesterday,7.415281
0,9,<|endoftext|>,13.428521
1,0,<|endoftext|>,0.0
1,1,I,5.770367
1,2,Ġknow,5.545733
1,3,Ġwhat,4.510479
1,4,Ġthe,6.346878
1,5,Ġlion,14.863675
1,6,Ġdev,16.210724
1,7,oured,5.626647
1,8,Ġa,8.190416
1,9,Ġg,11.430709
1,10,az,1.522089
1,11,elle,0.515309
1,12,Ġyesterday,8.002244
1,13,<|endoftext|>,12.899959
2,0,<|endoftext|>,0.0
2,1,I,5.770367
2,2,Ġknow,5.545733
2,3,Ġthat,2.74974
2,4,Ġthe,4.424285
2,5,Ġlion,13.311306
2,6,Ġdev,15.045718
2,7,oured,4.10353
2,8,Ġa,4.174514
2,9,Ġg,10.308731
2,10,az,1.511304
2,11,elle,0.243648
2,12,Ġyesterday,8.877794
2,13,<|endoftext|>,13.685945
3,0,<|endoftext|>,0.0
3,1,I,5.770367
3,2,Ġknow,5.545733
3,3,Ġthat,2.74974
3,4,Ġthe,4.424285
3,5,Ġlion,13.311317
3,6,Ġdev,15.045718
3,7,oured,4.103535
3,8,Ġyesterday,12.554128
3,9,<|endoftext|>,16.102643
