sentence_id	token_id	token	surprisal
1	1	<|endoftext|>	0.0
1	2	The	4.729313
1	3	Ġassistant	14.661116
1	4	Ġknew	16.348918
1	5	Ġwho	6.747474
1	6	Ġthe	3.798539
1	7	Ġsecretary	10.22481
1	8	Ġintroduced	17.901278
1	9	Ġto	1.873882
1	10	Ġher	2.4049
1	11	Ġfriend	9.310272
1	12	.	2.521903
1	13	<|endoftext|>	8.747615
2	1	<|endoftext|>	0.0
2	2	The	4.729313
2	3	Ġassistant	14.661116
2	4	Ġknew	16.348932
2	5	Ġwho	6.747474
2	6	Ġthe	3.798539
2	7	Ġsecretary	10.224807
2	8	Ġintroduced	17.901288
2	9	Ġher	4.295585
2	10	Ġpartner	12.294804
2	11	Ġto	1.395767
2	12	Ġher	7.330529
2	13	Ġfriend	7.556306
2	14	.	2.335434
2	15	<|endoftext|>	8.562344
3	1	<|endoftext|>	0.0
3	2	The	4.729313
3	3	Ġassistant	14.661116
3	4	Ġknew	16.348918
3	5	Ġthat	3.218776
3	6	Ġthe	3.439892
3	7	Ġsecretary	11.326484
3	8	Ġintroduced	16.708807
3	9	Ġto	7.745109
3	10	Ġher	2.395998
3	11	Ġfriend	9.470826
3	12	.	6.329623
3	13	<|endoftext|>	8.638402
4	1	<|endoftext|>	0.0
4	2	The	4.729313
4	3	Ġassistant	14.661116
4	4	Ġknew	16.348932
4	5	Ġthat	3.218776
4	6	Ġthe	3.439892
4	7	Ġsecretary	11.326484
4	8	Ġintroduced	16.708811
4	9	Ġher	2.850313
4	10	Ġpartner	9.693775
4	11	Ġto	1.891158
4	12	Ġher	3.712069
4	13	Ġfriend	6.664204
4	14	.	3.037363
4	15	<|endoftext|>	9.213401
5	1	<|endoftext|>	0.0
5	2	The	4.729281
5	3	Ġassistant	14.661097
5	4	Ġknew	16.348909
5	5	Ġwho	6.747629
5	6	Ġthe	3.798587
5	7	Ġsecurity	11.535352
5	8	Ġguard	1.861078
5	9	Ġsaid	10.122579
5	10	Ġthe	5.823729
5	11	Ġsecretary	11.199588
5	12	Ġintroduced	15.560383
5	13	Ġto	1.430659
5	14	Ġher	2.469178
5	15	Ġfriend	10.166767
5	16	.	1.787542
5	17	<|endoftext|>	7.864218
6	1	<|endoftext|>	0.0
6	2	The	4.729281
6	3	Ġassistant	14.661097
6	4	Ġknew	16.348909
6	5	Ġwho	6.747629
6	6	Ġthe	3.798587
6	7	Ġsecurity	11.535352
6	8	Ġguard	1.861078
6	9	Ġsaid	10.122579
6	10	Ġthe	5.823729
6	11	Ġsecretary	11.199588
6	12	Ġintroduced	15.560383
6	13	Ġher	4.185199
6	14	Ġpartner	14.330941
6	15	Ġto	1.493732
6	16	Ġher	7.005361
6	17	Ġfriend	7.522891
6	18	.	1.839303
6	19	<|endoftext|>	7.782831
7	1	<|endoftext|>	0.0
7	2	The	4.729281
7	3	Ġassistant	14.661097
7	4	Ġknew	16.348909
7	5	Ġthat	3.218776
7	6	Ġthe	3.439831
7	7	Ġsecurity	10.229972
7	8	Ġguard	3.180852
7	9	Ġsaid	8.914582
7	10	Ġthe	3.803254
7	11	Ġsecretary	11.037679
7	12	Ġintroduced	15.409303
7	13	Ġto	8.221761
7	14	Ġher	2.559441
7	15	Ġfriend	9.804387
7	16	.	5.79874
7	17	<|endoftext|>	8.163122
8	1	<|endoftext|>	0.0
8	2	The	4.729281
8	3	Ġassistant	14.661097
8	4	Ġknew	16.348909
8	5	Ġthat	3.218776
8	6	Ġthe	3.439831
8	7	Ġsecurity	10.229972
8	8	Ġguard	3.180852
8	9	Ġsaid	8.914582
8	10	Ġthe	3.803254
8	11	Ġsecretary	11.037679
8	12	Ġintroduced	15.409303
8	13	Ġher	2.878279
8	14	Ġpartner	11.483413
8	15	Ġto	1.600936
8	16	Ġher	3.919469
8	17	Ġfriend	6.681886
8	18	.	2.34346
8	19	<|endoftext|>	8.284134
9	1	<|endoftext|>	0.0
9	2	The	4.729281
9	3	Ġassistant	14.661097
9	4	Ġknew	16.348909
9	5	Ġwho	6.747629
9	6	Ġthe	3.798587
9	7	Ġsecurity	11.535352
9	8	Ġguard	1.861078
9	9	Ġsaid	10.122579
9	10	Ġhis	7.988609
9	11	Ġmanager	10.784096
9	12	Ġbelieved	8.433873
9	13	Ġthe	7.776745
9	14	Ġsecretary	11.807971
9	15	Ġintroduced	15.818978
9	16	Ġto	1.655827
9	17	Ġher	3.128826
9	18	Ġfriend	10.125994
9	19	.	2.019984
9	20	<|endoftext|>	7.1479
10	1	<|endoftext|>	0.0
10	2	The	4.729281
10	3	Ġassistant	14.661097
10	4	Ġknew	16.348909
10	5	Ġwho	6.747629
10	6	Ġthe	3.798587
10	7	Ġsecurity	11.535352
10	8	Ġguard	1.861078
10	9	Ġsaid	10.122579
10	10	Ġhis	7.988609
10	11	Ġmanager	10.784096
10	12	Ġbelieved	8.433873
10	13	Ġthe	7.776745
10	14	Ġsecretary	11.807971
10	15	Ġintroduced	15.818978
10	16	Ġher	4.197791
10	17	Ġpartner	12.821353
10	18	Ġto	1.135877
10	19	Ġher	5.117599
10	20	Ġfriend	7.09549
10	21	.	1.75165
10	22	<|endoftext|>	7.092333
11	1	<|endoftext|>	0.0
11	2	The	4.729281
11	3	Ġassistant	14.661097
11	4	Ġknew	16.348909
11	5	Ġthat	3.218776
11	6	Ġthe	3.439831
11	7	Ġsecurity	10.229972
11	8	Ġguard	3.180852
11	9	Ġsaid	8.914582
11	10	Ġhis	6.105785
11	11	Ġmanager	12.000982
11	12	Ġbelieved	8.238292
11	13	Ġthe	2.533421
11	14	Ġsecretary	11.739478
11	15	Ġintroduced	15.941957
11	16	Ġto	8.023932
11	17	Ġher	2.902059
11	18	Ġfriend	9.49152
11	19	.	4.994167
11	20	<|endoftext|>	7.523517
12	1	<|endoftext|>	0.0
12	2	The	4.729281
12	3	Ġassistant	14.661097
12	4	Ġknew	16.348909
12	5	Ġthat	3.218776
12	6	Ġthe	3.439831
12	7	Ġsecurity	10.229972
12	8	Ġguard	3.180852
12	9	Ġsaid	8.914582
12	10	Ġhis	6.105785
12	11	Ġmanager	12.000982
12	12	Ġbelieved	8.238292
12	13	Ġthe	2.533421
12	14	Ġsecretary	11.739478
12	15	Ġintroduced	15.941957
12	16	Ġher	2.942195
12	17	Ġpartner	11.4323
12	18	Ġto	1.077361
12	19	Ġher	3.872165
12	20	Ġfriend	6.660654
12	21	.	2.06041
