sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,embedding_4,subject,verb,object,continuation,main_clause_surprisal,main_clause_surprisal_mean,complementiser_surprisal,complementiser_surprisal_mean,embedding_1_surprisal,embedding_1_surprisal_mean,embedding_2_surprisal,embedding_2_surprisal_mean,embedding_3_surprisal,embedding_3_surprisal_mean,embedding_4_surprisal,embedding_4_surprisal_mean,subject_surprisal,subject_surprisal_mean,verb_surprisal,verb_surprisal_mean,object_surprisal,object_surprisal_mean,continuation_surprisal,continuation_surprisal_mean,semi_local_surprisal_mean,global_surprisal_mean,local_surprisal,local_surprisal_mean,main_clause_frequency,main_clause_frequency_mean,complementiser_frequency,complementiser_frequency_mean,embedding_1_frequency,embedding_1_frequency_mean,embedding_2_frequency,embedding_2_frequency_mean,embedding_3_frequency,embedding_3_frequency_mean,embedding_4_frequency,embedding_4_frequency_mean,subject_frequency,subject_frequency_mean,verb_frequency,verb_frequency_mean,object_frequency,object_frequency_mean,continuation_frequency,continuation_frequency_mean,local_frequency,local_frequency_mean
1,no,yes,0,-wh_gap,I know,that,,,,,,threw,the plastic,into the trash can.,8.92268,7.641035,3.01867,3.01867,,,,,,,,,,,16.3903,16.3903,3.69269,9.046945,10.8086,8.2801,9.657798571428572,8.590532999999999,16.3903,16.3903,0.0123,0.00114,0.0102,0.0102,,,,,,,,,,,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,2.88e-05,2.88e-05
1,no,no,0,-wh_no_gap,I know,that,,,,,your friend,threw,the plastic,into the trash can.,8.92268,7.641035,3.01867,3.01867,,,,,,,,,9.03142,9.03274,15.5017,15.5017,3.69269,9.046945,10.8086,8.2801,9.420163333333337,8.590184166666665,9.03142,9.03274,0.0123,0.00114,0.0102,0.0102,,,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.00339,0.000219
1,yes,yes,0,+wh_gap,I know,who,,,,,,threw,the plastic,into the trash can.,8.92268,7.641035,6.55265,6.55265,,,,,,,,,,,11.9635,11.9635,2.95763,8.696815,10.8086,8.2801,8.92536142857143,8.431225,11.9635,11.9635,0.0123,0.00114,0.00219,0.00219,,,,,,,,,,,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,2.88e-05,2.88e-05
1,yes,no,0,+wh_no_gap,I know,who,,,,,your friend,threw,the plastic,into the trash can.,8.92268,7.641035,6.55265,6.55265,,,,,,,,,15.3251,12.16895,15.5017,15.5017,3.69269,9.046945,10.8086,8.2801,10.11709888888889,9.407384166666665,15.3251,12.16895,0.0123,0.00114,0.00219,0.00219,,,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.00339,0.000219
1,no,yes,1,-wh_gap,I know,that,our mother said,,,,,threw,the plastic,into the trash can.,8.92268,7.641035,3.01867,3.01867,9.03142,9.68994,,,,,,,,,16.635,16.635,3.69269,9.046945,10.8086,8.2801,9.692755714285711,8.863065384615384,16.635,16.635,0.0123,0.00114,0.0102,0.0102,0.00138,0.000134,,,,,,,,,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,2.88e-05,2.88e-05
1,no,no,1,-wh_no_gap,I know,that,our mother said,,,,your friend,threw,the plastic,into the trash can.,8.92268,7.641035,3.01867,3.01867,9.03142,9.68994,,,,,,,15.38,12.1964,15.5017,15.5017,3.69269,9.046945,10.8086,8.2801,10.123198888888888,9.231956666666669,15.38,12.1964,0.0123,0.00114,0.0102,0.0102,0.00138,0.000134,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.00339,0.000219
1,yes,yes,1,+wh_gap,I know,who,our mother said,,,,,threw,the plastic,into the trash can.,8.92268,7.641035,6.55265,6.55265,15.3251,11.741703333333334,,,,,,,,,16.635,16.635,3.69269,9.046945,10.8086,8.2801,9.692755714285711,9.608393846153843,16.635,16.635,0.0123,0.00114,0.00219,0.00219,0.00138,0.000134,,,,,,,,,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,2.88e-05,2.88e-05
1,yes,no,1,+wh_no_gap,I know,who,our mother said,,,,your friend,threw,the plastic,into the trash can.,8.92268,7.641035,6.55265,6.55265,15.3251,11.741703333333334,,,,,,,15.38,12.1964,15.5017,15.5017,3.69269,9.046945,10.8086,8.2801,10.123198888888888,9.877908,15.38,12.1964,0.0123,0.00114,0.00219,0.00219,0.00138,0.000134,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.00339,0.000219
1,no,yes,2,-wh_gap,I know,that,our mother said,her friend remarked,,,,threw,the plastic,into the trash can.,8.92268,7.641035,3.01867,3.01867,9.03142,9.68994,8.58876,11.263733333333334,,,,,,,17.3827,17.3827,3.69269,9.046945,10.8086,8.2801,9.79957,9.359921875,17.3827,17.3827,0.0123,0.00114,0.0102,0.0102,0.00138,0.000134,0.002,3.82e-06,,,,,,,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,2.88e-05,2.88e-05
1,no,no,2,-wh_no_gap,I know,that,our mother said,her friend remarked,,,your friend,threw,the plastic,into the trash can.,8.92268,7.641035,3.01867,3.01867,9.03142,9.68994,8.58876,11.263733333333334,,,,,16.1277,12.57025,15.5017,15.5017,3.69269,9.046945,10.8086,8.2801,10.206276666666668,9.612125,16.1277,12.57025,0.0123,0.00114,0.0102,0.0102,0.00138,0.000134,0.002,3.82e-06,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.00339,0.000219
1,yes,yes,2,+wh_gap,I know,who,our mother said,her friend remarked,,,,threw,the plastic,into the trash can.,8.92268,7.641035,6.55265,6.55265,15.3251,11.741703333333334,8.58876,11.263733333333334,,,,,,,17.3827,17.3827,3.69269,9.046945,10.8086,8.2801,9.79957,9.96550125,17.3827,17.3827,0.0123,0.00114,0.00219,0.00219,0.00138,0.000134,0.002,3.82e-06,,,,,,,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,2.88e-05,2.88e-05
1,yes,no,2,+wh_no_gap,I know,who,our mother said,her friend remarked,,,your friend,threw,the plastic,into the trash can.,8.92268,7.641035,6.55265,6.55265,15.3251,11.741703333333334,8.58876,11.263733333333334,,,,,16.1277,12.57025,15.5017,15.5017,3.69269,9.046945,10.8086,8.2801,10.206276666666668,10.150417777777776,16.1277,12.57025,0.0123,0.00114,0.00219,0.00219,0.00138,0.000134,0.002,3.82e-06,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.00339,0.000219
