sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,subject,verb,object,continuation,main_clause_surprisal,main_clause_surprisal_mean,complementiser_surprisal,complementiser_surprisal_mean,embedding_1_surprisal,embedding_1_surprisal_mean,embedding_2_surprisal,embedding_2_surprisal_mean,embedding_3_surprisal,embedding_3_surprisal_mean,subject_surprisal,subject_surprisal_mean,verb_surprisal,verb_surprisal_mean,object_surprisal,object_surprisal_mean,continuation_surprisal,continuation_surprisal_mean
1,yes,yes,0,+wh_gap,The assistant knew,who,,,,the secretary,impressed,,at the meeting.,0.0,11.813024,8.132307,8.132307,,,,,,,4.022631,8.045405,15.12189,15.12189,,,5.337453,4.198499333333333
1,yes,no,0,+wh_no_gap,The assistant knew,who,,,,the secretary,impressed,the director,at the meeting.,0.0,11.813024,8.132307,8.132307,,,,,,,4.022631,8.045405,15.12189,15.12189,4.600652,5.5190245,6.708155,5.8110420000000005
1,no,yes,0,-wh_gap,The assistant knew,that,,,,the secretary,impressed,,at the meeting.,0.0,11.813024,2.728114,2.728114,,,,,,,1.719252,7.6535735,15.763869,15.763869,,,6.447496,4.384806666666667
1,no,no,0,-wh_no_gap,The assistant knew,that,,,,the secretary,impressed,the director,at the meeting.,0.0,11.813024,2.728114,2.728114,,,,,,,1.719252,7.6535735,15.763869,15.763869,2.578375,4.445813,6.327034,4.957366
1,yes,yes,1,+wh_gap,The assistant knew,who,the security guard said,,,the secretary,impressed,,at the meeting.,0.0,11.813024,8.132307,8.132307,4.022631,7.464119500000001,,,,,4.754498,8.627085000000001,15.522835,15.522835,,,6.341971,4.331634
1,yes,no,1,+wh_no_gap,The assistant knew,who,the security guard said,,,the secretary,impressed,the director,at the meeting.,0.0,11.813024,8.132307,8.132307,4.022631,7.464119500000001,,,,,4.754498,8.627085000000001,15.522835,15.522835,3.293344,4.812885,6.516068,5.053900333333333
1,no,yes,1,-wh_gap,The assistant knew,that,the security guard said,,,the secretary,impressed,,at the meeting.,0.0,11.813024,2.728114,2.728114,1.719252,7.18649325,,,,,2.883517,7.9414795,16.072693,16.072693,,,6.952478,4.426742333333333
1,no,no,1,-wh_no_gap,The assistant knew,that,the security guard said,,,the secretary,impressed,the director,at the meeting.,0.0,11.813024,2.728114,2.728114,1.719252,7.18649325,,,,,2.883517,7.9414795,16.072693,16.072693,2.544067,4.341712,6.459447,4.869617666666667
1,yes,yes,2,+wh_gap,The assistant knew,who,the security guard said,his manager believed,,the secretary,impressed,,at the meeting.,0.0,11.813024,8.132307,8.132307,4.022631,7.464119500000001,7.722405,9.087101666666667,,,2.897134,8.520806,15.87401,15.87401,,,7.237423,4.734106333333333
1,yes,no,2,+wh_no_gap,The assistant knew,who,the security guard said,his manager believed,,the secretary,impressed,the director,at the meeting.,0.0,11.813024,8.132307,8.132307,4.022631,7.464119500000001,7.722405,9.087101666666667,,,2.897134,8.520806,15.87401,15.87401,3.050332,4.3372155,6.48027,5.038388
