sentence_id	token_id	token	surprisal
1	1	they	6.37172
1	2	reported	11.2987
1	3	that	1.06934
1	4	could	8.36676
1	5	have	4.23376
1	6	promoted	13.0412
1	7	the	2.92461
1	8	accountant	17.147
1	9	last	14.3545
1	10	quarter	11.486
1	11	.	3.80372
1	12	</s>	27.9657
2	1	they	6.37172
2	2	reported	11.2987
2	3	that	1.06934
2	4	the	2.41116
2	5	boss	15.2577
2	6	could	11.6672
2	7	have	4.64757
2	8	promoted	12.6249
2	9	the	2.92461
2	10	accountant	17.147
2	11	last	14.3545
2	12	quarter	11.486
2	13	.	3.80372
2	14	</s>	27.9657
3	1	they	6.37172
3	2	reported	11.2987
3	3	who	12.4486
3	4	could	7.13325
3	5	have	4.91109
3	6	promoted	12.4818
3	7	the	2.92461
3	8	accountant	17.147
3	9	last	14.3545
3	10	quarter	11.486
3	11	.	3.80372
3	12	</s>	27.9657
4	1	they	6.37172
4	2	reported	11.2987
4	3	who	12.4486
4	4	the	8.96323
4	5	boss	14.2445
4	6	could	11.6672
4	7	have	4.64757
4	8	promoted	12.6249
4	9	the	2.92461
4	10	accountant	17.147
4	11	last	14.3545
4	12	quarter	11.486
4	13	.	3.80372
4	14	</s>	27.9657
5	1	they	6.37172
5	2	reported	11.2987
5	3	that	1.06934
5	4	the	2.41116
5	5	man	9.74448
5	6	said	10.1162
5	7	could	11.1654
5	8	have	4.60849
5	9	promoted	12.6249
5	10	the	2.92461
5	11	accountant	17.147
5	12	last	14.3545
5	13	quarter	11.486
5	14	.	3.80372
5	15	</s>	27.9657
6	1	they	6.37172
6	2	reported	11.2987
6	3	that	1.06934
6	4	the	2.41116
6	5	man	9.74448
6	6	said	10.1162
6	7	the	4.64906
6	8	boss	14.4272
6	9	could	11.6672
6	10	have	4.64757
6	11	promoted	12.6249
6	12	the	2.92461
6	13	accountant	17.147
6	14	last	14.3545
6	15	quarter	11.486
6	16	.	3.80372
6	17	</s>	27.9657
7	1	they	6.37172
7	2	reported	11.2987
7	3	who	12.4486
7	4	the	8.96323
7	5	man	6.8914
7	6	said	10.0278
7	7	could	11.1654
7	8	have	4.60849
7	9	promoted	12.6249
7	10	the	2.92461
7	11	accountant	17.147
7	12	last	14.3545
7	13	quarter	11.486
7	14	.	3.80372
7	15	</s>	27.9657
8	1	they	6.37172
8	2	reported	11.2987
8	3	who	12.4486
8	4	the	8.96323
8	5	man	6.8914
8	6	said	10.0278
8	7	the	4.64906
8	8	boss	14.4272
8	9	could	11.6672
8	10	have	4.64757
8	11	promoted	12.6249
8	12	the	2.92461
8	13	accountant	17.147
8	14	last	14.3545
8	15	quarter	11.486
8	16	.	3.80372
8	17	</s>	27.9657
9	1	they	6.37172
9	2	reported	11.2987
9	3	that	1.06934
9	4	the	2.41116
9	5	man	9.74448
9	6	said	10.1162
9	7	the	4.64906
9	8	old	10.8476
9	9	woman	8.0687
9	10	told	11.9488
9	11	him	3.88907
9	12	could	13.3907
9	13	have	4.72521
9	14	promoted	12.6249
9	15	the	2.92461
9	16	accountant	17.147
9	17	last	14.3545
9	18	quarter	11.486
9	19	.	3.80372
9	20	</s>	27.9657
10	1	they	6.37172
10	2	reported	11.2987
10	3	that	1.06934
10	4	the	2.41116
10	5	man	9.74448
10	6	said	10.1162
10	7	the	4.64906
10	8	old	10.8476
10	9	woman	8.0687
10	10	told	11.9488
10	11	him	3.88907
10	12	the	4.84715
10	13	boss	14.5977
10	14	could	11.6672
10	15	have	4.64757
10	16	promoted	12.6249
10	17	the	2.92461
10	18	accountant	17.147
10	19	last	14.3545
10	20	quarter	11.486
10	21	.	3.80372
10	22	</s>	27.9657
11	1	they	6.37172
11	2	reported	11.2987
11	3	who	12.4486
11	4	the	8.96323
11	5	man	6.8914
11	6	said	10.0278
11	7	the	4.64906
11	8	old	10.8476
11	9	woman	8.0687
11	10	told	11.9488
11	11	him	3.88907
11	12	could	13.3907
11	13	have	4.72521
11	14	promoted	12.6249
11	15	the	2.92461
11	16	accountant	17.147
11	17	last	14.3545
11	18	quarter	11.486
11	19	.	3.80372
11	20	</s>	27.9657
12	1	they	6.37172
12	2	reported	11.2987
12	3	who	12.4486
12	4	the	8.96323
12	5	man	6.8914
12	6	said	10.0278
12	7	the	4.64906
12	8	old	10.8476
