sentence_id,token_id,token,surprisal
0,0,i,8.92268
0,1,know,6.35939
0,2,what,4.42758
0,3,the,4.74202
0,4,lion,13.8872
0,5,devoured,19.5026
0,6,yesterday,17.3229
0,7,</s>,23.8948
1,0,i,8.92268
1,1,know,6.35939
1,2,what,4.42758
1,3,the,4.74202
1,4,lion,13.8872
1,5,devoured,19.5026
1,6,a,10.1686
1,7,<unk>,6.95131
1,8,yesterday,17.4258
1,9,</s>,23.8866
2,0,i,8.92268
2,1,know,6.35939
2,2,that,3.01867
2,3,the,4.26664
2,4,lion,16.0779
2,5,devoured,19.5026
2,6,a,10.1686
2,7,<unk>,6.95131
2,8,yesterday,17.4258
2,9,</s>,23.8866
3,0,i,8.92268
3,1,know,6.35939
3,2,that,3.01867
3,3,the,4.26664
3,4,lion,16.0779
3,5,devoured,19.5026
3,6,yesterday,17.3229
3,7,</s>,23.8948
