sentence_id,token_id,token,surprisal
0,0,<|endoftext|>,0.0
0,1,They,9.39695
0,2,Ġreported,10.956506
0,3,Ġthat,2.208508
0,4,Ġcould,14.70096
0,5,Ġhave,4.051415
0,6,Ġpromoted,15.211358
0,7,Ġthe,2.724253
0,8,Ġaccountant,19.678434
0,9,Ġlast,12.331204
0,10,Ġquarter,11.754745
0,11,.,2.418298
0,12,<|endoftext|>,4.939675
1,0,<|endoftext|>,0.0
1,1,They,9.39695
1,2,Ġreported,10.956506
1,3,Ġthat,2.20851
1,4,Ġthe,2.648978
1,5,Ġboss,12.477322
1,6,Ġcould,8.011897
1,7,Ġhave,3.32413
1,8,Ġpromoted,13.125882
1,9,Ġthe,3.052271
1,10,Ġaccountant,13.52482
1,11,Ġlast,10.01921
1,12,Ġquarter,12.263409
1,13,.,2.829696
1,14,<|endoftext|>,5.084847
2,0,<|endoftext|>,0.0
2,1,They,9.39695
2,2,Ġreported,10.956506
2,3,Ġwho,12.973994
2,4,Ġcould,8.262186
2,5,Ġhave,2.442637
2,6,Ġpromoted,14.433121
2,7,Ġthe,1.972487
2,8,Ġaccountant,18.802167
2,9,Ġlast,10.256871
2,10,Ġquarter,12.822852
2,11,.,2.259204
2,12,<|endoftext|>,5.939996
3,0,<|endoftext|>,0.0
3,1,They,9.39695
3,2,Ġreported,10.956506
3,3,Ġwho,12.973997
3,4,Ġthe,4.219928
3,5,Ġboss,10.719062
3,6,Ġcould,8.689499
3,7,Ġhave,3.191133
3,8,Ġpromoted,13.966836
3,9,Ġthe,6.060905
3,10,Ġaccountant,15.652718
3,11,Ġlast,9.372092
3,12,Ġquarter,13.145722
3,13,.,1.642701
3,14,<|endoftext|>,5.578699
4,0,<|endoftext|>,0.0
4,1,They,9.396972
4,2,Ġreported,10.95643
4,3,Ġthat,2.20852
4,4,Ġthe,2.648967
4,5,Ġman,6.285519
4,6,Ġsaid,6.848637
4,7,Ġcould,15.235668
4,8,Ġhave,2.979538
4,9,Ġpromoted,17.376284
4,10,Ġthe,2.770593
4,11,Ġaccountant,20.357639
4,12,Ġlast,12.917899
4,13,Ġquarter,13.586574
4,14,.,2.617441
4,15,<|endoftext|>,5.032374
5,0,<|endoftext|>,0.0
5,1,They,9.396978
5,2,Ġreported,10.956426
5,3,Ġthat,2.208518
5,4,Ġthe,2.648968
5,5,Ġman,6.28552
5,6,Ġsaid,6.848633
5,7,Ġthe,4.100878
5,8,Ġboss,12.150847
5,9,Ġcould,7.375689
5,10,Ġhave,3.513481
5,11,Ġpromoted,14.034672
5,12,Ġthe,3.196167
5,13,Ġaccountant,13.178693
5,14,Ġlast,11.284
5,15,Ġquarter,12.59662
5,16,.,2.483731
5,17,<|endoftext|>,5.132623
6,0,<|endoftext|>,0.0
6,1,They,9.396972
6,2,Ġreported,10.95643
6,3,Ġwho,12.973919
6,4,Ġthe,4.219939
6,5,Ġman,4.470151
6,6,Ġsaid,7.069537
6,7,Ġcould,9.347312
6,8,Ġhave,2.695622
6,9,Ġpromoted,16.141597
6,10,Ġthe,1.923019
6,11,Ġaccountant,19.601829
6,12,Ġlast,11.524661
6,13,Ġquarter,14.301845
6,14,.,1.722267
6,15,<|endoftext|>,5.43165
7,0,<|endoftext|>,0.0
7,1,They,9.396978
7,2,Ġreported,10.956426
7,3,Ġwho,12.973917
7,4,Ġthe,4.219927
