,sentence_start,condition,levels_of_embedding,sentence_id,next_token_POS
0,I know that your friend threw,-wh_no_gap,0,1,VERB
1,I know that your friend threw,-wh_no_gap,0,1,PROPN
2,I know that your friend threw,-wh_no_gap,0,1,NUM
3,I know that your friend threw,-wh_no_gap,0,1,NOUN
4,I know that your friend threw,-wh_no_gap,0,1,NOUN
5,I know that your friend threw,-wh_no_gap,0,1,NUM
6,I know that your friend threw,-wh_no_gap,0,1,NOUN
7,I know that your friend threw,-wh_no_gap,0,1,PROPN
8,I know that your friend threw,-wh_no_gap,0,1,VERB
9,I know that your friend threw,-wh_no_gap,0,1,PROPN
10,I know that your friend threw,-wh_no_gap,0,1,NOUN
11,I know that your friend threw,-wh_no_gap,0,1,PROPN
12,I know that your friend threw,-wh_no_gap,0,1,NOUN
13,I know that your friend threw,-wh_no_gap,0,1,PROPN
14,I know that your friend threw,-wh_no_gap,0,1,NOUN
15,I know that your friend threw,-wh_no_gap,0,1,NOUN
16,I know that your friend threw,-wh_no_gap,0,1,ADJ
17,I know that your friend threw,-wh_no_gap,0,1,NOUN
18,I know that your friend threw,-wh_no_gap,0,1,NOUN
19,I know that your friend threw,-wh_no_gap,0,1,NOUN
20,I know that your friend threw,-wh_no_gap,0,1,NOUN
21,I know that your friend threw,-wh_no_gap,0,1,VERB
22,I know that your friend threw,-wh_no_gap,0,1,ADV
23,I know that your friend threw,-wh_no_gap,0,1,NOUN
24,I know that your friend threw,-wh_no_gap,0,1,PROPN
25,I know that your friend threw,-wh_no_gap,0,1,NOUN
26,I know that your friend threw,-wh_no_gap,0,1,NOUN
27,I know that your friend threw,-wh_no_gap,0,1,NOUN
28,I know that your friend threw,-wh_no_gap,0,1,NOUN
29,I know that your friend threw,-wh_no_gap,0,1,PROPN
30,I know that your friend threw,-wh_no_gap,0,1,PROPN
31,I know that your friend threw,-wh_no_gap,0,1,NOUN
32,I know that your friend threw,-wh_no_gap,0,1,NOUN
33,I know that your friend threw,-wh_no_gap,0,1,PROPN
34,I know that your friend threw,-wh_no_gap,0,1,ADJ
35,I know that your friend threw,-wh_no_gap,0,1,NOUN
36,I know that your friend threw,-wh_no_gap,0,1,NOUN
37,I know that your friend threw,-wh_no_gap,0,1,ADJ
38,I know that your friend threw,-wh_no_gap,0,1,NOUN
39,I know that your friend threw,-wh_no_gap,0,1,VERB
40,I know that your friend threw,-wh_no_gap,0,1,X
41,I know that your friend threw,-wh_no_gap,0,1,NOUN
42,I know that your friend threw,-wh_no_gap,0,1,VERB
43,I know that your friend threw,-wh_no_gap,0,1,VERB
44,I know that your friend threw,-wh_no_gap,0,1,PROPN
45,I know that your friend threw,-wh_no_gap,0,1,NOUN
46,I know that your friend threw,-wh_no_gap,0,1,ADV
47,I know that your friend threw,-wh_no_gap,0,1,PUNCT
48,I know that your friend threw,-wh_no_gap,0,1,ADV
49,I know that your friend threw,-wh_no_gap,0,1,NUM
50,I know that your friend threw,-wh_no_gap,0,1,NOUN
51,I know that your friend threw,-wh_no_gap,0,1,ADV
52,I know that your friend threw,-wh_no_gap,0,1,PROPN
53,I know that your friend threw,-wh_no_gap,0,1,NOUN
54,I know that your friend threw,-wh_no_gap,0,1,NUM
55,I know that your friend threw,-wh_no_gap,0,1,PROPN
56,I know that your friend threw,-wh_no_gap,0,1,NOUN
57,I know that your friend threw,-wh_no_gap,0,1,VERB
58,I know that your friend threw,-wh_no_gap,0,1,VERB
59,I know that your friend threw,-wh_no_gap,0,1,NOUN
60,I know that your friend threw,-wh_no_gap,0,1,VERB
61,I know that your friend threw,-wh_no_gap,0,1,VERB
62,I know that your friend threw,-wh_no_gap,0,1,NOUN
63,I know that your friend threw,-wh_no_gap,0,1,NOUN
64,I know that your friend threw,-wh_no_gap,0,1,ADJ
65,I know that your friend threw,-wh_no_gap,0,1,NOUN
66,I know that your friend threw,-wh_no_gap,0,1,NOUN
67,I know that your friend threw,-wh_no_gap,0,1,NOUN
68,I know that your friend threw,-wh_no_gap,0,1,NOUN
69,I know that your friend threw,-wh_no_gap,0,1,NOUN
70,I know that your friend threw,-wh_no_gap,0,1,NOUN
71,I know that your friend threw,-wh_no_gap,0,1,VERB
72,I know that your friend threw,-wh_no_gap,0,1,NOUN
73,I know that your friend threw,-wh_no_gap,0,1,VERB
74,I know that your friend threw,-wh_no_gap,0,1,PROPN
75,I know that your friend threw,-wh_no_gap,0,1,NOUN
76,I know that your friend threw,-wh_no_gap,0,1,NOUN
77,I know that your friend threw,-wh_no_gap,0,1,PROPN
78,I know that your friend threw,-wh_no_gap,0,1,ADJ
79,I know that your friend threw,-wh_no_gap,0,1,PROPN
80,I know that your friend threw,-wh_no_gap,0,1,NOUN
81,I know that your friend threw,-wh_no_gap,0,1,NOUN
82,I know that your friend threw,-wh_no_gap,0,1,NOUN
83,I know that your friend threw,-wh_no_gap,0,1,ADV
84,I know that your friend threw,-wh_no_gap,0,1,ADJ
85,I know that your friend threw,-wh_no_gap,0,1,PROPN
86,I know that your friend threw,-wh_no_gap,0,1,NOUN
87,I know that your friend threw,-wh_no_gap,0,1,NOUN
88,I know that your friend threw,-wh_no_gap,0,1,NOUN
89,I know that your friend threw,-wh_no_gap,0,1,VERB
90,I know that your friend threw,-wh_no_gap,0,1,ADJ
91,I know that your friend threw,-wh_no_gap,0,1,NOUN
92,I know that your friend threw,-wh_no_gap,0,1,NOUN
93,I know that your friend threw,-wh_no_gap,0,1,NOUN
94,I know that your friend threw,-wh_no_gap,0,1,NOUN
95,I know that your friend threw,-wh_no_gap,0,1,PROPN
96,I know that your friend threw,-wh_no_gap,0,1,NOUN
97,I know that your friend threw,-wh_no_gap,0,1,NOUN
98,I know that your friend threw,-wh_no_gap,0,1,PROPN
99,I know that your friend threw,-wh_no_gap,0,1,NOUN
100,I know what your friend threw,+wh_gap,0,2,NOUN
101,I know what your friend threw,+wh_gap,0,2,NOUN
102,I know what your friend threw,+wh_gap,0,2,NOUN
103,I know what your friend threw,+wh_gap,0,2,NOUN
104,I know what your friend threw,+wh_gap,0,2,VERB
105,I know what your friend threw,+wh_gap,0,2,NOUN
106,I know what your friend threw,+wh_gap,0,2,NOUN
107,I know what your friend threw,+wh_gap,0,2,PROPN
108,I know what your friend threw,+wh_gap,0,2,PROPN
109,I know what your friend threw,+wh_gap,0,2,PROPN
110,I know what your friend threw,+wh_gap,0,2,NOUN
111,I know what your friend threw,+wh_gap,0,2,NOUN
112,I know what your friend threw,+wh_gap,0,2,NOUN
113,I know what your friend threw,+wh_gap,0,2,NOUN
114,I know what your friend threw,+wh_gap,0,2,NOUN
115,I know what your friend threw,+wh_gap,0,2,NOUN
116,I know what your friend threw,+wh_gap,0,2,PRON
117,I know what your friend threw,+wh_gap,0,2,ADJ
118,I know what your friend threw,+wh_gap,0,2,NOUN
119,I know what your friend threw,+wh_gap,0,2,PROPN
120,I know what your friend threw,+wh_gap,0,2,PROPN
121,I know what your friend threw,+wh_gap,0,2,NOUN
122,I know what your friend threw,+wh_gap,0,2,NUM
123,I know what your friend threw,+wh_gap,0,2,PROPN
124,I know what your friend threw,+wh_gap,0,2,NOUN
125,I know what your friend threw,+wh_gap,0,2,NOUN
126,I know what your friend threw,+wh_gap,0,2,PROPN
127,I know what your friend threw,+wh_gap,0,2,VERB
128,I know what your friend threw,+wh_gap,0,2,ADV
