sentence_id	token_id	token	surprisal
1	1	They	0.0
1	2	reported	10.412453
1	3	that	1.780984
1	4	could	14.058225
1	5	have	3.326235
1	6	promoted	14.368273
1	7	the	1.462504
1	8	accountant	19.658405
1	9	last	15.678619
1	10	quarter	9.408402
1	11	.	2.424914
1	12	<eos>	-0.0
2	1	They	0.0
2	2	reported	10.412453
2	3	that	1.780984
2	4	the	1.89322
2	5	boss	15.239762
2	6	could	4.987105
2	7	have	3.82969
2	8	promoted	13.011321
2	9	the	1.503596
2	10	accountant	19.401102
2	11	last	15.588111
2	12	quarter	9.117103
2	13	.	2.081423
2	14	<eos>	-0.0
3	1	They	0.0
3	2	reported	10.412453
3	3	who	11.821813
3	4	could	6.14351
3	5	have	3.424369
3	6	promoted	12.921373
3	7	the	1.446931
3	8	accountant	19.539301
3	9	last	15.650681
3	10	quarter	8.715836
3	11	.	2.028728
3	12	<eos>	-0.0
4	1	They	0.0
4	2	reported	10.412453
4	3	who	11.821813
4	4	the	7.229744
4	5	boss	14.907178
4	6	could	5.074233
4	7	have	3.638331
4	8	promoted	11.887764
4	9	the	5.784883
4	10	accountant	18.117706
4	11	last	15.359127
4	12	quarter	9.825212
4	13	.	1.650641
4	14	<eos>	-0.0
5	1	They	0.0
5	2	reported	10.412453
5	3	that	1.780984
5	4	the	1.89322
5	5	man	9.066194
5	6	said	8.81948
5	7	could	9.33667
5	8	have	2.535733
5	9	promoted	13.556826
5	10	the	1.778742
5	11	accountant	18.957132
5	12	last	15.698484
5	13	quarter	9.762378
5	14	.	2.080148
5	15	<eos>	-0.0
6	1	They	0.0
6	2	reported	10.412453
6	3	that	1.780984
6	4	the	1.89322
6	5	man	9.066194
6	6	said	8.81948
6	7	the	4.605371
6	8	boss	14.21947
6	9	could	5.48197
6	10	have	3.060905
6	11	promoted	13.61716
6	12	the	1.64784
6	13	accountant	18.415121
6	14	last	15.464504
6	15	quarter	9.259489
6	16	.	1.738094
6	17	<eos>	-0.0
7	1	They	0.0
7	2	reported	10.412453
7	3	who	11.821813
7	4	the	7.229744
7	5	man	8.530405
7	6	said	7.054339
7	7	could	7.581649
7	8	have	2.70314
7	9	promoted	13.579658
7	10	the	1.757004
7	11	accountant	19.206671
7	12	last	15.722594
7	13	quarter	9.378961
7	14	.	1.821849
7	15	<eos>	-0.0
8	1	They	0.0
8	2	reported	10.412453
8	3	who	11.821813
8	4	the	7.229744
8	5	man	8.530405
8	6	said	7.054339
8	7	the	6.105996
8	8	boss	14.155415
8	9	could	5.669885
8	10	have	3.132709
8	11	promoted	13.4602
8	12	the	2.771923
8	13	accountant	18.46979
8	14	last	15.2795
8	15	quarter	9.173591
8	16	.	1.6004
8	17	<eos>	-0.0
9	1	They	0.0
9	2	reported	10.412453
9	3	that	1.780984
9	4	the	1.89322
9	5	man	9.066194
9	6	said	8.81948
9	7	the	4.605371
9	8	old	9.739626
9	9	woman	5.196508
9	10	told	7.141207
9	11	him	1.646867
9	12	could	13.262743
9	13	have	3.76772
9	14	promoted	14.149467
9	15	the	1.973507
9	16	accountant	18.560835
9	17	last	15.898722
9	18	quarter	9.930102
9	19	.	1.530038
9	20	<eos>	-0.0
10	1	They	0.0
10	2	reported	10.412453
10	3	that	1.780984
10	4	the	1.89322
10	5	man	9.066194
10	6	said	8.81948
10	7	the	4.605371
10	8	old	9.739626
10	9	woman	5.196508
10	10	told	7.141207
10	11	him	1.646867
10	12	the	5.062836
10	13	boss	15.509688
10	14	could	4.424331
10	15	have	3.168495
10	16	promoted	14.220979
10	17	the	1.922299
10	18	accountant	18.20459
10	19	last	15.666544
10	20	quarter	9.723347
10	21	.	1.400097
10	22	<eos>	-0.0
11	1	They	0.0
11	2	reported	10.412453
11	3	who	11.821813
11	4	the	7.229744
11	5	man	8.530405
11	6	said	7.054339
11	7	the	6.105996
11	8	old	9.806818
11	9	woman	5.144083
11	10	told	6.641197
11	11	him	1.82627
11	12	could	10.261149
11	13	have	3.300533
11	14	promoted	14.513792
11	15	the	2.45416
11	16	accountant	18.827194
11	17	last	15.510133
11	18	quarter	9.951709
11	19	.	1.497822
11	20	<eos>	-0.0
12	1	They	0.0
12	2	reported	10.412453
12	3	who	11.821813
12	4	the	7.229744
12	5	man	8.530405
12	6	said	7.054339
12	7	the	6.105996
12	8	old	9.806818
12	9	woman	5.144083
12	10	told	6.641197
12	11	him	1.82627
12	12	the	5.879863
12	13	boss	15.218735
12	14	could	4.913995
12	15	have	2.998002
12	16	promoted	13.867547
12	17	the	5.681216
12	18	accountant	18.242479
12	19	last	15.089994
12	20	quarter	10.26278
12	21	.	1.277955
12	22	<eos>	-0.0
13	1	They	0.0
13	2	reported	10.412453
13	3	that	1.780984
13	4	the	1.89322
13	5	man	9.066194
13	6	said	8.81948
13	7	the	4.605371
13	8	old	9.739626
13	9	woman	5.196508
13	10	told	7.141207
13	11	him	1.646867
13	12	she	4.404286
13	13	knew	6.841038
13	14	could	14.137612
13	15	have	3.491901
13	16	promoted	15.167992
13	17	the	2.156481
13	18	accountant	18.78537
13	19	last	15.731109
13	20	quarter	9.999441
13	21	.	1.31464
13	22	<eos>	-0.0
14	1	They	0.0
14	2	reported	10.412453
14	3	that	1.780984
14	4	the	1.89322
14	5	man	9.066194
14	6	said	8.81948
14	7	the	4.605371
14	8	old	9.739626
14	9	woman	5.196508
14	10	told	7.141207
14	11	him	1.646867
14	12	she	4.404286
14	13	knew	6.841038
14	14	the	3.435165
14	15	boss	15.242814
14	16	could	5.083458
14	17	have	3.015525
14	18	promoted	14.340541
14	19	the	2.089418
14	20	accountant	18.73588
14	21	last	15.974133
14	22	quarter	9.904968
14	23	.	1.271164
14	24	<eos>	-0.0
15	1	They	0.0
15	2	reported	10.412453
15	3	who	11.821813
15	4	the	7.229744
15	5	man	8.530405
15	6	said	7.054339
15	7	the	6.105996
15	8	old	9.806818
15	9	woman	5.144083
15	10	told	6.641197
15	11	him	1.82627
15	12	she	5.853952
15	13	knew	5.512263
15	14	could	10.237205
15	15	have	3.19458
15	16	promoted	14.955791
15	17	the	2.338814
15	18	accountant	18.796837
15	19	last	15.476512
15	20	quarter	9.919023
15	21	.	1.30757
15	22	<eos>	-0.0
16	1	They	0.0
16	2	reported	10.412453
16	3	who	11.821813
16	4	the	7.229744
16	5	man	8.530405
16	6	said	7.054339
16	7	the	6.105996
16	8	old	9.806818
16	9	woman	5.144083
16	10	told	6.641197
16	11	him	1.82627
16	12	she	5.853952
16	13	knew	5.512263
16	14	the	4.061439
16	15	boss	15.224038
16	16	could	5.304705
16	17	have	3.041534
16	18	promoted	14.377026
16	19	the	2.145902
16	20	accountant	18.88802
16	21	last	15.793547
16	22	quarter	9.754211
16	23	.	1.24061
16	24	<eos>	-0.0
17	1	They	0.0
17	2	reported	10.412453
17	3	that	1.780984
17	4	the	1.89322
17	5	man	9.066194
17	6	said	8.81948
17	7	the	4.605371
17	8	old	9.739626
17	9	woman	5.196508
17	10	told	7.141207
17	11	him	1.646867
17	12	she	4.404286
17	13	knew	6.841038
17	14	could	14.137612
17	15	have	3.491901
17	16	promoted	15.167992
17	17	the	2.156481
17	18	accountant	18.78537
17	19	last	15.731109
17	20	quarter	9.999441
17	21	.	1.31464
17	22	<eos>	-0.0
18	1	They	0.0
18	2	reported	10.412453
18	3	that	1.780984
18	4	the	1.89322
18	5	man	9.066194
18	6	said	8.81948
18	7	the	4.605371
18	8	old	9.739626
18	9	woman	5.196508
18	10	told	7.141207
18	11	him	1.646867
18	12	she	4.404286
18	13	knew	6.841038
18	14	the	3.435165
18	15	boss	15.242814
18	16	could	5.083458
18	17	have	3.015525
18	18	promoted	14.340541
18	19	the	2.089418
18	20	accountant	18.73588
18	21	last	15.974133
18	22	quarter	9.904968
18	23	.	1.271164
18	24	<eos>	-0.0
19	1	They	0.0
19	2	reported	10.412453
19	3	who	11.821813
19	4	the	7.229744
19	5	man	8.530405
19	6	said	7.054339
19	7	the	6.105996
19	8	old	9.806818
19	9	woman	5.144083
19	10	told	6.641197
19	11	him	1.82627
19	12	she	5.853952
19	13	knew	5.512263
19	14	could	10.237205
19	15	have	3.19458
19	16	promoted	14.955791
19	17	the	2.338814
19	18	accountant	18.796837
19	19	last	15.476512
19	20	quarter	9.919023
19	21	.	1.30757
19	22	<eos>	-0.0
20	1	They	0.0
20	2	reported	10.412453
20	3	who	11.821813
20	4	the	7.229744
20	5	man	8.530405
20	6	said	7.054339
20	7	the	6.105996
20	8	old	9.806818
20	9	woman	5.144083
20	10	told	6.641197
20	11	him	1.82627
20	12	she	5.853952
20	13	knew	5.512263
20	14	the	4.061439
