sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,subject,verb,object,continuation,main_clause_surprisal,main_clause_surprisal_mean,complementiser_surprisal,complementiser_surprisal_mean,embedding_1_surprisal,embedding_1_surprisal_mean,embedding_2_surprisal,embedding_2_surprisal_mean,embedding_3_surprisal,embedding_3_surprisal_mean,subject_surprisal,subject_surprisal_mean,verb_surprisal,verb_surprisal_mean,object_surprisal,object_surprisal_mean,continuation_surprisal,continuation_surprisal_mean,semi_local_surprisal_mean,global_surprisal_mean
1,yes,yes,0,+wh_gap,The assistant knew,who,,,,,impressed,the director,at the meeting.,0.0,11.813024,8.132307,8.132307,,,,,,,,,12.607956,12.607956,1.942132,4.6187945,6.469527,5.485042,6.383445166666667,8.187205
1,yes,no,0,+wh_no_gap,The assistant knew,who,,,,the secretary,impressed,the director,at the meeting.,0.0,11.813024,8.132307,8.132307,,,,,,,4.022631,8.045405,15.12189,15.12189,4.600652,5.5190245,6.708155,5.8110420000000005,7.460484375,8.604604500000002
1,no,yes,0,-wh_gap,The assistant knew,that,,,,,impressed,the director,at the meeting.,0.0,11.813024,2.728114,2.728114,,,,,,,,,18.154541,18.154541,5.076041,5.889827,7.030659,5.783735333333333,7.880900166666668,8.545258700000002
1,no,no,0,-wh_no_gap,The assistant knew,that,,,,the secretary,impressed,the director,at the meeting.,0.0,11.813024,2.728114,2.728114,,,,,,,1.719252,7.6535735,15.763869,15.763869,2.578375,4.445813,6.327034,4.957366,6.8543425000000004,7.750160499999999
1,yes,yes,1,+wh_gap,The assistant knew,who,the security guard said,,,,impressed,the director,at the meeting.,0.0,11.813024,8.132307,8.132307,4.022631,7.464119500000001,,,,,,,19.804655,19.804655,4.472296,5.332959000000001,6.311594,5.369827666666667,7.7633426666666665,8.571993785714286
1,yes,no,1,+wh_no_gap,The assistant knew,who,the security guard said,,,the secretary,impressed,the director,at the meeting.,0.0,11.813024,8.132307,8.132307,4.022631,7.464119500000001,,,,,4.754498,8.627085000000001,15.522835,15.522835,3.293344,4.812885,6.516068,5.053900333333333,7.195559500000001,8.1870208125
1,no,yes,1,-wh_gap,The assistant knew,that,the security guard said,,,,impressed,the director,at the meeting.,0.0,11.813024,2.728114,2.728114,1.719252,7.18649325,,,,,,,21.62661,21.62661,6.122682,5.951727,6.692596,5.159786,8.168237000000001,8.280184357142856
1,no,no,1,-wh_no_gap,The assistant knew,that,the security guard said,,,the secretary,impressed,the director,at the meeting.,0.0,11.813024,2.728114,2.728114,1.719252,7.18649325,,,,,2.883517,7.9414795,16.072693,16.072693,2.544067,4.341712,6.459447,4.869617666666667,6.905991125,7.635068
1,yes,yes,2,+wh_gap,The assistant knew,who,the security guard said,his manager believed,,,impressed,the director,at the meeting.,0.0,11.813024,8.132307,8.132307,4.022631,7.464119500000001,7.722405,9.087101666666667,,,,,17.788675,17.788675,5.647173,5.6637965,6.835271,5.266568666666667,7.485995666666665,8.565007999999999
1,yes,no,2,+wh_no_gap,The assistant knew,who,the security guard said,his manager believed,,the secretary,impressed,the director,at the meeting.,0.0,11.813024,8.132307,8.132307,4.022631,7.464119500000001,7.722405,9.087101666666667,,,2.897134,8.520806,15.87401,15.87401,3.050332,4.3372155,6.48027,5.038388,7.088152125,8.283914684210526
1,no,yes,2,-wh_gap,The assistant knew,that,the security guard said,his manager believed,,,impressed,the director,at the meeting.,0.0,11.813024,2.728114,2.728114,1.719252,7.18649325,5.916121,8.375585666666666,,,,,19.175333,19.175333,5.759958,5.759795,6.692457,5.1003956666666665,7.666018333333334,8.119766235294119
1,no,no,2,-wh_no_gap,The assistant knew,that,the security guard said,his manager believed,,the secretary,impressed,the director,at the meeting.,0.0,11.813024,2.728114,2.728114,1.719252,7.18649325,5.916121,8.375585666666666,,,2.962441,8.501188500000001,16.07902,16.07902,2.847639,4.287395,6.428124,4.939183,7.059217,7.816508000000001
1,yes,yes,3,+wh_gap,The assistant knew,who,the security guard said,his manager believed,the junior associate claimed,,impressed,the director,at the meeting.,0.0,11.813024,8.132307,8.132307,4.022631,7.464119500000001,7.722405,9.087101666666667,2.897134,11.46661075,,,19.017952,19.017952,6.375393,5.885076,6.615794,5.155247,7.708974166666667,9.181402380952381
1,yes,no,3,+wh_no_gap,The assistant knew,who,the security guard said,his manager believed,the junior associate claimed,the secretary,impressed,the director,at the meeting.,0.0,11.813024,8.132307,8.132307,4.022631,7.464119500000001,7.722405,9.087101666666667,2.897134,11.46661075,4.10011,8.549955,17.434898,17.434898,3.321584,4.434549,6.187009,4.904270666666666,7.26458975,8.898796652173914
1,no,yes,3,-wh_gap,The assistant knew,that,the security guard said,his manager believed,the junior associate claimed,,impressed,the director,at the meeting.,0.0,11.813024,2.728114,2.728114,1.719252,7.18649325,5.916121,8.375585666666666,2.962441,11.591919500000001,,,19.430027,19.430027,6.481398,5.8868245,6.666665,5.062727,7.731976166666667,8.799973857142858
1,no,no,3,-wh_no_gap,The assistant knew,that,the security guard said,his manager believed,the junior associate claimed,the secretary,impressed,the director,at the meeting.,0.0,11.813024,2.728114,2.728114,1.719252,7.18649325,5.916121,8.375585666666666,2.962441,11.591919500000001,4.102692,8.5254245,17.33762,17.33762,3.203846,4.3501175,6.202091,4.821806,7.19426525,8.520074608695651
