sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,subject,verb,object,continuation,main_clause_surprisal,main_clause_surprisal_mean,complementiser_surprisal,complementiser_surprisal_mean,embedding_1_surprisal,embedding_1_surprisal_mean,embedding_2_surprisal,embedding_2_surprisal_mean,embedding_3_surprisal,embedding_3_surprisal_mean,subject_surprisal,subject_surprisal_mean,verb_surprisal,verb_surprisal_mean,object_surprisal,object_surprisal_mean,continuation_surprisal,continuation_surprisal_mean
1,yes,yes,0,+wh_gap,The assistant knew,who,,,,the secretary,impressed,,at the meeting.,14.661116,12.585836,3.798539,3.798539,,,,,,,10.22481,16.548317,6.1039,6.1039,,,1.729074,3.171763
1,yes,no,0,+wh_no_gap,The assistant knew,who,,,,the secretary,impressed,the director,at the meeting.,14.661116,12.585840666666668,3.798539,3.798539,,,,,,,10.224807,16.548315,6.622082,6.622082,6.479472,6.5091295,1.233232,3.292807
1,no,yes,0,-wh_gap,The assistant knew,that,,,,the secretary,impressed,,at the meeting.,14.661116,11.409603333333335,3.439892,3.439892,,,,,,,11.326484,15.453681,8.153907,8.153907,,,2.52279,3.4761966666666666
1,no,no,0,-wh_no_gap,The assistant knew,that,,,,the secretary,impressed,the director,at the meeting.,14.661116,11.409608,3.439892,3.439892,,,,,,,11.326484,15.4536775,4.123414,4.123414,5.947543,6.4037095,1.569439,3.291802666666667
1,yes,yes,1,+wh_gap,The assistant knew,who,the security guard said,,,the secretary,impressed,,at the meeting.,14.661097,12.585878333333332,3.798587,3.798587,11.535352,7.335684499999999,,,,,11.199588,15.657212000000001,6.566133,6.566133,,,2.19879,2.3489323333333334
1,yes,no,1,+wh_no_gap,The assistant knew,who,the security guard said,,,the secretary,impressed,the director,at the meeting.,14.661097,12.585878333333332,3.798587,3.798587,11.535352,7.335684499999999,,,,,11.199588,15.657212000000001,7.291377,7.291377,6.034571,6.1014420000000005,1.218082,2.5253426666666665
1,no,yes,1,-wh_gap,The assistant knew,that,the security guard said,,,the secretary,impressed,,at the meeting.,14.661097,11.409593999999998,3.439831,3.439831,10.229972,6.532165,,,,,11.037679,14.4679905,9.312582,9.312582,,,2.360989,3.0613770000000002
1,no,no,1,-wh_no_gap,The assistant knew,that,the security guard said,,,the secretary,impressed,the director,at the meeting.,14.661097,11.409593999999998,3.439831,3.439831,10.229972,6.532165,,,,,11.037679,14.4679905,4.72873,4.72873,6.363212,6.6334085,1.385764,2.584883666666667
1,yes,yes,2,+wh_gap,The assistant knew,who,the security guard said,his manager believed,,the secretary,impressed,,at the meeting.,14.661097,12.585878333333332,3.798587,3.798587,11.535352,7.876904499999999,10.784096,8.998238,,,11.807971,15.945432,5.907774,5.907774,,,2.341246,2.4394456666666664
1,yes,no,2,+wh_no_gap,The assistant knew,who,the security guard said,his manager believed,,the secretary,impressed,the director,at the meeting.,14.661097,12.585878333333332,3.798587,3.798587,11.535352,7.876904499999999,10.784096,8.998238,,,11.807971,15.945432,6.694172,6.694172,6.601313,6.085656500000001,1.352793,2.6704019999999997
1,no,yes,2,-wh_gap,The assistant knew,that,the security guard said,his manager believed,,the secretary,impressed,,at the meeting.,14.661097,11.409593999999998,3.439831,3.439831,10.229972,7.1077977500000005,12.000982,7.590898333333334,,,11.739478,14.981477000000002,7.710845,7.710845,,,2.285626,2.458418
1,no,no,2,-wh_no_gap,The assistant knew,that,the security guard said,his manager believed,,the secretary,impressed,the director,at the meeting.,14.661097,11.409593999999998,3.439831,3.439831,10.229972,7.1077977500000005,12.000982,7.590898333333334,,,11.739478,14.981477000000002,3.819975,3.819975,6.657335,6.382344,1.427351,2.5664536666666664
1,yes,yes,3,+wh_gap,The assistant knew,who,the security guard said,his manager believed,the junior associate claimed,the secretary,impressed,,at the meeting.,14.661097,12.585878333333332,3.798587,3.798587,11.535352,7.876904499999999,10.784096,8.998238,12.01686,10.558376250000002,12.449111,15.136975,6.675016,6.675016,,,2.764291,2.8444830000000003
1,yes,no,3,+wh_no_gap,The assistant knew,who,the security guard said,his manager believed,the junior associate claimed,the secretary,impressed,the director,at the meeting.,14.661097,12.585878333333332,3.798587,3.798587,11.535352,7.876904499999999,10.784096,8.998238,12.01686,10.558376250000002,12.449111,15.136975,5.726982,5.726982,6.873129,6.3080385,1.609453,2.7327853333333336
1,no,yes,3,-wh_gap,The assistant knew,that,the security guard said,his manager believed,the junior associate claimed,the secretary,impressed,,at the meeting.,14.661097,11.409593999999998,3.439831,3.439831,10.229972,7.1077977500000005,12.000982,7.590898333333334,12.326145,10.0399155,12.107474,14.814448,8.130798,8.130798,,,2.665263,2.8464449999999997
1,no,no,3,-wh_no_gap,The assistant knew,that,the security guard said,his manager believed,the junior associate claimed,the secretary,impressed,the director,at the meeting.,14.661097,11.409593999999998,3.439831,3.439831,10.229972,7.1077977500000005,12.000982,7.590898333333334,12.326145,10.0399155,12.107474,14.814448,4.500913,4.500913,6.834665,6.4561295,1.648333,2.653312666666667
2,yes,yes,0,+wh_gap,The teacher reported,who,,,,the student,hit,,in art class.,13.677585,11.74312,4.384059,4.384059,,,,,,,3.183006,6.962778,4.623034,4.623034,,,18.939922,7.524734666666666
2,yes,no,0,+wh_no_gap,The teacher reported,who,,,,the student,hit,her classmate,in art class.,13.677585,11.743112666666667,4.384059,4.384059,,,,,,,3.182985,6.9627705,6.948834,6.948834,12.622277,7.895705,20.131642,7.46534
2,no,yes,0,-wh_gap,The teacher reported,that,,,,the student,hit,,in art class.,13.677585,8.100569666666667,2.810861,2.810861,,,,,,,4.075319,7.038683,7.125513,7.125513,,,21.029756,9.671982666666667
2,no,no,0,-wh_no_gap,The teacher reported,that,,,,the student,hit,her classmate,in art class.,13.677585,8.100562333333334,2.810861,2.810861,,,,,,,4.075319,7.0386940000000005,1.44052,1.44052,11.955291,7.2964875000000005,21.594816,8.346948
2,yes,yes,1,+wh_gap,The teacher reported,who,the other children claimed,,,the student,hit,,in art class.,13.677544,11.743138333333334,4.384098,4.384098,6.768216,7.74619325,,,,,5.874114,7.6500094999999995,4.772396,4.772396,,,19.835265,7.6176916666666665
2,yes,no,1,+wh_no_gap,The teacher reported,who,the other children claimed,,,the student,hit,her classmate,in art class.,13.677544,11.743138333333334,4.384098,4.384098,6.768216,7.74619325,,,,,5.874114,7.6500094999999995,2.657785,2.657785,13.528825,8.168773,20.876746,7.582088333333334
2,no,yes,1,-wh_gap,The teacher reported,that,the other children claimed,,,the student,hit,,in art class.,13.677544,8.100558999999999,2.810862,2.810862,8.376961,7.296096749999999,,,,,6.912001,7.8549165,9.312918,9.312918,,,20.919279,8.623662333333334
2,no,no,1,-wh_no_gap,The teacher reported,that,the other children claimed,,,the student,hit,her classmate,in art class.,13.677544,8.100558999999999,2.810862,2.810862,8.376961,7.296096749999999,,,,,6.912001,7.8549165,1.416432,1.416432,12.711538,7.745505,21.35043,7.919193
2,yes,yes,2,+wh_gap,The teacher reported,who,the other children claimed,their friends said,,the student,hit,,in art class.,13.677544,11.743138333333334,4.384098,4.384098,6.768216,8.32542525,6.855953,7.072744666666668,,,5.891491,7.581742,5.094851,5.094851,,,19.441974,7.450798333333332
2,yes,no,2,+wh_no_gap,The teacher reported,who,the other children claimed,their friends said,,the student,hit,her classmate,in art class.,13.677544,11.743138333333334,4.384098,4.384098,6.768216,8.32542525,6.855953,7.072744666666668,,,5.891491,7.581742,2.740686,2.740686,12.688332,7.5057555,21.445509,7.753790666666667
2,no,yes,2,-wh_gap,The teacher reported,that,the other children claimed,their friends said,,the student,hit,,in art class.,13.677544,8.100558999999999,2.810862,2.810862,8.376961,7.668902999999999,7.730606,6.492454333333332,,,7.329151,7.99658,9.664948,9.664948,,,19.806985,7.859490666666667
2,no,no,2,-wh_no_gap,The teacher reported,that,the other children claimed,their friends said,,the student,hit,her classmate,in art class.,13.677544,8.100558999999999,2.810862,2.810862,8.376961,7.668902999999999,7.730606,6.492454333333332,,,7.329151,7.99658,2.034521,2.034521,12.180338,7.379583,21.659462,7.899483
2,yes,yes,3,+wh_gap,The teacher reported,who,the other children claimed,their friends said,the teaching assistant stated,the student,hit,,in art class.,13.677544,11.743138333333334,4.384098,4.384098,6.768216,8.32542525,6.855953,7.072744666666668,13.598692,8.7915185,5.84206,8.104061999999999,8.098722,8.098722,,,19.532173,7.814589000000001
2,yes,no,3,+wh_no_gap,The teacher reported,who,the other children claimed,their friends said,the teaching assistant stated,the student,hit,her classmate,in art class.,13.677544,11.743138333333334,4.384098,4.384098,6.768216,8.32542525,6.855953,7.072744666666668,13.598692,8.7915185,5.84206,8.104061999999999,1.557437,1.557437,11.267516,6.730775,21.555495,7.925469666666667
2,no,yes,3,-wh_gap,The teacher reported,that,the other children claimed,their friends said,the teaching assistant stated,the student,hit,,in art class.,13.677544,8.100558999999999,2.810862,2.810862,8.376961,7.668902999999999,7.730606,6.492454333333332,12.272609,8.428855,6.973215,8.913386,9.801511,9.801511,,,19.783482,8.034278666666667
2,no,no,3,-wh_no_gap,The teacher reported,that,the other children claimed,their friends said,the teaching assistant stated,the student,hit,her classmate,in art class.,13.677544,8.100558999999999,2.810862,2.810862,8.376961,7.668902999999999,7.730606,6.492454333333332,12.272609,8.428855,6.973215,8.913386,1.634862,1.634862,11.538752,6.982821,21.879585,8.066959333333333
3,yes,yes,0,+wh_gap,I know,what,,,,the burglar,stole,,the other night.,5.545733,5.028106,6.346878,6.346878,,,,,,,18.893714,10.258248,7.78074,7.78074,,,4.90421,3.051903
3,yes,no,0,+wh_no_gap,I know,what,,,,the burglar,stole,the jewels,the other night.,5.545733,5.0280995,6.346878,6.346878,,,,,,,18.893714,10.258244333333332,7.78074,7.78074,9.011902,9.1287135,3.632909,2.3896633333333335
3,no,yes,0,-wh_gap,I know,that,,,,the burglar,stole,,the other night.,5.545733,4.147736500000001,4.424285,4.424285,,,,,,,17.724959,9.431213999999999,3.408626,3.408626,,,8.657813,5.938613
3,no,no,0,-wh_no_gap,I know,that,,,,the burglar,stole,the jewels,the other night.,5.545733,4.14773,4.424285,4.424285,,,,,,,17.724959,9.431211333333332,3.408626,3.408626,9.60675,9.4142705,5.240912,3.04522
3,yes,yes,1,+wh_gap,I know,what,my mother thinks,,,the burglar,stole,,the other night.,5.545699,5.028090000000001,8.177812,8.177812,5.747031,6.817663333333333,,,,,18.919842,9.500457666666668,7.359742,7.359742,,,7.752945,3.971660333333334
3,yes,no,1,+wh_no_gap,I know,what,my mother thinks,,,the burglar,stole,the jewels,the other night.,5.545684,5.0280795,8.177824,8.177824,5.747017,6.817646666666666,,,,,18.919827,9.500457333333335,7.359755,7.359755,7.956422,8.762221,4.651009,2.609353
3,no,yes,1,-wh_gap,I know,that,my mother thinks,,,the burglar,stole,,the other night.,5.545699,4.1477094999999995,5.734787,5.734787,6.245336,6.6744016666666655,,,,,16.667232,8.240834999999999,3.448648,3.448648,,,9.047249,5.746169999999999
3,no,no,1,-wh_no_gap,I know,that,my mother thinks,,,the burglar,stole,the jewels,the other night.,5.545684,4.147688,5.734779,5.734779,6.24532,6.6744026666666665,,,,,16.667231,8.240834666666666,3.44864,3.44864,8.637658,9.177071999999999,4.992407,2.900709666666667
3,yes,yes,2,+wh_gap,I know,what,my mother thinks,the reporter said,,the burglar,stole,,the other night.,5.545684,5.0280795,8.177824,8.177824,5.747017,6.817646666666666,14.720962,9.069196333333332,,,21.176919,9.637348333333334,4.877341,4.877341,,,9.217632,4.636709333333333
3,yes,no,2,+wh_no_gap,I know,what,my mother thinks,the reporter said,,the burglar,stole,the jewels,the other night.,5.545684,5.0280795,8.177824,8.177824,5.747017,6.817646666666666,14.720962,9.069196333333332,,,21.176919,9.637348333333334,4.877341,4.877341,8.465773,8.966979,5.619951,3.1075586666666672
3,no,yes,2,-wh_gap,I know,that,my mother thinks,the reporter said,,the burglar,stole,,the other night.,5.545684,4.147688,5.734779,5.734779,6.24532,6.6744026666666665,14.581568,9.185458333333333,,,16.195272,7.5347073333333325,2.990677,2.990677,,,9.577128,5.9659510000000004
3,no,no,2,-wh_no_gap,I know,that,my mother thinks,the reporter said,,the burglar,stole,the jewels,the other night.,5.545684,4.147688,5.734779,5.734779,6.24532,6.6744026666666665,14.581568,9.185458333333333,,,16.195272,7.5347073333333325,2.990677,2.990677,9.060354,9.383542,5.31677,3.2454986666666663
3,yes,yes,3,+wh_gap,I know,what,my mother thinks,the reporter said,the homeowners claimed,the burglar,stole,,the other night.,5.545684,5.0280795,8.177824,8.177824,5.747017,6.817646666666666,14.720962,9.069196333333332,19.601249,12.111205,9.719692,4.834878666666667,3.574184,3.574184,,,9.879748,5.319223
3,yes,no,3,+wh_no_gap,I know,what,my mother thinks,the reporter said,the homeowners claimed,the burglar,stole,the jewels,the other night.,5.545684,5.0280795,8.177824,8.177824,5.747017,6.817646666666666,14.720962,9.069196333333332,19.601249,12.111205,9.719692,4.834878666666667,3.574184,3.574184,9.191003,9.328863,6.976191,3.6181746666666665
3,no,yes,3,-wh_gap,I know,that,my mother thinks,the reporter said,the homeowners claimed,the burglar,stole,,the other night.,5.545684,4.147688,5.734779,5.734779,6.24532,6.6744026666666665,14.581568,9.185458333333333,15.751518,10.378960000000001,9.9839,4.9554306666666665,2.915688,2.915688,,,9.966556,6.343600333333334
3,no,no,3,-wh_no_gap,I know,that,my mother thinks,the reporter said,the homeowners claimed,the burglar,stole,the jewels,the other night.,5.545684,4.147688,5.734779,5.734779,6.24532,6.6744026666666665,14.581568,9.185458333333333,15.751518,10.378960000000001,9.9839,4.9554306666666665,2.915688,2.915688,9.372954,9.5508685,6.272526,3.4434849999999995
