sentence_id,token_id,token,surprisal
0,0,I,0.0
0,1,know,6.278276
0,2,that,2.352433
0,3,your,9.241128
0,4,friend,7.913626
0,5,threw,13.686808
0,6,into,7.438748
0,7,the,1.268161
0,8,trash,8.921647
0,9,can,9.350413
0,10,.,2.51136
0,11,<eos>,-0.0
1,0,I,0.0
1,1,know,6.278276
1,2,that,2.352433
1,3,your,9.241128
1,4,friend,7.913626
1,5,threw,13.686808
1,6,the,2.886432
1,7,plastic,11.385204
1,8,into,4.947669
1,9,the,1.486418
1,10,trash,7.812945
1,11,can,10.36718
1,12,.,1.904799
1,13,<eos>,-0.0
2,0,I,0.0
2,1,know,6.278276
2,2,what,4.561374
2,3,your,9.354386
2,4,friend,7.341642
2,5,threw,13.763621
2,6,into,6.34998
2,7,the,1.739475
2,8,trash,9.975388
2,9,can,7.570324
2,10,.,1.910721
2,11,<eos>,-0.0
3,0,I,0.0
3,1,know,6.278276
3,2,what,4.561374
3,3,your,9.354386
3,4,friend,7.341642
3,5,threw,13.763621
3,6,the,3.619183
3,7,plastic,12.378215
3,8,into,6.396659
3,9,the,2.022741
3,10,trash,7.328647
3,11,can,9.025637
3,12,.,1.741438
3,13,<eos>,-0.0
4,0,I,0.0
4,1,know,6.278276
4,2,that,2.352433
4,3,our,8.541259
4,4,mother,7.632546
4,5,said,9.849742
4,6,your,12.143874
4,7,friend,6.952579
4,8,threw,12.653158
4,9,into,8.024834
4,10,the,1.403038
4,11,trash,9.092407
4,12,can,9.905343
4,13,.,2.343162
4,14,<eos>,-0.0
5,0,I,0.0
5,1,know,6.278276
5,2,that,2.352433
5,3,our,8.541259
5,4,mother,7.632546
5,5,said,9.849742
5,6,your,12.143874
5,7,friend,6.952579
5,8,threw,12.653158
5,9,the,3.318855
5,10,plastic,11.459787
5,11,into,5.283202
5,12,the,1.544398
5,13,trash,7.849545
5,14,can,10.821189
5,15,.,1.817421
5,16,<eos>,-0.0
6,0,I,0.0
6,1,know,6.278276
6,2,what,4.561374
6,3,our,9.632398
6,4,mother,6.846245
6,5,said,6.753045
6,6,your,13.527543
6,7,friend,7.033999
6,8,threw,12.346433
6,9,into,5.82832
6,10,the,1.8186
6,11,trash,9.412251
6,12,can,8.508002
6,13,.,1.868385
6,14,<eos>,-0.0
7,0,I,0.0
7,1,know,6.278276
7,2,what,4.561374
7,3,our,9.632398
7,4,mother,6.846245
7,5,said,6.753045
7,6,your,13.527543
7,7,friend,7.033999
7,8,threw,12.346433
7,9,the,3.844788
7,10,plastic,11.682371
7,11,into,5.484532
7,12,the,2.13044
7,13,trash,7.384652
7,14,can,9.648588
7,15,.,1.747959
7,16,<eos>,-0.0
8,0,I,0.0
8,1,know,6.278276
8,2,that,2.352433
8,3,our,8.541259
8,4,mother,7.632546
8,5,said,9.849742
8,6,her,7.237803
8,7,friend,7.841909
8,8,remarked,13.805615
8,9,your,16.045568
8,10,friend,7.475852
8,11,threw,12.494452
8,12,into,8.229052
8,13,the,1.695014
8,14,trash,8.347499
8,15,can,10.763589
8,16,.,2.244289
8,17,<eos>,-0.0
9,0,I,0.0
9,1,know,6.278276
9,2,that,2.352433
9,3,our,8.541259
9,4,mother,7.632546
9,5,said,9.849742
9,6,her,7.237803
9,7,friend,7.841909
9,8,remarked,13.805615
9,9,your,16.045568
9,10,friend,7.475852
9,11,threw,12.494452
9,12,the,3.600312
9,13,plastic,11.332442
9,14,into,5.189511
9,15,the,1.808474
9,16,trash,7.193124
9,17,can,11.249496
9,18,.,1.721918
9,19,<eos>,-0.0
10,0,I,0.0
10,1,know,6.278276
10,2,what,4.561374
10,3,our,9.632398
10,4,mother,6.846245
10,5,said,6.753045
10,6,her,9.734304
10,7,friend,7.787373
10,8,remarked,13.714902
10,9,your,16.070679
10,10,friend,6.325808
10,11,threw,12.499144
10,12,into,5.694444
10,13,the,1.798832
10,14,trash,9.076991
10,15,can,8.805182
10,16,.,1.581655
10,17,<eos>,-0.0
11,0,I,0.0
11,1,know,6.278276
11,2,what,4.561374
11,3,our,9.632398
11,4,mother,6.846245
11,5,said,6.753045
11,6,her,9.734304
11,7,friend,7.787373
11,8,remarked,13.714902
11,9,your,16.070679
11,10,friend,6.325808
11,11,threw,12.499144
11,12,the,4.487805
11,13,plastic,11.992221
11,14,into,5.729949
11,15,the,2.376432
11,16,trash,7.01979
11,17,can,9.938641
11,18,.,1.535402
11,19,<eos>,-0.0
12,0,I,0.0
12,1,know,6.278276
12,2,that,2.352433
12,3,our,8.541259
12,4,mother,7.632546
12,5,said,9.849742
12,6,her,7.237803
12,7,friend,7.841909
12,8,remarked,13.805615
12,9,the,6.17998
12,10,park,15.270876
12,11,attendant,15.034326
12,12,reported,12.073592
12,13,your,13.711047
12,14,friend,8.647436
12,15,threw,12.837973
12,16,into,7.25911
12,17,the,1.395558
12,18,trash,6.740068
12,19,can,9.996262
12,20,.,1.668057
12,21,<eos>,-0.0
13,0,I,0.0
13,1,know,6.278276
13,2,that,2.352433
13,3,our,8.541259
13,4,mother,7.632546
13,5,said,9.849742
13,6,her,7.237803
13,7,friend,7.841909
13,8,remarked,13.805615
13,9,the,6.17998
13,10,park,15.270876
13,11,attendant,15.034326
13,12,reported,12.073592
13,13,your,13.711047
