sentence_id	token_id	token	surprisal
1	1	I	0.0
1	2	know	6.278276
1	3	that	2.352433
1	4	threw	21.288067
1	5	the	2.671074
1	6	plastic	12.041378
1	7	into	4.248507
1	8	the	1.649334
1	9	trash	8.258595
1	10	can	8.775494
1	11	.	1.84068
1	12	<eos>	-0.0
2	1	I	0.0
2	2	know	6.278276
2	3	that	2.352433
2	4	your	9.241128
2	5	friend	7.913626
2	6	threw	13.686808
2	7	the	2.886432
2	8	plastic	11.385204
2	9	into	4.947669
2	10	the	1.486418
2	11	trash	7.812945
2	12	can	10.36718
2	13	.	1.904799
2	14	<eos>	-0.0
3	1	I	0.0
3	2	know	6.278276
3	3	who	6.580016
3	4	threw	14.399495
3	5	the	2.528711
3	6	plastic	11.980907
3	7	into	5.304676
3	8	the	1.160429
3	9	trash	7.795372
3	10	can	8.871511
3	11	.	2.380579
3	12	<eos>	-0.0
4	1	I	0.0
4	2	know	6.278276
4	3	who	6.580016
4	4	your	10.622782
4	5	friend	6.180363
4	6	threw	12.818234
4	7	the	3.274189
4	8	plastic	12.271801
4	9	into	6.196071
4	10	the	1.904316
4	11	trash	7.736189
4	12	can	8.7503
4	13	.	2.190598
4	14	<eos>	-0.0
5	1	I	0.0
5	2	know	6.278276
5	3	that	2.352433
5	4	our	8.541259
5	5	mother	7.632546
5	6	said	9.849742
5	7	threw	21.493061
5	8	the	3.105338
5	9	plastic	11.367654
5	10	into	5.066407
5	11	the	1.52213
5	12	trash	7.400065
5	13	can	9.961459
5	14	.	1.881711
5	15	<eos>	-0.0
6	1	I	0.0
6	2	know	6.278276
6	3	that	2.352433
6	4	our	8.541259
6	5	mother	7.632546
6	6	said	9.849742
6	7	your	12.143874
6	8	friend	6.952579
6	9	threw	12.653158
6	10	the	3.318855
6	11	plastic	11.459787
6	12	into	5.283202
6	13	the	1.544398
6	14	trash	7.849545
6	15	can	10.821189
6	16	.	1.817421
6	17	<eos>	-0.0
7	1	I	0.0
7	2	know	6.278276
7	3	who	6.580016
7	4	our	11.02898
7	5	mother	6.02071
7	6	said	8.907338
7	7	threw	17.591938
7	8	the	3.227876
7	9	plastic	12.06995
7	10	into	5.636511
7	11	the	1.510431
7	12	trash	7.756327
7	13	can	9.867754
7	14	.	1.630994
7	15	<eos>	-0.0
8	1	I	0.0
8	2	know	6.278276
8	3	who	6.580016
8	4	our	11.02898
8	5	mother	6.02071
8	6	said	8.907338
8	7	your	11.853222
8	8	friend	6.660599
8	9	threw	12.513227
8	10	the	3.784674
8	11	plastic	11.71802
8	12	into	5.502107
8	13	the	1.897636
8	14	trash	7.353586
8	15	can	10.029647
8	16	.	1.901546
8	17	<eos>	-0.0
9	1	I	0.0
9	2	know	6.278276
9	3	that	2.352433
9	4	our	8.541259
9	5	mother	7.632546
9	6	said	9.849742
9	7	her	7.237803
9	8	friend	7.841909
9	9	remarked	13.805615
9	10	threw	22.330013
9	11	the	2.694475
9	12	plastic	11.591149
9	13	into	5.92802
9	14	the	2.082023
9	15	trash	7.750465
9	16	can	11.172759
9	17	.	1.796203
9	18	<eos>	-0.0
10	1	I	0.0
10	2	know	6.278276
10	3	that	2.352433
10	4	our	8.541259
10	5	mother	7.632546
10	6	said	9.849742
10	7	her	7.237803
10	8	friend	7.841909
10	9	remarked	13.805615
10	10	your	16.045568
10	11	friend	7.475852
10	12	threw	12.494452
10	13	the	3.600312
10	14	plastic	11.332442
10	15	into	5.189511
10	16	the	1.808474
10	17	trash	7.193124
10	18	can	11.249496
10	19	.	1.721918
10	20	<eos>	-0.0
11	1	I	0.0
11	2	know	6.278276
11	3	who	6.580016
11	4	our	11.02898
11	5	mother	6.02071
11	6	said	8.907338
11	7	her	9.224228
11	8	friend	7.645392
11	9	remarked	14.265068
11	10	threw	20.122381
11	11	the	4.031727
11	12	plastic	12.803872
11	13	into	6.126678
11	14	the	2.09575
11	15	trash	7.608272
11	16	can	10.348394
11	17	.	1.529135
11	18	<eos>	-0.0
12	1	I	0.0
12	2	know	6.278276
12	3	who	6.580016
12	4	our	11.02898
12	5	mother	6.02071
12	6	said	8.907338
12	7	her	9.224228
12	8	friend	7.645392
12	9	remarked	14.265068
12	10	your	15.413641
12	11	friend	6.53848
12	12	threw	12.56445
12	13	the	4.016361
12	14	plastic	11.641097
12	15	into	5.4916
12	16	the	2.184965
12	17	trash	6.880508
12	18	can	10.466626
12	19	.	1.575815
12	20	<eos>	-0.0
13	1	I	0.0
13	2	know	6.278276
13	3	that	2.352433
13	4	our	8.541259
13	5	mother	7.632546
13	6	said	9.849742
13	7	her	7.237803
13	8	friend	7.841909
13	9	remarked	13.805615
13	10	the	6.17998
13	11	park	15.270876
13	12	attendant	15.034326
13	13	reported	12.073592
13	14	threw	19.971773
13	15	the	2.960132
13	16	plastic	11.242606
13	17	into	5.950866
13	18	the	1.789987
13	19	trash	5.805758
13	20	can	11.254447
13	21	.	1.415923
13	22	<eos>	-0.0
14	1	I	0.0
14	2	know	6.278276
14	3	that	2.352433
14	4	our	8.541259
14	5	mother	7.632546
14	6	said	9.849742
14	7	her	7.237803
14	8	friend	7.841909
14	9	remarked	13.805615
14	10	the	6.17998
14	11	park	15.270876
14	12	attendant	15.034326
14	13	reported	12.073592
14	14	your	13.711047
14	15	friend	8.647436
14	16	threw	12.837973
14	17	the	3.652134
14	18	plastic	10.594794
14	19	into	4.601041
14	20	the	1.707393
14	21	trash	5.82694
14	22	can	10.877677
14	23	.	1.409108
14	24	<eos>	-0.0
15	1	I	0.0
15	2	know	6.278276
15	3	who	6.580016
15	4	our	11.02898
15	5	mother	6.02071
15	6	said	8.907338
15	7	her	9.224228
15	8	friend	7.645392
15	9	remarked	14.265068
15	10	the	7.221402
15	11	park	15.278672
15	12	attendant	16.279022
15	13	reported	10.856984
15	14	threw	17.089321
15	15	the	3.285459
15	16	plastic	11.377013
15	17	into	5.226988
15	18	the	1.63677
15	19	trash	5.894854
15	20	can	11.172224
15	21	.	1.079091
15	22	<eos>	-0.0
16	1	I	0.0
16	2	know	6.278276
16	3	who	6.580016
16	4	our	11.02898
16	5	mother	6.02071
16	6	said	8.907338
16	7	her	9.224228
16	8	friend	7.645392
16	9	remarked	14.265068
16	10	the	7.221402
16	11	park	15.278672
16	12	attendant	16.279022
16	13	reported	10.856984
16	14	your	15.644468
16	15	friend	7.124327
16	16	threw	12.884921
16	17	the	4.150022
16	18	plastic	11.193331
16	19	into	4.493854
16	20	the	1.775952
16	21	trash	5.510384
16	22	can	11.015893
16	23	.	1.216718
16	24	<eos>	-0.0
17	1	I	0.0
17	2	know	6.278276
17	3	that	2.352433
17	4	our	8.541259
17	5	mother	7.632546
17	6	said	9.849742
17	7	her	7.237803
17	8	friend	7.841909
17	9	remarked	13.805615
17	10	the	6.17998
17	11	park	15.270876
17	12	attendant	15.034326
17	13	reported	12.073592
17	14	the	3.635417
17	15	cop	17.820646
17	16	thinks	12.764586
17	17	threw	18.36735
17	18	the	3.35796
17	19	plastic	11.841412
17	20	into	4.152777
17	21	the	1.59854
17	22	trash	5.110227
17	23	can	10.784813
17	24	.	1.114453
17	25	<eos>	-0.0
18	1	I	0.0
18	2	know	6.278276
18	3	that	2.352433
18	4	our	8.541259
18	5	mother	7.632546
18	6	said	9.849742
18	7	her	7.237803
18	8	friend	7.841909
18	9	remarked	13.805615
18	10	the	6.17998
18	11	park	15.270876
18	12	attendant	15.034326
18	13	reported	12.073592
18	14	the	3.635417
18	15	cop	17.820646
18	16	thinks	12.764586
18	17	your	13.428319
18	18	friend	6.852958
18	19	threw	12.073783
18	20	the	3.420901
18	21	plastic	10.491356
18	22	into	4.644378
18	23	the	1.63324
18	24	trash	5.282434
18	25	can	11.489583
18	26	.	1.136822
18	27	<eos>	-0.0
19	1	I	0.0
19	2	know	6.278276
19	3	who	6.580016
19	4	our	11.02898
19	5	mother	6.02071
19	6	said	8.907338
19	7	her	9.224228
19	8	friend	7.645392
19	9	remarked	14.265068
19	10	the	7.221402
19	11	park	15.278672
19	12	attendant	16.279022
19	13	reported	10.856984
19	14	the	5.763046
19	15	cop	17.291307
19	16	thinks	12.450273
19	17	threw	16.142162
19	18	the	3.453176
19	19	plastic	11.592082
19	20	into	3.944419
19	21	the	1.659332
19	22	trash	4.967806
19	23	can	10.726932
19	24	.	0.928669
19	25	<eos>	-0.0
20	1	I	0.0
20	2	know	6.278276
20	3	who	6.580016
20	4	our	11.02898
20	5	mother	6.02071
20	6	said	8.907338
20	7	her	9.224228
20	8	friend	7.645392
20	9	remarked	14.265068
20	10	the	7.221402
20	11	park	15.278672
20	12	attendant	16.279022
20	13	reported	10.856984
20	14	the	5.763046
20	15	cop	17.291307
20	16	thinks	12.450273
20	17	your	14.054929
20	18	friend	6.447056
20	19	threw	11.991833
20	20	the	3.841792
20	21	plastic	11.062557
20	22	into	4.747715
20	23	the	2.007254
20	24	trash	4.768243
20	25	can	11.337172
20	26	.	0.99511
20	27	<eos>	-0.0
21	1	The	0.0
21	2	newspaper	15.903531
21	3	reported	7.315045
21	4	that	0.656248
21	5	sold	16.451626
21	6	a	5.356346
21	7	car	8.705985
21	8	to	2.678756
21	9	his	6.435286
21	10	friend	5.559622
21	11	.	5.235683
21	12	<eos>	-0.0
22	1	The	0.0
22	2	newspaper	15.903531
22	3	reported	7.315045
22	4	that	0.656248
22	5	the	2.181931
22	6	boss	14.823406
22	7	sold	11.724365
22	8	a	4.071801
22	9	car	6.700286
22	10	to	1.943193
22	11	his	4.965299
22	12	friend	4.581802
22	13	.	4.534842
22	14	<eos>	-0.0
23	1	The	0.0
23	2	newspaper	15.903531
23	3	reported	7.315045
23	4	who	12.852704
23	5	sold	8.658404
23	6	a	5.237565
23	7	car	7.462344
23	8	to	2.310182
23	9	his	5.390874
23	10	friend	4.709461
23	11	.	4.884868
23	12	<eos>	-0.0
24	1	The	0.0
24	2	newspaper	15.903531
24	3	reported	7.315045
24	4	who	12.852704
24	5	the	7.61484
24	6	boss	14.136836
24	7	sold	10.515741
24	8	a	4.720735
24	9	car	7.052969
24	10	to	1.886478
24	11	his	4.69123
24	12	friend	4.472282
24	13	.	3.895997
24	14	<eos>	-0.0
25	1	The	0.0
25	2	newspaper	15.903531
25	3	reported	7.315045
25	4	that	0.656248
25	5	the	2.181931
25	6	investigator	15.281781
25	7	thought	9.428214
25	8	sold	21.678219
25	9	a	4.836319
25	10	car	10.04913
25	11	to	3.063483
25	12	his	5.362019
25	13	friend	5.331689
25	14	.	3.754677
25	15	<eos>	-0.0
26	1	The	0.0
26	2	newspaper	15.903531
26	3	reported	7.315045
26	4	that	0.656248
26	5	the	2.181931
26	6	investigator	15.281781
26	7	thought	9.428214
26	8	the	3.220821
26	9	boss	14.625125
26	10	sold	13.842034
26	11	a	4.042106
26	12	car	7.652186
26	13	to	2.028394
26	14	his	5.013496
26	15	friend	4.960092
26	16	.	3.486474
26	17	<eos>	-0.0
27	1	The	0.0
27	2	newspaper	15.903531
27	3	reported	7.315045
27	4	who	12.852704
27	5	the	7.61484
27	6	investigator	13.288904
27	7	thought	8.73087
27	8	sold	18.761932
27	9	a	5.321239
27	10	car	10.855968
27	11	to	2.962182
27	12	his	5.41009
27	13	friend	5.063304
27	14	.	3.343223
27	15	<eos>	-0.0
28	1	The	0.0
28	2	newspaper	15.903531
28	3	reported	7.315045
28	4	who	12.852704
28	5	the	7.61484
28	6	investigator	13.288904
28	7	thought	8.73087
28	8	the	4.261078
28	9	boss	14.557565
28	10	sold	14.026651
28	11	a	5.58574
28	12	car	7.617771
28	13	to	1.991554
28	14	his	4.67708
28	15	friend	4.817631
28	16	.	3.047664
28	17	<eos>	-0.0
29	1	The	0.0
29	2	newspaper	15.903531
29	3	reported	7.315045
29	4	that	0.656248
29	5	the	2.181931
29	6	investigator	15.281781
29	7	thought	9.428214
29	8	the	3.220821
29	9	businessman	16.949793
29	10	believed	9.478601
29	11	sold	18.43161
29	12	a	5.714553
29	13	car	7.843704
29	14	to	3.227039
29	15	his	5.149194
29	16	friend	5.637977
29	17	.	2.991933
29	18	<eos>	-0.0
30	1	The	0.0
30	2	newspaper	15.903531
30	3	reported	7.315045
30	4	that	0.656248
30	5	the	2.181931
30	6	investigator	15.281781
30	7	thought	9.428214
30	8	the	3.220821
30	9	businessman	16.949793
30	10	believed	9.478601
30	11	the	3.432453
30	12	boss	13.775071
30	13	sold	12.127194
30	14	a	4.226011
30	15	car	7.302906
30	16	to	2.292895
30	17	his	4.666163
30	18	friend	5.092084
30	19	.	3.180904
30	20	<eos>	-0.0
31	1	The	0.0
31	2	newspaper	15.903531
31	3	reported	7.315045
31	4	who	12.852704
31	5	the	7.61484
31	6	investigator	13.288904
31	7	thought	8.73087
31	8	the	4.261078
31	9	businessman	16.513275
31	10	believed	8.736115
31	11	sold	17.044975
31	12	a	5.45903
31	13	car	8.215879
31	14	to	3.453315
31	15	his	4.911025
