sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,subject,verb,object,continuation,main_clause_surprisal,main_clause_surprisal_mean,complementiser_surprisal,complementiser_surprisal_mean,embedding_1_surprisal,embedding_1_surprisal_mean,embedding_2_surprisal,embedding_2_surprisal_mean,embedding_3_surprisal,embedding_3_surprisal_mean,subject_surprisal,subject_surprisal_mean,verb_surprisal,verb_surprisal_mean,object_surprisal,object_surprisal_mean,continuation_surprisal,continuation_surprisal_mean,semi_local_surprisal_mean,global_surprisal_mean
1,yes,yes,0,+wh_gap,The assistant knew,who,,,,the secretary,impressed,,at the meeting.,4.729313,11.913115666666668,6.747474,6.747474,,,,,,,3.798539,7.0116745,22.871824,22.871824,,,6.1039,4.580278,4.580278,9.3122828
1,yes,no,0,+wh_no_gap,The assistant knew,who,,,,the secretary,impressed,the director,at the meeting.,4.729313,11.913120333333334,6.747474,6.747474,,,,,,,3.798539,7.011673,22.871823,22.871823,6.622082,6.550777,6.538787,4.893177666666666,5.5562173999999995,8.930257583333335
1,no,yes,0,-wh_gap,The assistant knew,that,,,,the secretary,impressed,,at the meeting.,4.729313,11.913115666666668,3.218776,3.218776,,,,,,,3.439892,7.3831880000000005,19.580878,19.580878,,,8.153907,5.4408433333333335,5.4408433333333335,8.9627907
1,no,no,0,-wh_no_gap,The assistant knew,that,,,,the secretary,impressed,the director,at the meeting.,4.729313,11.913120333333334,3.218776,3.218776,,,,,,,3.439892,7.3831880000000005,19.580871,19.580871,4.123414,5.0354785,6.859876,4.9000406666666665,4.9542158,8.173038583333334
1,yes,yes,1,+wh_gap,The assistant knew,who,the security guard said,,,the secretary,impressed,,at the meeting.,4.729281,11.913095666666665,6.747629,6.747629,3.798587,6.829399,,,,,5.823729,8.5116585,20.114836,20.114836,,,6.566133,4.102528333333333,4.102528333333333,8.517875
1,yes,no,1,+wh_no_gap,The assistant knew,who,the security guard said,,,the secretary,impressed,the director,at the meeting.,4.729281,11.913095666666665,6.747629,6.747629,3.798587,6.829399,,,,,5.823729,8.5116585,20.114836,20.114836,7.291377,6.662974,6.168313,4.207682,5.1897988,8.3057286875
1,no,yes,1,-wh_gap,The assistant knew,that,the security guard said,,,the secretary,impressed,,at the meeting.,4.729281,11.913095666666665,3.218776,3.218776,3.439831,6.44130925,,,,,3.803254,7.4204665,17.898302,17.898302,,,9.312582,5.503728,5.503728,8.14097992857143
1,no,no,1,-wh_no_gap,The assistant knew,that,the security guard said,,,the secretary,impressed,the director,at the meeting.,4.729281,11.913095666666665,3.218776,3.218776,3.439831,6.44130925,,,,,3.803254,7.4204665,17.898302,17.898302,4.72873,5.545971,6.903605,4.3416266666666665,4.823364399999999,7.5987098125
1,yes,yes,2,+wh_gap,The assistant knew,who,the security guard said,his manager believed,,the secretary,impressed,,at the meeting.,4.729281,11.913095666666665,6.747629,6.747629,3.798587,6.829399,7.988609,9.068859333333334,,,7.776745,9.792358,20.082893,20.082893,,,5.907774,4.056443666666667,4.056443666666667,8.755766470588233
1,yes,no,2,+wh_no_gap,The assistant knew,who,the security guard said,his manager believed,,the secretary,impressed,the director,at the meeting.,4.729281,11.913095666666665,6.747629,6.747629,3.798587,6.829399,7.988609,9.068859333333334,,,7.776745,9.792358,20.082893,20.082893,6.694172,6.6477425,5.57,4.236747333333334,5.2011454,8.562338210526315
