sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,embedding_4,subject,verb,object,continuation,main_clause_surprisal,main_clause_surprisal_mean,complementiser_surprisal,complementiser_surprisal_mean,embedding_1_surprisal,embedding_1_surprisal_mean,embedding_2_surprisal,embedding_2_surprisal_mean,embedding_3_surprisal,embedding_3_surprisal_mean,subject_surprisal,subject_surprisal_mean,verb_surprisal,verb_surprisal_mean,object_surprisal,object_surprisal_mean,continuation_surprisal,continuation_surprisal_mean,semi_local_surprisal_mean,global_surprisal_mean
54,no,yes,0,-wh_gap,They reported,that,,,,,,could have promoted,the accountant,last quarter.,6.37172,8.83521,1.06934,1.06934,,,,,,,,,8.36676,8.54724,2.92461,10.035805,14.3545,12.92025,10.221975714285715,9.029359000000001
54,no,no,0,-wh_no_gap,They reported,that,,,,,the boss,could have promoted,the accountant,last quarter.,6.37172,8.83521,1.06934,1.06934,,,,,,,2.41116,8.83443,11.6672,9.646556666666667,2.92461,10.035805,14.3545,12.92025,10.280071111111111,9.2717
54,yes,yes,0,+wh_gap,They reported,who,,,,,,could have promoted,the accountant,last quarter.,6.37172,8.83521,12.4486,12.4486,,,,,,,,,7.13325,8.175379999999999,2.92461,10.035805,14.3545,12.92025,10.062607142857143,10.055727000000001
54,yes,no,0,+wh_no_gap,They reported,who,,,,,the boss,could have promoted,the accountant,last quarter.,6.37172,8.83521,12.4486,12.4486,,,,,,,8.96323,11.603864999999999,11.6672,9.646556666666667,2.92461,10.035805,14.3545,12.92025,10.89550111111111,10.681544166666667
54,no,yes,1,-wh_gap,They reported,that,the man said,,,,,could have promoted,the accountant,last quarter.,6.37172,8.83521,1.06934,1.06934,2.41116,7.423946666666666,,,,,,,11.1654,9.466263333333332,2.92461,10.035805,14.3545,12.92025,10.615842857142857,8.87096153846154
54,no,no,1,-wh_no_gap,They reported,that,the man said,,,,the boss,could have promoted,the accountant,last quarter.,6.37172,8.83521,1.06934,1.06934,2.41116,7.423946666666666,,,,,4.64906,9.538129999999999,11.6672,9.646556666666667,2.92461,10.035805,14.3545,12.92025,10.436448888888888,8.995975999999997
54,yes,yes,1,+wh_gap,They reported,who,the man said,,,,,could have promoted,the accountant,last quarter.,6.37172,8.83521,12.4486,12.4486,8.96323,8.627476666666666,,,,,,,11.1654,9.466263333333332,2.92461,10.035805,14.3545,12.92025,10.615842857142857,10.02402692307692
54,yes,no,1,+wh_no_gap,They reported,who,the man said,,,,the boss,could have promoted,the accountant,last quarter.,6.37172,8.83521,12.4486,12.4486,8.96323,8.627476666666666,,,,,4.64906,9.538129999999999,11.6672,9.646556666666667,2.92461,10.035805,14.3545,12.92025,10.436448888888888,9.995299333333332
54,no,yes,2,-wh_gap,They reported,that,the man said,the old woman told him,,,,could have promoted,the accountant,last quarter.,6.37172,8.83521,1.06934,1.06934,2.41116,7.423946666666666,4.64906,7.880645999999999,,,,,13.3907,10.246936666666667,2.92461,10.035805,14.3545,12.92025,10.950417142857143,8.725986111111112
54,no,no,2,-wh_no_gap,They reported,that,the man said,the old woman told him,,,the boss,could have promoted,the accountant,last quarter.,6.37172,8.83521,1.06934,1.06934,2.41116,7.423946666666666,4.64906,7.880645999999999,,,4.84715,9.722425,11.6672,9.646556666666667,2.92461,10.035805,14.3545,12.92025,10.477403333333335,8.735572999999999
54,yes,yes,2,+wh_gap,They reported,who,the man said,the old woman told him,,,,could have promoted,the accountant,last quarter.,6.37172,8.83521,12.4486,12.4486,8.96323,8.627476666666666,4.64906,7.880645999999999,,,,,13.3907,10.246936666666667,2.92461,10.035805,14.3545,12.92025,10.950417142857143,9.558755555555557
54,yes,no,2,+wh_no_gap,They reported,who,the man said,the old woman told him,,,the boss,could have promoted,the accountant,last quarter.,6.37172,8.83521,12.4486,12.4486,8.96323,8.627476666666666,4.64906,7.880645999999999,,,4.84715,9.722425,11.6672,9.646556666666667,2.92461,10.035805,14.3545,12.92025,10.477403333333335,9.4850655
