sentence_id,token_id,token,surprisal
0,0,i,8.92268
0,1,know,6.35939
0,2,that,3.01867
0,3,threw,16.3903
0,4,the,3.69269
0,5,plastic,14.4012
0,6,into,10.8086
0,7,the,3.06669
0,8,trash,14.7837
0,9,can,4.46141
0,10,.,3.06211
0,11,</s>,23.6519
1,0,i,8.92268
1,1,know,6.35939
1,2,that,3.01867
1,3,your,9.03142
1,4,friend,9.03406
1,5,threw,15.5017
1,6,the,3.69269
1,7,plastic,14.4012
1,8,into,10.8086
1,9,the,3.06669
1,10,trash,14.7837
1,11,can,4.46141
1,12,.,3.06211
1,13,</s>,23.6519
2,0,i,8.92268
2,1,know,6.35939
2,2,who,6.55265
2,3,threw,11.9635
2,4,the,2.95763
2,5,plastic,14.436
2,6,into,10.8086
2,7,the,3.06669
2,8,trash,14.7837
2,9,can,4.46141
2,10,.,3.06211
2,11,</s>,23.6519
3,0,i,8.92268
3,1,know,6.35939
3,2,who,6.55265
3,3,your,15.3251
3,4,friend,9.0128
3,5,threw,15.5017
3,6,the,3.69269
3,7,plastic,14.4012
3,8,into,10.8086
3,9,the,3.06669
3,10,trash,14.7837
3,11,can,4.46141
3,12,.,3.06211
3,13,</s>,23.6519
4,0,i,8.92268
4,1,know,6.35939
4,2,that,3.01867
4,3,our,9.03142
4,4,mother,10.0931
4,5,said,9.9453
4,6,threw,16.635
4,7,the,3.69269
4,8,plastic,14.4012
4,9,into,10.8086
4,10,the,3.06669
4,11,trash,14.7837
4,12,can,4.46141
4,13,.,3.06211
4,14,</s>,23.6519
5,0,i,8.92268
5,1,know,6.35939
5,2,that,3.01867
5,3,our,9.03142
5,4,mother,10.0931
5,5,said,9.9453
5,6,your,15.38
5,7,friend,9.0128
5,8,threw,15.5017
5,9,the,3.69269
5,10,plastic,14.4012
5,11,into,10.8086
5,12,the,3.06669
5,13,trash,14.7837
5,14,can,4.46141
5,15,.,3.06211
5,16,</s>,23.6519
6,0,i,8.92268
6,1,know,6.35939
6,2,who,6.55265
6,3,our,15.3251
6,4,mother,9.95471
6,5,said,9.9453
6,6,threw,16.635
6,7,the,3.69269
6,8,plastic,14.4012
6,9,into,10.8086
6,10,the,3.06669
6,11,trash,14.7837
6,12,can,4.46141
6,13,.,3.06211
6,14,</s>,23.6519
7,0,i,8.92268
7,1,know,6.35939
7,2,who,6.55265
7,3,our,15.3251
7,4,mother,9.95471
7,5,said,9.9453
7,6,your,15.38
7,7,friend,9.0128
7,8,threw,15.5017
7,9,the,3.69269
7,10,plastic,14.4012
7,11,into,10.8086
7,12,the,3.06669
7,13,trash,14.7837
7,14,can,4.46141
7,15,.,3.06211
7,16,</s>,23.6519
8,0,i,8.92268
8,1,know,6.35939
8,2,that,3.01867
8,3,our,9.03142
8,4,mother,10.0931
8,5,said,9.9453
8,6,her,8.58876
8,7,friend,9.53134
8,8,remarked,15.6711
8,9,threw,17.3827
8,10,the,3.69269
8,11,plastic,14.4012
8,12,into,10.8086
8,13,the,3.06669
8,14,trash,14.7837
8,15,can,4.46141
8,16,.,3.06211
8,17,</s>,23.6519
9,0,i,8.92268
9,1,know,6.35939
9,2,that,3.01867
9,3,our,9.03142
9,4,mother,10.0931
9,5,said,9.9453
9,6,her,8.58876
9,7,friend,9.53134
9,8,remarked,15.6711
9,9,your,16.1277
9,10,friend,9.0128
9,11,threw,15.5017
9,12,the,3.69269
9,13,plastic,14.4012
9,14,into,10.8086
9,15,the,3.06669
9,16,trash,14.7837
9,17,can,4.46141
9,18,.,3.06211
9,19,</s>,23.6519
10,0,i,8.92268
10,1,know,6.35939
10,2,who,6.55265
10,3,our,15.3251
10,4,mother,9.95471
10,5,said,9.9453
10,6,her,8.58876
10,7,friend,9.53134
10,8,remarked,15.6711
10,9,threw,17.3827
10,10,the,3.69269
10,11,plastic,14.4012
10,12,into,10.8086
10,13,the,3.06669
10,14,trash,14.7837
10,15,can,4.46141
10,16,.,3.06211
10,17,</s>,23.6519
11,0,i,8.92268
11,1,know,6.35939
11,2,who,6.55265
11,3,our,15.3251
11,4,mother,9.95471
11,5,said,9.9453
11,6,her,8.58876
11,7,friend,9.53134
11,8,remarked,15.6711
11,9,your,16.1277
11,10,friend,9.0128
11,11,threw,15.5017
11,12,the,3.69269
11,13,plastic,14.4012
11,14,into,10.8086
11,15,the,3.06669
11,16,trash,14.7837
11,17,can,4.46141
11,18,.,3.06211
11,19,</s>,23.6519
12,0,i,8.92268
12,1,know,6.35939
12,2,that,3.01867
12,3,our,9.03142
12,4,mother,10.0931
12,5,said,9.9453
12,6,her,8.58876
12,7,friend,9.53134
12,8,remarked,15.6711
12,9,the,9.18833
12,10,park,11.2248
12,11,attendant,18.2286
12,12,reported,13.0792
12,13,threw,16.0222
12,14,the,3.69269
12,15,plastic,14.4012
12,16,into,10.8086
12,17,the,3.06669
12,18,trash,14.7837
12,19,can,4.46141
12,20,.,3.06211
12,21,</s>,23.6519
13,0,i,8.92268
13,1,know,6.35939
13,2,that,3.01867
13,3,our,9.03142
13,4,mother,10.0931
13,5,said,9.9453
13,6,her,8.58876
13,7,friend,9.53134
13,8,remarked,15.6711
13,9,the,9.18833
13,10,park,11.2248
13,11,attendant,18.2286
13,12,reported,13.0792
13,13,your,14.7672
13,14,friend,9.0128
13,15,threw,15.5017
13,16,the,3.69269
13,17,plastic,14.4012
13,18,into,10.8086
13,19,the,3.06669
13,20,trash,14.7837
13,21,can,4.46141
13,22,.,3.06211
13,23,</s>,23.6519
14,0,i,8.92268
14,1,know,6.35939
14,2,who,6.55265
14,3,our,15.3251
14,4,mother,9.95471
14,5,said,9.9453
14,6,her,8.58876
14,7,friend,9.53134
14,8,remarked,15.6711
14,9,the,9.18833
14,10,park,11.2248
14,11,attendant,18.2286
14,12,reported,13.0792
14,13,threw,16.0222
14,14,the,3.69269
14,15,plastic,14.4012
14,16,into,10.8086
14,17,the,3.06669
14,18,trash,14.7837
14,19,can,4.46141
14,20,.,3.06211
14,21,</s>,23.6519
15,0,i,8.92268
15,1,know,6.35939
15,2,who,6.55265
15,3,our,15.3251
15,4,mother,9.95471
15,5,said,9.9453
15,6,her,8.58876
15,7,friend,9.53134
15,8,remarked,15.6711
15,9,the,9.18833
15,10,park,11.2248
15,11,attendant,18.2286
15,12,reported,13.0792
15,13,your,14.7672
15,14,friend,9.0128
15,15,threw,15.5017
15,16,the,3.69269
15,17,plastic,14.4012
15,18,into,10.8086
15,19,the,3.06669
15,20,trash,14.7837
15,21,can,4.46141
15,22,.,3.06211
15,23,</s>,23.6519
16,0,i,8.92268
16,1,know,6.35939
16,2,that,3.01867
16,3,our,9.03142
16,4,mother,10.0931
16,5,said,9.9453
16,6,her,8.58876
16,7,friend,9.53134
16,8,remarked,15.6711
16,9,the,9.18833
16,10,park,11.2248
16,11,attendant,18.2286
16,12,reported,13.0792
16,13,threw,16.0222
16,14,the,3.69269
16,15,plastic,14.4012
16,16,into,10.8086
16,17,the,3.06669
16,18,trash,14.7837
16,19,can,4.46141
16,20,.,3.06211
16,21,</s>,23.6519
17,0,i,8.92268
17,1,know,6.35939
17,2,that,3.01867
17,3,our,9.03142
17,4,mother,10.0931
17,5,said,9.9453
17,6,her,8.58876
17,7,friend,9.53134
17,8,remarked,15.6711
17,9,the,9.18833
17,10,park,11.2248
17,11,attendant,18.2286
17,12,reported,13.0792
17,13,your,14.7672
17,14,friend,9.0128
17,15,threw,15.5017
17,16,the,3.69269
17,17,plastic,14.4012
17,18,into,10.8086
17,19,the,3.06669
17,20,trash,14.7837
17,21,can,4.46141
17,22,.,3.06211
