sentence_id	token_id	token	surprisal
1	1	I	0.0
1	2	know	6.278276
1	3	that	2.352433
1	4	your	9.241128
1	5	friend	7.913626
1	6	threw	13.686808
1	7	into	7.438748
1	8	the	1.268161
1	9	trash	8.921647
1	10	can	9.350413
1	11	.	2.51136
1	12	<eos>	-0.0
2	1	I	0.0
2	2	know	6.278276
2	3	that	2.352433
2	4	your	9.241128
2	5	friend	7.913626
2	6	threw	13.686808
2	7	the	2.886432
2	8	plastic	11.385204
2	9	into	4.947669
2	10	the	1.486418
2	11	trash	7.812945
2	12	can	10.36718
2	13	.	1.904799
2	14	<eos>	-0.0
3	1	I	0.0
3	2	know	6.278276
3	3	what	4.561374
3	4	your	9.354386
3	5	friend	7.341642
3	6	threw	13.763621
3	7	into	6.34998
3	8	the	1.739475
3	9	trash	9.975388
3	10	can	7.570324
3	11	.	1.910721
3	12	<eos>	-0.0
4	1	I	0.0
4	2	know	6.278276
4	3	what	4.561374
4	4	your	9.354386
4	5	friend	7.341642
4	6	threw	13.763621
4	7	the	3.619183
4	8	plastic	12.378215
4	9	into	6.396659
4	10	the	2.022741
4	11	trash	7.328647
4	12	can	9.025637
4	13	.	1.741438
4	14	<eos>	-0.0
5	1	I	0.0
5	2	know	6.278276
5	3	that	2.352433
5	4	our	8.541259
5	5	mother	7.632546
5	6	said	9.849742
5	7	your	12.143874
5	8	friend	6.952579
5	9	threw	12.653158
5	10	into	8.024834
5	11	the	1.403038
5	12	trash	9.092407
5	13	can	9.905343
5	14	.	2.343162
5	15	<eos>	-0.0
6	1	I	0.0
6	2	know	6.278276
6	3	that	2.352433
6	4	our	8.541259
6	5	mother	7.632546
6	6	said	9.849742
6	7	your	12.143874
6	8	friend	6.952579
6	9	threw	12.653158
6	10	the	3.318855
6	11	plastic	11.459787
6	12	into	5.283202
6	13	the	1.544398
6	14	trash	7.849545
6	15	can	10.821189
6	16	.	1.817421
6	17	<eos>	-0.0
7	1	I	0.0
7	2	know	6.278276
7	3	what	4.561374
7	4	our	9.632398
7	5	mother	6.846245
7	6	said	6.753045
7	7	your	13.527543
7	8	friend	7.033999
7	9	threw	12.346433
7	10	into	5.82832
7	11	the	1.8186
7	12	trash	9.412251
7	13	can	8.508002
7	14	.	1.868385
7	15	<eos>	-0.0
8	1	I	0.0
8	2	know	6.278276
8	3	what	4.561374
8	4	our	9.632398
8	5	mother	6.846245
8	6	said	6.753045
8	7	your	13.527543
8	8	friend	7.033999
8	9	threw	12.346433
8	10	the	3.844788
8	11	plastic	11.682371
8	12	into	5.484532
8	13	the	2.13044
8	14	trash	7.384652
8	15	can	9.648588
8	16	.	1.747959
8	17	<eos>	-0.0
9	1	I	0.0
9	2	know	6.278276
9	3	that	2.352433
9	4	our	8.541259
9	5	mother	7.632546
9	6	said	9.849742
9	7	her	7.237803
9	8	friend	7.841909
9	9	remarked	13.805615
9	10	your	16.045568
9	11	friend	7.475852
9	12	threw	12.494452
9	13	into	8.229052
9	14	the	1.695014
9	15	trash	8.347499
9	16	can	10.763589
9	17	.	2.244289
9	18	<eos>	-0.0
10	1	I	0.0
10	2	know	6.278276
10	3	that	2.352433
10	4	our	8.541259
10	5	mother	7.632546
10	6	said	9.849742
10	7	her	7.237803
10	8	friend	7.841909
10	9	remarked	13.805615
10	10	your	16.045568
10	11	friend	7.475852
10	12	threw	12.494452
10	13	the	3.600312
10	14	plastic	11.332442
10	15	into	5.189511
10	16	the	1.808474
10	17	trash	7.193124
10	18	can	11.249496
10	19	.	1.721918
10	20	<eos>	-0.0
11	1	I	0.0
11	2	know	6.278276
11	3	what	4.561374
11	4	our	9.632398
11	5	mother	6.846245
11	6	said	6.753045
11	7	her	9.734304
11	8	friend	7.787373
11	9	remarked	13.714902
11	10	your	16.070679
11	11	friend	6.325808
11	12	threw	12.499144
11	13	into	5.694444
11	14	the	1.798832
11	15	trash	9.076991
11	16	can	8.805182
11	17	.	1.581655
11	18	<eos>	-0.0
12	1	I	0.0
12	2	know	6.278276
12	3	what	4.561374
12	4	our	9.632398
12	5	mother	6.846245
12	6	said	6.753045
12	7	her	9.734304
12	8	friend	7.787373
12	9	remarked	13.714902
12	10	your	16.070679
12	11	friend	6.325808
12	12	threw	12.499144
12	13	the	4.487805
12	14	plastic	11.992221
12	15	into	5.729949
12	16	the	2.376432
12	17	trash	7.01979
12	18	can	9.938641
12	19	.	1.535402
12	20	<eos>	-0.0
13	1	I	0.0
13	2	know	6.278276
13	3	that	2.352433
13	4	our	8.541259
13	5	mother	7.632546
13	6	said	9.849742
13	7	her	7.237803
13	8	friend	7.841909
13	9	remarked	13.805615
13	10	the	6.17998
13	11	park	15.270876
13	12	attendant	15.034326
13	13	reported	12.073592
13	14	your	13.711047
13	15	friend	8.647436
13	16	threw	12.837973
13	17	into	7.25911
13	18	the	1.395558
13	19	trash	6.740068
13	20	can	9.996262
13	21	.	1.668057
13	22	<eos>	-0.0
14	1	I	0.0
14	2	know	6.278276
14	3	that	2.352433
14	4	our	8.541259
14	5	mother	7.632546
14	6	said	9.849742
14	7	her	7.237803
14	8	friend	7.841909
14	9	remarked	13.805615
14	10	the	6.17998
14	11	park	15.270876
14	12	attendant	15.034326
14	13	reported	12.073592
14	14	your	13.711047
14	15	friend	8.647436
14	16	threw	12.837973
14	17	the	3.652134
14	18	plastic	10.594794
14	19	into	4.601041
14	20	the	1.707393
14	21	trash	5.82694
14	22	can	10.877677
14	23	.	1.409108
14	24	<eos>	-0.0
15	1	I	0.0
15	2	know	6.278276
15	3	what	4.561374
15	4	our	9.632398
15	5	mother	6.846245
15	6	said	6.753045
15	7	her	9.734304
15	8	friend	7.787373
15	9	remarked	13.714902
15	10	the	7.570263
15	11	park	15.37764
15	12	attendant	16.740404
15	13	reported	11.181716
15	14	your	16.728607
15	15	friend	6.962441
15	16	threw	12.553583
15	17	into	5.335343
15	18	the	1.764965
15	19	trash	7.059436
15	20	can	8.993454
15	21	.	1.290258
15	22	<eos>	-0.0
16	1	I	0.0
16	2	know	6.278276
16	3	what	4.561374
16	4	our	9.632398
16	5	mother	6.846245
16	6	said	6.753045
16	7	her	9.734304
16	8	friend	7.787373
16	9	remarked	13.714902
16	10	the	7.570263
16	11	park	15.37764
16	12	attendant	16.740404
16	13	reported	11.181716
16	14	your	16.728607
16	15	friend	6.962441
16	16	threw	12.553583
16	17	the	4.649722
16	18	plastic	11.225689
16	19	into	4.828998
16	20	the	2.169432
16	21	trash	5.607578
16	22	can	10.316995
16	23	.	1.222218
16	24	<eos>	-0.0
17	1	I	0.0
17	2	know	6.278276
17	3	that	2.352433
17	4	our	8.541259
17	5	mother	7.632546
17	6	said	9.849742
17	7	her	7.237803
17	8	friend	7.841909
17	9	remarked	13.805615
17	10	the	6.17998
17	11	park	15.270876
17	12	attendant	15.034326
17	13	reported	12.073592
17	14	the	3.635417
17	15	cop	17.820646
17	16	thinks	12.764586
17	17	your	13.428319
17	18	friend	6.852958
17	19	threw	12.073783
17	20	into	7.083965
17	21	the	1.080834
17	22	trash	6.077623
17	23	can	10.402219
17	24	.	1.35896
17	25	<eos>	-0.0
18	1	I	0.0
18	2	know	6.278276
18	3	that	2.352433
18	4	our	8.541259
18	5	mother	7.632546
18	6	said	9.849742
18	7	her	7.237803
18	8	friend	7.841909
18	9	remarked	13.805615
18	10	the	6.17998
18	11	park	15.270876
18	12	attendant	15.034326
18	13	reported	12.073592
18	14	the	3.635417
18	15	cop	17.820646
18	16	thinks	12.764586
18	17	your	13.428319
18	18	friend	6.852958
18	19	threw	12.073783
18	20	the	3.420901
18	21	plastic	10.491356
18	22	into	4.644378
18	23	the	1.63324
18	24	trash	5.282434
18	25	can	11.489583
18	26	.	1.136822
18	27	<eos>	-0.0
19	1	I	0.0
19	2	know	6.278276
19	3	what	4.561374
19	4	our	9.632398
19	5	mother	6.846245
19	6	said	6.753045
19	7	her	9.734304
19	8	friend	7.787373
19	9	remarked	13.714902
19	10	the	7.570263
19	11	park	15.37764
19	12	attendant	16.740404
19	13	reported	11.181716
19	14	the	7.058434
19	15	cop	17.9021
19	16	thinks	11.665963
19	17	your	14.481349
19	18	friend	6.864899
19	19	threw	12.230663
19	20	into	4.802982
19	21	the	1.468992
19	22	trash	6.12701
19	23	can	9.028407
19	24	.	1.062286
19	25	<eos>	-0.0
20	1	I	0.0
20	2	know	6.278276
20	3	what	4.561374
20	4	our	9.632398
20	5	mother	6.846245
20	6	said	6.753045
20	7	her	9.734304
20	8	friend	7.787373
20	9	remarked	13.714902
20	10	the	7.570263
20	11	park	15.37764
20	12	attendant	16.740404
20	13	reported	11.181716
20	14	the	7.058434
20	15	cop	17.9021
20	16	thinks	11.665963
20	17	your	14.481349
20	18	friend	6.864899
20	19	threw	12.230663
20	20	the	4.644963
20	21	plastic	11.84806
20	22	into	4.91072
20	23	the	2.059324
20	24	trash	4.676186
20	25	can	10.676914
20	26	.	0.993336
20	27	<eos>	-0.0
21	1	The	0.0
21	2	newspaper	15.903531
21	3	reported	7.315045
21	4	that	0.656248
21	5	the	2.181931
21	6	boss	14.823406
21	7	sold	11.724365
21	8	to	5.962626
21	9	his	5.588099
21	10	friend	5.610367
21	11	.	5.378999
21	12	<eos>	-0.0
22	1	The	0.0
22	2	newspaper	15.903531
22	3	reported	7.315045
22	4	that	0.656248
22	5	the	2.181931
22	6	boss	14.823406
22	7	sold	11.724365
22	8	a	4.071801
22	9	car	6.700286
22	10	to	1.943193
22	11	his	4.965299
22	12	friend	4.581802
22	13	.	4.534842
22	14	<eos>	-0.0
23	1	The	0.0
23	2	newspaper	15.903531
23	3	reported	7.315045
23	4	what	11.347739
23	5	the	3.060604
23	6	boss	15.846
23	7	sold	11.515039
23	8	to	1.895673
23	9	his	4.5799
23	10	friend	5.105734
23	11	.	3.806581
23	12	<eos>	-0.0
24	1	The	0.0
24	2	newspaper	15.903531
24	3	reported	7.315045
24	4	what	11.347739
24	5	the	3.060604
24	6	boss	15.846
24	7	sold	11.515039
24	8	a	7.11902
24	9	car	8.045219
24	10	to	1.622283
24	11	his	5.193143
24	12	friend	4.482758
24	13	.	3.397918
24	14	<eos>	-0.0
25	1	The	0.0
25	2	newspaper	15.903531
25	3	reported	7.315045
25	4	that	0.656248
25	5	the	2.181931
25	6	investigator	15.281781
25	7	thought	9.428214
25	8	the	3.220821
25	9	boss	14.625125
25	10	sold	13.842034
25	11	to	4.752794
25	12	his	5.027864
25	13	friend	5.702628
25	14	.	4.141542
25	15	<eos>	-0.0
26	1	The	0.0
26	2	newspaper	15.903531
26	3	reported	7.315045
26	4	that	0.656248
26	5	the	2.181931
26	6	investigator	15.281781
26	7	thought	9.428214
26	8	the	3.220821
26	9	boss	14.625125
26	10	sold	13.842034
26	11	a	4.042106
26	12	car	7.652186
26	13	to	2.028394
26	14	his	5.013496
26	15	friend	4.960092
26	16	.	3.486474
26	17	<eos>	-0.0
27	1	The	0.0
27	2	newspaper	15.903531
27	3	reported	7.315045
27	4	what	11.347739
27	5	the	3.060604
27	6	investigator	12.937834
27	7	thought	6.92781
27	8	the	6.223873
27	9	boss	15.106106
27	10	sold	13.491715
27	11	to	3.025668
27	12	his	4.406048
27	13	friend	5.405621
27	14	.	2.914771
27	15	<eos>	-0.0
28	1	The	0.0
28	2	newspaper	15.903531
28	3	reported	7.315045
28	4	what	11.347739
28	5	the	3.060604
28	6	investigator	12.937834
28	7	thought	6.92781
28	8	the	6.223873
28	9	boss	15.106106
28	10	sold	13.491715
28	11	a	7.607812
28	12	car	7.925828
28	13	to	1.962946
28	14	his	5.147647
28	15	friend	4.941207
28	16	.	2.735208
28	17	<eos>	-0.0
29	1	The	0.0
29	2	newspaper	15.903531
29	3	reported	7.315045
29	4	that	0.656248
29	5	the	2.181931
29	6	investigator	15.281781
29	7	thought	9.428214
29	8	the	3.220821
29	9	businessman	16.949793
29	10	believed	9.478601
29	11	the	3.432453
29	12	boss	13.775071
29	13	sold	12.127194
29	14	to	5.065941
29	15	his	4.423447
29	16	friend	6.139892
29	17	.	3.672352
29	18	<eos>	-0.0
30	1	The	0.0
30	2	newspaper	15.903531
30	3	reported	7.315045
30	4	that	0.656248
30	5	the	2.181931
30	6	investigator	15.281781
30	7	thought	9.428214
30	8	the	3.220821
30	9	businessman	16.949793
30	10	believed	9.478601
30	11	the	3.432453
30	12	boss	13.775071
30	13	sold	12.127194
30	14	a	4.226011
30	15	car	7.302906
30	16	to	2.292895
30	17	his	4.666163
30	18	friend	5.092084
30	19	.	3.180904
30	20	<eos>	-0.0
31	1	The	0.0
31	2	newspaper	15.903531
31	3	reported	7.315045
31	4	what	11.347739
31	5	the	3.060604
31	6	investigator	12.937834
31	7	thought	6.92781
31	8	the	6.223873
31	9	businessman	16.800341
31	10	believed	7.74356
31	11	the	6.708405
31	12	boss	13.795127
31	13	sold	12.559789
31	14	to	3.026702
31	15	his	4.295986
