sentence_id,token_id,token,surprisal
0,0,they,6.37172
0,1,reported,11.2987
0,2,that,1.06934
0,3,could,8.36676
0,4,have,4.23376
0,5,promoted,13.0412
0,6,the,2.92461
0,7,accountant,17.147
0,8,last,14.3545
0,9,quarter,11.486
0,10,.,3.80372
0,11,</s>,27.9657
1,0,they,6.37172
1,1,reported,11.2987
1,2,that,1.06934
1,3,the,2.41116
1,4,boss,15.2577
1,5,could,11.6672
1,6,have,4.64757
1,7,promoted,12.6249
1,8,the,2.92461
1,9,accountant,17.147
1,10,last,14.3545
1,11,quarter,11.486
1,12,.,3.80372
1,13,</s>,27.9657
2,0,they,6.37172
2,1,reported,11.2987
2,2,who,12.4486
2,3,could,7.13325
2,4,have,4.91109
2,5,promoted,12.4818
2,6,the,2.92461
2,7,accountant,17.147
2,8,last,14.3545
2,9,quarter,11.486
2,10,.,3.80372
2,11,</s>,27.9657
3,0,they,6.37172
3,1,reported,11.2987
3,2,who,12.4486
3,3,the,8.96323
3,4,boss,14.2445
3,5,could,11.6672
3,6,have,4.64757
3,7,promoted,12.6249
3,8,the,2.92461
3,9,accountant,17.147
3,10,last,14.3545
3,11,quarter,11.486
3,12,.,3.80372
3,13,</s>,27.9657
4,0,they,6.37172
4,1,reported,11.2987
4,2,that,1.06934
4,3,the,2.41116
4,4,man,9.74448
4,5,said,10.1162
4,6,could,11.1654
4,7,have,4.60849
4,8,promoted,12.6249
4,9,the,2.92461
4,10,accountant,17.147
4,11,last,14.3545
4,12,quarter,11.486
4,13,.,3.80372
4,14,</s>,27.9657
5,0,they,6.37172
5,1,reported,11.2987
5,2,that,1.06934
5,3,the,2.41116
5,4,man,9.74448
5,5,said,10.1162
5,6,the,4.64906
5,7,boss,14.4272
5,8,could,11.6672
5,9,have,4.64757
5,10,promoted,12.6249
5,11,the,2.92461
5,12,accountant,17.147
5,13,last,14.3545
5,14,quarter,11.486
5,15,.,3.80372
5,16,</s>,27.9657
6,0,they,6.37172
6,1,reported,11.2987
6,2,who,12.4486
6,3,the,8.96323
6,4,man,6.8914
6,5,said,10.0278
6,6,could,11.1654
6,7,have,4.60849
6,8,promoted,12.6249
6,9,the,2.92461
6,10,accountant,17.147
6,11,last,14.3545
6,12,quarter,11.486
6,13,.,3.80372
6,14,</s>,27.9657
7,0,they,6.37172
7,1,reported,11.2987
7,2,who,12.4486
7,3,the,8.96323
7,4,man,6.8914
7,5,said,10.0278
7,6,the,4.64906
7,7,boss,14.4272
7,8,could,11.6672
7,9,have,4.64757
7,10,promoted,12.6249
7,11,the,2.92461
7,12,accountant,17.147
7,13,last,14.3545
7,14,quarter,11.486
7,15,.,3.80372
7,16,</s>,27.9657
8,0,they,6.37172
8,1,reported,11.2987
8,2,that,1.06934
8,3,the,2.41116
8,4,man,9.74448
8,5,said,10.1162
8,6,the,4.64906
8,7,old,10.8476
8,8,woman,8.0687
8,9,told,11.9488
8,10,him,3.88907
8,11,could,13.3907
8,12,have,4.72521
8,13,promoted,12.6249
8,14,the,2.92461
8,15,accountant,17.147
8,16,last,14.3545
8,17,quarter,11.486
8,18,.,3.80372
8,19,</s>,27.9657
9,0,they,6.37172
9,1,reported,11.2987
9,2,that,1.06934
9,3,the,2.41116
9,4,man,9.74448
9,5,said,10.1162
9,6,the,4.64906
9,7,old,10.8476
9,8,woman,8.0687
9,9,told,11.9488
9,10,him,3.88907
9,11,the,4.84715
9,12,boss,14.5977
9,13,could,11.6672
9,14,have,4.64757
9,15,promoted,12.6249
9,16,the,2.92461
9,17,accountant,17.147
9,18,last,14.3545
9,19,quarter,11.486
9,20,.,3.80372
9,21,</s>,27.9657
10,0,they,6.37172
10,1,reported,11.2987
10,2,who,12.4486
10,3,the,8.96323
10,4,man,6.8914
10,5,said,10.0278
10,6,the,4.64906
10,7,old,10.8476
10,8,woman,8.0687
10,9,told,11.9488
10,10,him,3.88907
10,11,could,13.3907
10,12,have,4.72521
10,13,promoted,12.6249
10,14,the,2.92461
10,15,accountant,17.147
10,16,last,14.3545
10,17,quarter,11.486
10,18,.,3.80372
10,19,</s>,27.9657
11,0,they,6.37172
11,1,reported,11.2987
11,2,who,12.4486
11,3,the,8.96323
11,4,man,6.8914
11,5,said,10.0278
11,6,the,4.64906
11,7,old,10.8476
11,8,woman,8.0687
11,9,told,11.9488
11,10,him,3.88907
11,11,the,4.84715
11,12,boss,14.5977
11,13,could,11.6672
11,14,have,4.64757
11,15,promoted,12.6249
11,16,the,2.92461
11,17,accountant,17.147
11,18,last,14.3545
11,19,quarter,11.486
11,20,.,3.80372
11,21,</s>,27.9657
12,0,they,6.37172
12,1,reported,11.2987
12,2,that,1.06934
12,3,the,2.41116
12,4,man,9.74448
12,5,said,10.1162
12,6,the,4.64906
12,7,old,10.8476
12,8,woman,8.0687
12,9,told,11.9488
12,10,him,3.88907
12,11,she,6.08387
12,12,knew,10.1816
12,13,could,9.95168
12,14,have,4.64757
12,15,promoted,12.6249
12,16,the,2.92461
12,17,accountant,17.147
12,18,last,14.3545
12,19,quarter,11.486
12,20,.,3.80372
12,21,</s>,27.9657
13,0,they,6.37172
13,1,reported,11.2987
13,2,that,1.06934
13,3,the,2.41116
13,4,man,9.74448
13,5,said,10.1162
13,6,the,4.64906
13,7,old,10.8476
13,8,woman,8.0687
13,9,told,11.9488
13,10,him,3.88907
13,11,she,6.08387
13,12,knew,10.1816
13,13,the,5.35757
13,14,boss,14.0672
13,15,could,11.6672
13,16,have,4.64757
13,17,promoted,12.6249
13,18,the,2.92461
13,19,accountant,17.147
13,20,last,14.3545
13,21,quarter,11.486
13,22,.,3.80372
13,23,</s>,27.9657
14,0,they,6.37172
14,1,reported,11.2987
14,2,who,12.4486
14,3,the,8.96323
14,4,man,6.8914
14,5,said,10.0278
14,6,the,4.64906
14,7,old,10.8476
14,8,woman,8.0687
14,9,told,11.9488
14,10,him,3.88907
14,11,she,6.08387
14,12,knew,10.1816
14,13,could,9.95168
14,14,have,4.64757
14,15,promoted,12.6249
14,16,the,2.92461
14,17,accountant,17.147
14,18,last,14.3545
14,19,quarter,11.486
14,20,.,3.80372
14,21,</s>,27.9657
15,0,they,6.37172
