,sentence_start,condition,levels_of_embedding,sentence_id,next_token_POS
0,I know that,-wh_no_gap,0,1,NOUN
1,I know that,-wh_no_gap,0,1,NOUN
2,I know that,-wh_no_gap,0,1,PROPN
3,I know that,-wh_no_gap,0,1,NUM
4,I know that,-wh_no_gap,0,1,ADJ
5,I know that,-wh_no_gap,0,1,VERB
6,I know that,-wh_no_gap,0,1,NOUN
7,I know that,-wh_no_gap,0,1,VERB
8,I know that,-wh_no_gap,0,1,VERB
9,I know that,-wh_no_gap,0,1,ADJ
10,I know that,-wh_no_gap,0,1,VERB
11,I know that,-wh_no_gap,0,1,NOUN
12,I know that,-wh_no_gap,0,1,NUM
13,I know that,-wh_no_gap,0,1,NUM
14,I know that,-wh_no_gap,0,1,NOUN
15,I know that,-wh_no_gap,0,1,NOUN
16,I know that,-wh_no_gap,0,1,ADJ
17,I know that,-wh_no_gap,0,1,NUM
18,I know that,-wh_no_gap,0,1,NUM
19,I know that,-wh_no_gap,0,1,VERB
20,I know that,-wh_no_gap,0,1,VERB
21,I know that,-wh_no_gap,0,1,VERB
22,I know that,-wh_no_gap,0,1,VERB
23,I know that,-wh_no_gap,0,1,NOUN
24,I know that,-wh_no_gap,0,1,NOUN
25,I know that,-wh_no_gap,0,1,VERB
26,I know that,-wh_no_gap,0,1,VERB
27,I know that,-wh_no_gap,0,1,NOUN
28,I know that,-wh_no_gap,0,1,NOUN
29,I know that,-wh_no_gap,0,1,VERB
30,I know that,-wh_no_gap,0,1,NUM
31,I know that,-wh_no_gap,0,1,ADJ
32,I know that,-wh_no_gap,0,1,NOUN
33,I know that,-wh_no_gap,0,1,NOUN
34,I know that,-wh_no_gap,0,1,NOUN
35,I know that,-wh_no_gap,0,1,PROPN
36,I know that,-wh_no_gap,0,1,ADJ
37,I know that,-wh_no_gap,0,1,NOUN
38,I know that,-wh_no_gap,0,1,NOUN
39,I know that,-wh_no_gap,0,1,PROPN
40,I know that,-wh_no_gap,0,1,ADJ
41,I know that,-wh_no_gap,0,1,VERB
42,I know that,-wh_no_gap,0,1,VERB
43,I know that,-wh_no_gap,0,1,NOUN
44,I know that,-wh_no_gap,0,1,PROPN
45,I know that,-wh_no_gap,0,1,NOUN
46,I know that,-wh_no_gap,0,1,NOUN
47,I know that,-wh_no_gap,0,1,NOUN
48,I know that,-wh_no_gap,0,1,ADV
49,I know that,-wh_no_gap,0,1,X
50,I know that,-wh_no_gap,0,1,VERB
51,I know that,-wh_no_gap,0,1,NOUN
52,I know that,-wh_no_gap,0,1,VERB
53,I know that,-wh_no_gap,0,1,NOUN
54,I know that,-wh_no_gap,0,1,NOUN
55,I know that,-wh_no_gap,0,1,NOUN
56,I know that,-wh_no_gap,0,1,NOUN
57,I know that,-wh_no_gap,0,1,NOUN
58,I know that,-wh_no_gap,0,1,NOUN
59,I know that,-wh_no_gap,0,1,NOUN
60,I know that,-wh_no_gap,0,1,VERB
61,I know that,-wh_no_gap,0,1,PROPN
62,I know that,-wh_no_gap,0,1,NOUN
63,I know that,-wh_no_gap,0,1,NOUN
64,I know that,-wh_no_gap,0,1,NOUN
65,I know that,-wh_no_gap,0,1,NOUN
66,I know that,-wh_no_gap,0,1,ADP
67,I know that,-wh_no_gap,0,1,ADJ
68,I know that,-wh_no_gap,0,1,NOUN
69,I know that,-wh_no_gap,0,1,PRON
70,I know that,-wh_no_gap,0,1,X
71,I know that,-wh_no_gap,0,1,NOUN
72,I know that,-wh_no_gap,0,1,NOUN
73,I know that,-wh_no_gap,0,1,NOUN
74,I know that,-wh_no_gap,0,1,NOUN
75,I know that,-wh_no_gap,0,1,NUM
76,I know that,-wh_no_gap,0,1,VERB
77,I know that,-wh_no_gap,0,1,NOUN
78,I know that,-wh_no_gap,0,1,ADJ
79,I know that,-wh_no_gap,0,1,NOUN
80,I know that,-wh_no_gap,0,1,NOUN
81,I know that,-wh_no_gap,0,1,NOUN
82,I know that,-wh_no_gap,0,1,NOUN
83,I know that,-wh_no_gap,0,1,VERB
84,I know that,-wh_no_gap,0,1,NUM
85,I know that,-wh_no_gap,0,1,ADJ
86,I know that,-wh_no_gap,0,1,NOUN
87,I know that,-wh_no_gap,0,1,PROPN
88,I know that,-wh_no_gap,0,1,NUM
89,I know that,-wh_no_gap,0,1,NOUN
90,I know that,-wh_no_gap,0,1,PROPN
91,I know that,-wh_no_gap,0,1,ADJ
92,I know that,-wh_no_gap,0,1,NOUN
93,I know that,-wh_no_gap,0,1,NOUN
94,I know that,-wh_no_gap,0,1,NOUN
95,I know that,-wh_no_gap,0,1,NOUN
96,I know that,-wh_no_gap,0,1,NOUN
97,I know that,-wh_no_gap,0,1,NOUN
98,I know that,-wh_no_gap,0,1,NOUN
99,I know that,-wh_no_gap,0,1,NOUN
100,I know who,+wh_gap,0,2,VERB
101,I know who,+wh_gap,0,2,VERB
102,I know who,+wh_gap,0,2,VERB
103,I know who,+wh_gap,0,2,NOUN
104,I know who,+wh_gap,0,2,NUM
105,I know who,+wh_gap,0,2,VERB
106,I know who,+wh_gap,0,2,VERB
107,I know who,+wh_gap,0,2,VERB
108,I know who,+wh_gap,0,2,VERB
109,I know who,+wh_gap,0,2,VERB
110,I know who,+wh_gap,0,2,VERB
111,I know who,+wh_gap,0,2,X
112,I know who,+wh_gap,0,2,VERB
113,I know who,+wh_gap,0,2,VERB
114,I know who,+wh_gap,0,2,VERB
115,I know who,+wh_gap,0,2,NUM
116,I know who,+wh_gap,0,2,VERB
117,I know who,+wh_gap,0,2,VERB
118,I know who,+wh_gap,0,2,VERB
119,I know who,+wh_gap,0,2,VERB
120,I know who,+wh_gap,0,2,VERB
121,I know who,+wh_gap,0,2,VERB
122,I know who,+wh_gap,0,2,VERB
123,I know who,+wh_gap,0,2,VERB
124,I know who,+wh_gap,0,2,VERB
125,I know who,+wh_gap,0,2,NUM
126,I know who,+wh_gap,0,2,VERB
127,I know who,+wh_gap,0,2,ADJ
128,I know who,+wh_gap,0,2,VERB
129,I know who,+wh_gap,0,2,VERB
130,I know who,+wh_gap,0,2,VERB
131,I know who,+wh_gap,0,2,VERB
132,I know who,+wh_gap,0,2,VERB
133,I know who,+wh_gap,0,2,VERB
134,I know who,+wh_gap,0,2,NUM
135,I know who,+wh_gap,0,2,VERB
136,I know who,+wh_gap,0,2,NUM
137,I know who,+wh_gap,0,2,NOUN
138,I know who,+wh_gap,0,2,VERB
139,I know who,+wh_gap,0,2,ADJ
140,I know who,+wh_gap,0,2,NUM
141,I know who,+wh_gap,0,2,PROPN
142,I know who,+wh_gap,0,2,VERB
143,I know who,+wh_gap,0,2,VERB
144,I know who,+wh_gap,0,2,VERB
145,I know who,+wh_gap,0,2,VERB
146,I know who,+wh_gap,0,2,X
147,I know who,+wh_gap,0,2,VERB
148,I know who,+wh_gap,0,2,VERB
149,I know who,+wh_gap,0,2,VERB
150,I know who,+wh_gap,0,2,PROPN
151,I know who,+wh_gap,0,2,VERB
152,I know who,+wh_gap,0,2,NOUN
153,I know who,+wh_gap,0,2,VERB
154,I know who,+wh_gap,0,2,NOUN
155,I know who,+wh_gap,0,2,NOUN
156,I know who,+wh_gap,0,2,VERB
157,I know who,+wh_gap,0,2,NUM
158,I know who,+wh_gap,0,2,VERB
159,I know who,+wh_gap,0,2,ADV
160,I know who,+wh_gap,0,2,NUM
161,I know who,+wh_gap,0,2,VERB
162,I know who,+wh_gap,0,2,VERB
163,I know who,+wh_gap,0,2,VERB
164,I know who,+wh_gap,0,2,ADV
165,I know who,+wh_gap,0,2,VERB
166,I know who,+wh_gap,0,2,VERB
167,I know who,+wh_gap,0,2,VERB
168,I know who,+wh_gap,0,2,VERB
169,I know who,+wh_gap,0,2,VERB
170,I know who,+wh_gap,0,2,VERB
171,I know who,+wh_gap,0,2,VERB
172,I know who,+wh_gap,0,2,VERB
173,I know who,+wh_gap,0,2,VERB
174,I know who,+wh_gap,0,2,VERB
175,I know who,+wh_gap,0,2,VERB
176,I know who,+wh_gap,0,2,VERB
177,I know who,+wh_gap,0,2,VERB
178,I know who,+wh_gap,0,2,VERB
179,I know who,+wh_gap,0,2,VERB
180,I know who,+wh_gap,0,2,VERB
181,I know who,+wh_gap,0,2,VERB
182,I know who,+wh_gap,0,2,VERB
183,I know who,+wh_gap,0,2,NUM
184,I know who,+wh_gap,0,2,X
185,I know who,+wh_gap,0,2,VERB
186,I know who,+wh_gap,0,2,NOUN
187,I know who,+wh_gap,0,2,VERB
188,I know who,+wh_gap,0,2,NUM
189,I know who,+wh_gap,0,2,VERB
190,I know who,+wh_gap,0,2,VERB
191,I know who,+wh_gap,0,2,NOUN
192,I know who,+wh_gap,0,2,VERB
193,I know who,+wh_gap,0,2,PROPN
194,I know who,+wh_gap,0,2,VERB
195,I know who,+wh_gap,0,2,VERB
196,I know who,+wh_gap,0,2,VERB
197,I know who,+wh_gap,0,2,VERB
198,I know who,+wh_gap,0,2,VERB
199,I know who,+wh_gap,0,2,VERB
200,I know that our mother said,-wh_no_gap,1,5,PRON
201,I know that our mother said,-wh_no_gap,1,5,PROPN
202,I know that our mother said,-wh_no_gap,1,5,NOUN
203,I know that our mother said,-wh_no_gap,1,5,PROPN
204,I know that our mother said,-wh_no_gap,1,5,NUM
205,I know that our mother said,-wh_no_gap,1,5,NOUN
206,I know that our mother said,-wh_no_gap,1,5,ADJ
207,I know that our mother said,-wh_no_gap,1,5,NOUN
208,I know that our mother said,-wh_no_gap,1,5,PROPN
