sentence_group,gap,filler,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,subject,verb,object,continuation,complementiser_surprisal,object_surprisal,subject_surprisal,continuation_surprisal
1,yes,no,0,gap_no_filler,The assistant knew,who,,,,the secretary,introduced,,to her friend.,6.747474,,3.798539,1.873882
1,yes,yes,0,gap_filler,The assistant knew,who,,,,the secretary,introduced,her partner,to her friend.,6.747474,4.295585,3.798539,1.395767
1,no,no,0,no_gap_no_filler,The assistant knew,that,,,,the secretary,introduced,,to her friend.,3.218776,,3.439892,7.745109
1,no,yes,0,no_gap_filler,The assistant knew,that,,,,the secretary,introduced,her partner,to her friend.,3.218776,2.850313,3.439892,1.891158
1,yes,no,1,gap_no_filler,The assistant knew,who,the security guard said,,,the secretary,introduced,,to her friend.,6.747629,,5.823729,1.430659
1,yes,yes,1,gap_filler,The assistant knew,who,the security guard said,,,the secretary,introduced,her partner,to her friend.,6.747629,4.185199,5.823729,1.493732
1,no,no,1,no_gap_no_filler,The assistant knew,that,the security guard said,,,the secretary,introduced,,to her friend.,3.218776,,3.803254,8.221761
1,no,yes,1,no_gap_filler,The assistant knew,that,the security guard said,,,the secretary,introduced,her partner,to her friend.,3.218776,2.878279,3.803254,1.600936
1,yes,no,2,gap_no_filler,The assistant knew,who,the security guard said,his manager believed,,the secretary,introduced,,to her friend.,6.747629,,7.776745,1.655827
1,yes,yes,2,gap_filler,The assistant knew,who,the security guard said,his manager believed,,the secretary,introduced,her partner,to her friend.,6.747629,4.197791,7.776745,1.135877
1,no,no,2,no_gap_no_filler,The assistant knew,that,the security guard said,his manager believed,,the secretary,introduced,,to her friend.,3.218776,,2.533421,8.023932
1,no,yes,2,no_gap_filler,The assistant knew,that,the security guard said,his manager believed,,the secretary,introduced,her partner,to her friend.,3.218776,2.942195,2.533421,1.077361
1,yes,no,3,gap_no_filler,The assistant knew,who,the security guard said,his manager believed,the junior associate claimed,the secretary,introduced,,to her friend.,6.747629,,6.729325,3.908267
1,yes,yes,3,gap_filler,The assistant knew,who,the security guard said,his manager believed,the junior associate claimed,the secretary,introduced,her partner,to her friend.,6.747629,2.657874,6.729325,1.087603
1,no,no,3,no_gap_no_filler,The assistant knew,that,the security guard said,his manager believed,the junior associate claimed,the secretary,introduced,,to her friend.,3.218776,,4.167671,7.500949
1,no,yes,3,no_gap_filler,The assistant knew,that,the security guard said,his manager believed,the junior associate claimed,the secretary,introduced,her partner,to her friend.,3.218776,2.598525,4.167671,1.094482
2,yes,no,0,gap_no_filler,The teacher reported,who,,,,the student,hit,,in art class.,12.867662,,4.384059,4.623034
2,yes,yes,0,gap_filler,The teacher reported,who,,,,the student,hit,her classmate,in art class.,12.867662,6.948834,4.384059,3.169133
2,no,no,0,no_gap_no_filler,The teacher reported,that,,,,the student,hit,,in art class.,1.940011,,2.810861,7.125513
2,no,yes,0,no_gap_filler,The teacher reported,that,,,,the student,hit,her classmate,in art class.,1.940011,1.44052,2.810861,2.637684
2,yes,no,1,gap_no_filler,The teacher reported,who,the other children claimed,,,the student,hit,,in art class.,12.867736,,6.821746,4.772396
