sentence_id	token_id	token	surprisal
1	1	<|endoftext|>	0.0
1	2	I	5.770367
1	3	Ġknow	5.545733
1	4	Ġthat	2.74974
1	5	Ġthrew	17.574404
1	6	Ġthe	4.957513
1	7	Ġplastic	13.298136
1	8	Ġinto	5.23078
1	9	Ġthe	1.366296
1	10	Ġtrash	4.088259
1	11	Ġcan	2.953301
1	12	.	2.313083
1	13	<|endoftext|>	8.937812
2	1	<|endoftext|>	0.0
2	2	I	5.770367
2	3	Ġknow	5.545733
2	4	Ġthat	2.749727
2	5	Ġyour	6.902938
2	6	Ġfriend	7.219469
2	7	Ġthrew	12.316045
2	8	Ġthe	3.978974
2	9	Ġplastic	11.313429
2	10	Ġinto	6.671617
2	11	Ġthe	1.218964
2	12	Ġtrash	3.823729
2	13	Ġcan	2.613783
2	14	.	2.574317
2	15	<|endoftext|>	9.9038
3	1	<|endoftext|>	0.0
3	2	I	5.770367
3	3	Ġknow	5.545733
3	4	Ġwho	8.366545
3	5	Ġthrew	12.386086
3	6	Ġthe	2.010778
3	7	Ġplastic	12.377396
3	8	Ġinto	8.245393
3	9	Ġthe	0.883798
3	10	Ġtrash	4.403804
3	11	Ġcan	3.070561
3	12	.	1.777388
3	13	<|endoftext|>	7.618767
4	1	<|endoftext|>	0.0
4	2	I	5.770367
4	3	Ġknow	5.545733
4	4	Ġwho	8.366532
4	5	Ġyour	7.611001
4	6	Ġfriend	5.095162
4	7	Ġthrew	16.041265
4	8	Ġthe	2.342645
4	9	Ġplastic	11.484862
4	10	Ġinto	7.688571
4	11	Ġthe	1.395304
4	12	Ġtrash	3.439478
4	13	Ġcan	3.031291
4	14	.	1.610101
4	15	<|endoftext|>	7.799303
5	1	<|endoftext|>	0.0
5	2	I	5.770362
5	3	Ġknow	5.545699
5	4	Ġthat	2.74972
5	5	Ġour	8.916295
5	6	Ġmother	9.931917
5	7	Ġsaid	6.590502
5	8	Ġthrew	21.612141
5	9	Ġthe	3.534725
5	10	Ġplastic	10.06967
5	11	Ġinto	5.963251
5	12	Ġthe	0.908165
5	13	Ġtrash	4.329552
5	14	Ġcan	2.736078
5	15	.	2.177429
5	16	<|endoftext|>	10.20869
6	1	<|endoftext|>	0.0
6	2	I	5.770357
6	3	Ġknow	5.545684
6	4	Ġthat	2.749692
6	5	Ġour	8.916299
6	6	Ġmother	9.931918
6	7	Ġsaid	6.590503
6	8	Ġyour	10.290977
6	9	Ġfriend	9.176875
6	10	Ġthrew	11.575058
6	11	Ġthe	3.464657
6	12	Ġplastic	9.518383
6	13	Ġinto	6.906036
6	14	Ġthe	1.010771
6	15	Ġtrash	4.246688
6	16	Ġcan	2.89976
6	17	.	2.057055
6	18	<|endoftext|>	10.244484
7	1	<|endoftext|>	0.0
7	2	I	5.770362
7	3	Ġknow	5.545699
7	4	Ġwho	8.36647
7	5	Ġour	12.066749
7	6	Ġmother	9.776573
7	7	Ġsaid	10.199624
7	8	Ġthrew	16.902114
7	9	Ġthe	2.718287
7	10	Ġplastic	10.134979
7	11	Ġinto	6.762082
7	12	Ġthe	0.819016
7	13	Ġtrash	4.394486
7	14	Ġcan	3.620739
7	15	.	1.432094
7	16	<|endoftext|>	8.198453
8	1	<|endoftext|>	0.0
8	2	I	5.770357
8	3	Ġknow	5.545684
8	4	Ġwho	8.366485
8	5	Ġour	12.066758
8	6	Ġmother	9.776581
8	7	Ġsaid	10.199613
8	8	Ġyour	11.834459
8	9	Ġfriend	8.570994
8	10	Ġthrew	12.421721
8	11	Ġthe	2.977427
8	12	Ġplastic	9.659476
8	13	Ġinto	7.243194
8	14	Ġthe	0.981841
8	15	Ġtrash	4.026863
8	16	Ġcan	3.261645
8	17	.	1.42733
8	18	<|endoftext|>	8.294271
9	1	<|endoftext|>	0.0
9	2	I	5.770357
9	3	Ġknow	5.545684
9	4	Ġthat	2.749692
9	5	Ġour	8.916299
9	6	Ġmother	9.931918
9	7	Ġsaid	6.590503
9	8	Ġher	7.331433
9	9	Ġfriend	9.653595
9	10	Ġremarked	15.422551
9	11	Ġthrew	21.437046
9	12	Ġthe	3.174367
9	13	Ġplastic	9.289281
9	14	Ġinto	6.623873
9	15	Ġthe	0.943998
9	16	Ġtrash	4.003387
9	17	Ġcan	3.006856
9	18	.	2.019718
9	19	<|endoftext|>	10.472092
10	1	<|endoftext|>	0.0
10	2	I	5.770357
10	3	Ġknow	5.545684
10	4	Ġthat	2.749692
10	5	Ġour	8.916299
10	6	Ġmother	9.931918
10	7	Ġsaid	6.590503
10	8	Ġher	7.331433
10	9	Ġfriend	9.653595
10	10	Ġremarked	15.422551
10	11	Ġyour	12.03681
10	12	Ġfriend	4.945186
10	13	Ġthrew	12.127652
10	14	Ġthe	3.281126
10	15	Ġplastic	9.276717
10	16	Ġinto	7.27692
10	17	Ġthe	0.94254
10	18	Ġtrash	4.167905
10	19	Ġcan	3.224234
10	20	.	1.795994
10	21	<|endoftext|>	10.297295
11	1	<|endoftext|>	0.0
11	2	I	5.770357
11	3	Ġknow	5.545684
11	4	Ġwho	8.366485
11	5	Ġour	12.066758
11	6	Ġmother	9.776581
11	7	Ġsaid	10.199613
11	8	Ġher	7.209122
11	9	Ġfriend	9.245782
11	10	Ġremarked	17.323643
11	11	Ġthrew	20.655708
11	12	Ġthe	3.002243
11	13	Ġplastic	9.140211
11	14	Ġinto	7.112111
11	15	Ġthe	0.920114
11	16	Ġtrash	3.870284
11	17	Ġcan	3.396088
11	18	.	1.602391
11	19	<|endoftext|>	8.977987
12	1	<|endoftext|>	0.0
12	2	I	5.770357
12	3	Ġknow	5.545684
12	4	Ġwho	8.366485
12	5	Ġour	12.066758
12	6	Ġmother	9.776581
12	7	Ġsaid	10.199613
12	8	Ġher	7.209122
12	9	Ġfriend	9.245782
12	10	Ġremarked	17.323643
12	11	Ġyour	12.326552
12	12	Ġfriend	5.340321
12	13	Ġthrew	12.268876
12	14	Ġthe	3.210685
12	15	Ġplastic	9.272227
12	16	Ġinto	7.505422
12	17	Ġthe	0.951092
12	18	Ġtrash	3.908616
12	19	Ġcan	3.360713
12	20	.	1.542869
12	21	<|endoftext|>	8.783148
13	1	<|endoftext|>	0.0
13	2	I	5.770357
13	3	Ġknow	5.545684
13	4	Ġthat	2.749692
13	5	Ġour	8.916299
13	6	Ġmother	9.931918
13	7	Ġsaid	6.590503
13	8	Ġher	7.331433
13	9	Ġfriend	9.653595
13	10	Ġremarked	15.422551
13	11	Ġthe	7.058251
13	12	Ġpark	13.377457
13	13	Ġattendant	12.693683
13	14	Ġreported	12.190502
13	15	Ġthrew	19.325873
13	16	Ġthe	2.894332
13	17	Ġplastic	7.261102
13	18	Ġinto	8.159458
13	19	Ġthe	0.675224
13	20	Ġtrash	4.475
13	21	Ġcan	2.878959
13	22	.	1.607062
13	23	<|endoftext|>	10.236516
14	1	<|endoftext|>	0.0
14	2	I	5.770357
14	3	Ġknow	5.545684
14	4	Ġthat	2.749692
14	5	Ġour	8.916299
14	6	Ġmother	9.931918
14	7	Ġsaid	6.590503
14	8	Ġher	7.331433
14	9	Ġfriend	9.653595
14	10	Ġremarked	15.422551
14	11	Ġthe	7.058251
14	12	Ġpark	13.377457
14	13	Ġattendant	12.693683
14	14	Ġreported	12.190502
14	15	Ġyour	11.112687
14	16	Ġfriend	4.033353
14	17	Ġthrew	11.493462
14	18	Ġthe	3.095572
14	19	Ġplastic	6.850482
14	20	Ġinto	8.142272
14	21	Ġthe	0.57896
14	22	Ġtrash	3.961717
14	23	Ġcan	3.038417
14	24	.	1.351829
14	25	<|endoftext|>	10.091271
15	1	<|endoftext|>	0.0
15	2	I	5.770357
15	3	Ġknow	5.545684
15	4	Ġwho	8.366485
15	5	Ġour	12.066758
15	6	Ġmother	9.776581
15	7	Ġsaid	10.199613
15	8	Ġher	7.209122
15	9	Ġfriend	9.245782
15	10	Ġremarked	17.323643
15	11	Ġthe	6.888885
15	12	Ġpark	12.959003
15	13	Ġattendant	12.618315
15	14	Ġreported	12.363329
15	15	Ġthrew	18.818174
15	16	Ġthe	2.848033
15	17	Ġplastic	7.250453
15	18	Ġinto	8.447569
15	19	Ġthe	0.683749
15	20	Ġtrash	4.441474
15	21	Ġcan	3.003363
15	22	.	1.447114
15	23	<|endoftext|>	8.949352
16	1	<|endoftext|>	0.0
16	2	I	5.770357
16	3	Ġknow	5.545684
16	4	Ġwho	8.366485
16	5	Ġour	12.066758
16	6	Ġmother	9.776581
16	7	Ġsaid	10.199613
16	8	Ġher	7.209122
16	9	Ġfriend	9.245782
16	10	Ġremarked	17.323643
16	11	Ġthe	6.888885
16	12	Ġpark	12.959003
16	13	Ġattendant	12.618315
16	14	Ġreported	12.363329
16	15	Ġyour	11.555586
16	16	Ġfriend	4.415843
16	17	Ġthrew	11.554416
16	18	Ġthe	3.142438
16	19	Ġplastic	6.784558
16	20	Ġinto	8.298073
16	21	Ġthe	0.599516
16	22	Ġtrash	3.853683
16	23	Ġcan	3.09167
16	24	.	1.281078
16	25	<|endoftext|>	8.761876
17	1	<|endoftext|>	0.0
17	2	I	5.770357
17	3	Ġknow	5.545684
17	4	Ġthat	2.749692
17	5	Ġour	8.916299
17	6	Ġmother	9.931918
17	7	Ġsaid	6.590503
17	8	Ġher	7.331433
17	9	Ġfriend	9.653595
17	10	Ġremarked	15.422551
17	11	Ġthe	7.058251
17	12	Ġpark	13.377457
17	13	Ġattendant	12.693683
17	14	Ġreported	12.190502
17	15	Ġthrew	19.325873
17	16	Ġthe	2.894332
17	17	Ġplastic	7.261102
17	18	Ġinto	8.159458
17	19	Ġthe	0.675224
17	20	Ġtrash	4.475
17	21	Ġcan	2.878959
17	22	.	1.607062
17	23	<|endoftext|>	10.236516
18	1	<|endoftext|>	0.0
18	2	I	5.770357
18	3	Ġknow	5.545684
18	4	Ġthat	2.749692
18	5	Ġour	8.916299
18	6	Ġmother	9.931918
18	7	Ġsaid	6.590503
18	8	Ġher	7.331433
18	9	Ġfriend	9.653595
18	10	Ġremarked	15.422551
18	11	Ġthe	7.058251
18	12	Ġpark	13.377457
18	13	Ġattendant	12.693683
18	14	Ġreported	12.190502
18	15	Ġyour	11.112687
18	16	Ġfriend	4.033353
18	17	Ġthrew	11.493462
18	18	Ġthe	3.095572
18	19	Ġplastic	6.850482
18	20	Ġinto	8.142272
18	21	Ġthe	0.57896
18	22	Ġtrash	3.961717
18	23	Ġcan	3.038417
18	24	.	1.351829
18	25	<|endoftext|>	10.091271
19	1	<|endoftext|>	0.0
19	2	I	5.770357
19	3	Ġknow	5.545684
19	4	Ġwho	8.366485
19	5	Ġour	12.066758
19	6	Ġmother	9.776581
19	7	Ġsaid	10.199613
19	8	Ġher	7.209122
19	9	Ġfriend	9.245782
19	10	Ġremarked	17.323643
19	11	Ġthe	6.888885
19	12	Ġpark	12.959003
19	13	Ġattendant	12.618315
19	14	Ġreported	12.363329
19	15	Ġthrew	18.818174
19	16	Ġthe	2.848033
19	17	Ġplastic	7.250453
19	18	Ġinto	8.447569
19	19	Ġthe	0.683749
19	20	Ġtrash	4.441474
19	21	Ġcan	3.003363
19	22	.	1.447114
19	23	<|endoftext|>	8.949352
20	1	<|endoftext|>	0.0
20	2	I	5.770357
20	3	Ġknow	5.545684
20	4	Ġwho	8.366485
20	5	Ġour	12.066758
20	6	Ġmother	9.776581
20	7	Ġsaid	10.199613
20	8	Ġher	7.209122
20	9	Ġfriend	9.245782
20	10	Ġremarked	17.323643
20	11	Ġthe	6.888885
20	12	Ġpark	12.959003
20	13	Ġattendant	12.618315
20	14	Ġreported	12.363329
20	15	Ġyour	11.555586
20	16	Ġfriend	4.415843
20	17	Ġthrew	11.554416
20	18	Ġthe	3.142438
20	19	Ġplastic	6.784558
20	20	Ġinto	8.298073
20	21	Ġthe	0.599516
20	22	Ġtrash	3.853683
20	23	Ġcan	3.09167
20	24	.	1.281078
20	25	<|endoftext|>	8.761876
21	1	<|endoftext|>	0.0
21	2	The	4.729313
21	3	Ġnewspaper	13.263054
21	4	Ġreported	3.595349
21	5	Ġthat	0.76549
21	6	Ġsold	18.031605
21	7	Ġa	9.694991
21	8	Ġcar	6.877519
21	9	Ġto	2.239343
21	10	Ġhis	6.859212
21	11	Ġfriend	4.505763
21	12	.	5.175377
21	13	<|endoftext|>	6.080076
22	1	<|endoftext|>	0.0
22	2	The	4.729313
22	3	Ġnewspaper	13.263054
22	4	Ġreported	3.595349
22	5	Ġthat	0.76549
22	6	Ġthe	2.480994
22	7	Ġboss	11.282601
22	8	Ġsold	14.352068
22	9	Ġa	3.998891
22	10	Ġcar	6.810201
22	11	Ġto	2.161944
22	12	Ġhis	5.407646
22	13	Ġfriend	5.145444
22	14	.	4.795877
22	15	<|endoftext|>	5.74548
23	1	<|endoftext|>	0.0
23	2	The	4.729313
23	3	Ġnewspaper	13.263054
23	4	Ġreported	3.595349
23	5	Ġwho	14.544697
23	6	Ġsold	9.439526
23	7	Ġa	6.08188
23	8	Ġcar	5.325093
23	9	Ġto	1.654796
23	10	Ġhis	7.171668
23	11	Ġfriend	4.499324
23	12	.	3.581409
23	13	<|endoftext|>	6.056771
24	1	<|endoftext|>	0.0
24	2	The	4.729313
24	3	Ġnewspaper	13.263054
24	4	Ġreported	3.595349
24	5	Ġwho	14.544697
24	6	Ġthe	4.618234
24	7	Ġboss	10.328859
24	8	Ġsold	15.069193
24	9	Ġa	7.140533
24	10	Ġcar	5.947252
24	11	Ġto	0.718119
24	12	Ġhis	10.672675
24	13	Ġfriend	5.45939
24	14	.	2.891466
24	15	<|endoftext|>	5.724973
25	1	<|endoftext|>	0.0
25	2	The	4.729286
25	3	Ġnewspaper	13.263032
25	4	Ġreported	3.595366
25	5	Ġthat	0.765484
25	6	Ġthe	2.480973
25	7	Ġinvestigator	12.798558
25	8	Ġthought	11.463146
25	9	Ġsold	18.860839
25	10	Ġa	6.821388
25	11	Ġcar	6.087898
25	12	Ġto	2.086037
25	13	Ġhis	6.139377
25	14	Ġfriend	4.169153
25	15	.	3.821237
25	16	<|endoftext|>	6.176541
26	1	<|endoftext|>	0.0
26	2	The	4.729281
26	3	Ġnewspaper	13.263024
26	4	Ġreported	3.595351
26	5	Ġthat	0.765479
26	6	Ġthe	2.480964
26	7	Ġinvestigator	12.798575
26	8	Ġthought	11.463144
26	9	Ġthe	2.353284
26	10	Ġboss	12.726528
26	11	Ġsold	13.933986
26	12	Ġa	4.488002
26	13	Ġcar	5.661609
26	14	Ġto	1.868136
26	15	Ġhis	5.060585
26	16	Ġfriend	5.057851
26	17	.	2.958801
26	18	<|endoftext|>	5.967517
27	1	<|endoftext|>	0.0
27	2	The	4.729286
27	3	Ġnewspaper	13.263032
27	4	Ġreported	3.595366
27	5	Ġwho	14.544712
27	6	Ġthe	4.618148
27	7	Ġinvestigator	11.042513
27	8	Ġthought	8.798303
27	9	Ġsold	13.975603
27	10	Ġa	5.538009
27	11	Ġcar	5.213552
27	12	Ġto	1.264183
27	13	Ġhis	7.806024
27	14	Ġfriend	4.223968
27	15	.	2.082994
27	16	<|endoftext|>	6.033037
28	1	<|endoftext|>	0.0
28	2	The	4.729281
28	3	Ġnewspaper	13.263024
28	4	Ġreported	3.595351
28	5	Ġwho	14.544717
28	6	Ġthe	4.618145
28	7	Ġinvestigator	11.042498
28	8	Ġthought	8.798282
28	9	Ġthe	4.598378
28	10	Ġboss	12.44942
28	11	Ġsold	15.520559
28	12	Ġa	6.37089
28	13	Ġcar	4.966361
28	14	Ġto	0.977213
28	15	Ġhis	8.9135
28	16	Ġfriend	5.169497
28	17	.	1.98223
28	18	<|endoftext|>	5.734332
29	1	<|endoftext|>	0.0
29	2	The	4.729281
29	3	Ġnewspaper	13.263024
29	4	Ġreported	3.595351
29	5	Ġthat	0.765479
29	6	Ġthe	2.480964
29	7	Ġinvestigator	12.798575
29	8	Ġthought	11.463144
29	9	Ġthe	2.353284
29	10	Ġbusinessman	11.015749
29	11	Ġbelieved	9.365991
29	12	Ġsold	16.80913
29	13	Ġa	4.712178
29	14	Ġcar	5.019209
29	15	Ġto	1.664193
29	16	Ġhis	4.928608
29	17	Ġfriend	4.681331
29	18	.	3.269011
29	19	<|endoftext|>	5.778185
30	1	<|endoftext|>	0.0
30	2	The	4.729281
30	3	Ġnewspaper	13.263024
30	4	Ġreported	3.595351
30	5	Ġthat	0.765479
30	6	Ġthe	2.480964
30	7	Ġinvestigator	12.798575
30	8	Ġthought	11.463144
30	9	Ġthe	2.353284
30	10	Ġbusinessman	11.015749
30	11	Ġbelieved	9.365991
30	12	Ġthe	2.532215
30	13	Ġboss	12.315114
30	14	Ġsold	12.370012
30	15	Ġa	4.923584
30	16	Ġcar	5.133059
30	17	Ġto	1.777468
