sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,subject,verb,object,continuation,main_clause_surprisal,main_clause_surprisal_mean,complementiser_surprisal,complementiser_surprisal_mean,embedding_1_surprisal,embedding_1_surprisal_mean,embedding_2_surprisal,embedding_2_surprisal_mean,embedding_3_surprisal,embedding_3_surprisal_mean,subject_surprisal,subject_surprisal_mean,verb_surprisal,verb_surprisal_mean,object_surprisal,object_surprisal_mean,continuation_surprisal,continuation_surprisal_mean,semi_local_surprisal_mean,global_surprisal_mean
1,yes,yes,0,+wh_gap,The assistant knew,who,,,,,impressed,the director,at the meeting.,4.729313,11.913115666666668,6.747474,6.747474,,,,,,,,,16.859853,16.859853,4.583838,6.124829,6.124972,5.546962000000001,7.625066166666667,8.823721800000001
1,yes,no,0,+wh_no_gap,The assistant knew,who,,,,the secretary,impressed,the director,at the meeting.,4.729313,11.913120333333334,6.747474,6.747474,,,,,,,3.798539,7.011673,22.871823,22.871823,6.622082,6.550777,6.538787,4.893177666666666,8.084532,8.930257583333335
1,no,yes,0,-wh_gap,The assistant knew,that,,,,,impressed,the director,at the meeting.,4.729313,11.913115666666668,3.218776,3.218776,,,,,,,,,18.752622,18.752622,3.591621,5.3043445,7.519417,6.0959080000000005,7.941505833333333,8.660715800000002
1,no,no,0,-wh_no_gap,The assistant knew,that,,,,the secretary,impressed,the director,at the meeting.,4.729313,11.913120333333334,3.218776,3.218776,,,,,,,3.439892,7.3831880000000005,19.580871,19.580871,4.123414,5.0354785,6.859876,4.9000406666666665,7.3897907499999995,8.173038583333334
1,yes,yes,1,+wh_gap,The assistant knew,who,the security guard said,,,,impressed,the director,at the meeting.,4.729281,11.913095666666665,6.747629,6.747629,3.798587,6.829399,,,,,,,19.758275,19.758275,5.01968,6.504786,6.590802,4.5404263333333335,7.731521000000001,8.299545571428569
1,yes,no,1,+wh_no_gap,The assistant knew,who,the security guard said,,,the secretary,impressed,the director,at the meeting.,4.729281,11.913095666666665,6.747629,6.747629,3.798587,6.829399,,,,,5.823729,8.5116585,20.114836,20.114836,7.291377,6.662974,6.168313,4.207682,7.885893375,8.3057286875
1,no,yes,1,-wh_gap,The assistant knew,that,the security guard said,,,,impressed,the director,at the meeting.,4.729281,11.913095666666665,3.218776,3.218776,3.439831,6.44130925,,,,,,,20.201649,20.201649,4.62629,6.5229835000000005,6.909867,4.695573666666667,7.889056166666666,8.004116928571428
1,no,no,1,-wh_no_gap,The assistant knew,that,the security guard said,,,the secretary,impressed,the director,at the meeting.,4.729281,11.913095666666665,3.218776,3.218776,3.439831,6.44130925,,,,,3.803254,7.4204665,17.898302,17.898302,4.72873,5.545971,6.903605,4.3416266666666665,7.107007125,7.5987098125
1,yes,yes,2,+wh_gap,The assistant knew,who,the security guard said,his manager believed,,,impressed,the director,at the meeting.,4.729281,11.913095666666665,6.747629,6.747629,3.798587,6.829399,7.988609,9.068859333333334,,,,,20.699627,20.699627,4.228996,6.6000105,5.911689,5.162252333333334,8.2310675,8.611617352941176
1,yes,no,2,+wh_no_gap,The assistant knew,who,the security guard said,his manager believed,,the secretary,impressed,the director,at the meeting.,4.729281,11.913095666666665,6.747629,6.747629,3.798587,6.829399,7.988609,9.068859333333334,,,7.776745,9.792358,20.082893,20.082893,6.694172,6.6477425,5.57,4.236747333333334,8.209167,8.562338210526315
1,no,yes,2,-wh_gap,The assistant knew,that,the security guard said,his manager believed,,,impressed,the director,at the meeting.,4.729281,11.913095666666665,3.218776,3.218776,3.439831,6.44130925,6.105785,8.781686333333333,,,,,22.89543,22.89543,3.028472,5.9985325,6.48267,5.075898,8.353364833333332,8.305208705882354
1,no,no,2,-wh_no_gap,The assistant knew,that,the security guard said,his manager believed,,the secretary,impressed,the director,at the meeting.,4.729281,11.913095666666665,3.218776,3.218776,3.439831,6.44130925,6.105785,8.781686333333333,,,2.533421,7.1364495,18.223476,18.223476,3.819975,5.238655,6.107353,4.220519333333333,6.954405375,7.721242210526316
1,yes,yes,3,+wh_gap,The assistant knew,who,the security guard said,his manager believed,the junior associate claimed,,impressed,the director,at the meeting.,4.729281,11.913095666666665,6.747629,6.747629,3.798587,6.829399,7.988609,9.068859333333334,7.776745,10.820231249999999,,,20.122796,20.122796,4.544251,6.591182,5.467794,4.845733333333333,7.973726666666667,8.958779761904761
1,yes,no,3,+wh_no_gap,The assistant knew,who,the security guard said,his manager believed,the junior associate claimed,the secretary,impressed,the director,at the meeting.,4.729281,11.913095666666665,6.747629,6.747629,3.798587,6.829399,7.988609,9.068859333333334,7.776745,10.820231249999999,6.729325,9.589218,17.824839,17.824839,5.726982,6.300055499999999,5.742948,4.377717333333334,7.84206725,8.827328391304349
1,no,yes,3,-wh_gap,The assistant knew,that,the security guard said,his manager believed,the junior associate claimed,,impressed,the director,at the meeting.,4.729281,11.913095666666665,3.218776,3.218776,3.439831,6.44130925,6.105785,8.781686333333333,2.533421,9.631353,,,22.266927,22.266927,3.796367,6.161879,5.899081,4.762800333333334,8.146514333333334,8.498707476190479
1,no,no,3,-wh_no_gap,The assistant knew,that,the security guard said,his manager believed,the junior associate claimed,the secretary,impressed,the director,at the meeting.,4.729281,11.913095666666665,3.218776,3.218776,3.439831,6.44130925,6.105785,8.781686333333333,2.533421,9.631353,4.167671,8.137572500000001,17.521422,17.521422,4.500913,5.667789,6.077594,4.351083666666667,7.273174500000001,8.164311608695652
2,yes,yes,0,+wh_gap,The teacher reported,who,,,,,hit,a classmate,in art class.,4.729313,9.030337000000001,12.867662,12.867662,,,,,,,,,8.154337,8.154337,8.451695,7.8030385,3.030749,7.508676,7.714406999999999,8.6245115
