sentence_id	token_id	token	surprisal
1	1	<|endoftext|>	0.0
1	2	They	9.39695
1	3	Ġreported	10.956506
1	4	Ġthat	2.208508
1	5	Ġcould	14.70096
1	6	Ġhave	4.051415
1	7	Ġpromoted	15.211358
1	8	Ġthe	2.724253
1	9	Ġaccountant	19.678434
1	10	Ġlast	12.331204
1	11	Ġquarter	11.754745
1	12	.	2.418298
1	13	<|endoftext|>	4.939675
2	1	<|endoftext|>	0.0
2	2	They	9.39695
2	3	Ġreported	10.956506
2	4	Ġthat	2.20851
2	5	Ġthe	2.648978
2	6	Ġboss	12.477322
2	7	Ġcould	8.011897
2	8	Ġhave	3.32413
2	9	Ġpromoted	13.125882
2	10	Ġthe	3.052271
2	11	Ġaccountant	13.52482
2	12	Ġlast	10.01921
2	13	Ġquarter	12.263409
2	14	.	2.829696
2	15	<|endoftext|>	5.084847
3	1	<|endoftext|>	0.0
3	2	They	9.39695
3	3	Ġreported	10.956506
3	4	Ġwho	12.973994
3	5	Ġcould	8.262186
3	6	Ġhave	2.442637
3	7	Ġpromoted	14.433121
3	8	Ġthe	1.972487
3	9	Ġaccountant	18.802167
3	10	Ġlast	10.256871
3	11	Ġquarter	12.822852
3	12	.	2.259204
3	13	<|endoftext|>	5.939996
4	1	<|endoftext|>	0.0
4	2	They	9.39695
4	3	Ġreported	10.956506
4	4	Ġwho	12.973997
4	5	Ġthe	4.219928
4	6	Ġboss	10.719062
4	7	Ġcould	8.689499
4	8	Ġhave	3.191133
4	9	Ġpromoted	13.966836
4	10	Ġthe	6.060905
4	11	Ġaccountant	15.652718
4	12	Ġlast	9.372092
4	13	Ġquarter	13.145722
4	14	.	1.642701
4	15	<|endoftext|>	5.578699
5	1	<|endoftext|>	0.0
5	2	They	9.396972
5	3	Ġreported	10.95643
5	4	Ġthat	2.20852
5	5	Ġthe	2.648967
5	6	Ġman	6.285519
5	7	Ġsaid	6.848637
5	8	Ġcould	15.235668
5	9	Ġhave	2.979538
5	10	Ġpromoted	17.376284
5	11	Ġthe	2.770593
5	12	Ġaccountant	20.357639
5	13	Ġlast	12.917899
5	14	Ġquarter	13.586574
5	15	.	2.617441
5	16	<|endoftext|>	5.032374
6	1	<|endoftext|>	0.0
6	2	They	9.396978
6	3	Ġreported	10.956426
6	4	Ġthat	2.208518
6	5	Ġthe	2.648968
6	6	Ġman	6.28552
6	7	Ġsaid	6.848633
6	8	Ġthe	4.100878
6	9	Ġboss	12.150847
6	10	Ġcould	7.375689
6	11	Ġhave	3.513481
6	12	Ġpromoted	14.034672
6	13	Ġthe	3.196167
6	14	Ġaccountant	13.178693
6	15	Ġlast	11.284
6	16	Ġquarter	12.59662
6	17	.	2.483731
6	18	<|endoftext|>	5.132623
7	1	<|endoftext|>	0.0
7	2	They	9.396972
7	3	Ġreported	10.95643
7	4	Ġwho	12.973919
7	5	Ġthe	4.219939
7	6	Ġman	4.470151
7	7	Ġsaid	7.069537
7	8	Ġcould	9.347312
7	9	Ġhave	2.695622
7	10	Ġpromoted	16.141597
7	11	Ġthe	1.923019
7	12	Ġaccountant	19.601829
7	13	Ġlast	11.524661
7	14	Ġquarter	14.301845
7	15	.	1.722267
7	16	<|endoftext|>	5.43165
8	1	<|endoftext|>	0.0
8	2	They	9.396978
8	3	Ġreported	10.956426
8	4	Ġwho	12.973917
