sentence_id,token_id,token,surprisal
0,0,The,0.0
0,1,assistant,19.641615
0,2,knew,15.797457
0,3,who,8.132307
0,4,the,4.022631
0,5,secretary,12.068179
0,6,introduced,14.949581
0,7,to,2.59475
0,8,her,5.417305
0,9,friend,9.559542
0,10,.,2.788332
0,11,<eos>,-0.0
1,0,The,0.0
1,1,assistant,19.641615
1,2,knew,15.797457
1,3,who,8.132307
1,4,the,4.022631
1,5,secretary,12.068179
1,6,introduced,14.949581
1,7,her,8.545922
1,8,partner,15.878469
1,9,to,2.101699
1,10,her,4.312099
1,11,friend,7.265463
1,12,.,2.913061
1,13,<eos>,-0.0
2,0,The,0.0
2,1,assistant,19.641615
2,2,knew,15.797457
2,3,that,2.728114
2,4,the,1.719252
2,5,secretary,13.587895
2,6,introduced,14.55541
2,7,to,6.753639
2,8,her,5.540607
2,9,friend,8.939439
2,10,.,5.626384
2,11,<eos>,-0.0
3,0,The,0.0
3,1,assistant,19.641615
3,2,knew,15.797457
3,3,that,2.728114
3,4,the,1.719252
3,5,secretary,13.587895
3,6,introduced,14.55541
3,7,her,5.73611
3,8,partner,16.759729
3,9,to,1.704777
3,10,her,3.941895
3,11,friend,6.535703
3,12,.,3.26582
3,13,<eos>,-0.0
4,0,The,0.0
4,1,assistant,19.641615
4,2,knew,15.797457
4,3,who,8.132307
4,4,the,4.022631
4,5,security,11.629489
4,6,guard,5.741409
4,7,said,8.462949
4,8,the,4.754498
4,9,secretary,12.499672
4,10,introduced,14.596349
4,11,to,5.356333
4,12,her,6.1186
4,13,friend,9.901752
4,14,.,2.712464
4,15,<eos>,-0.0
5,0,The,0.0
5,1,assistant,19.641615
5,2,knew,15.797457
5,3,who,8.132307
5,4,the,4.022631
5,5,security,11.629489
5,6,guard,5.741409
5,7,said,8.462949
5,8,the,4.754498
5,9,secretary,12.499672
5,10,introduced,14.596349
5,11,her,6.958785
5,12,partner,17.677887
5,13,to,1.845088
5,14,her,4.138436
5,15,friend,6.93864
5,16,.,2.709015
5,17,<eos>,-0.0
6,0,The,0.0
6,1,assistant,19.641615
6,2,knew,15.797457
6,3,that,2.728114
6,4,the,1.719252
6,5,security,11.404789
6,6,guard,6.464586
6,7,said,9.157346
6,8,the,2.883517
6,9,secretary,12.999442
6,10,introduced,16.096813
6,11,to,6.9588
6,12,her,6.200075
6,13,friend,9.206703
6,14,.,4.372962
6,15,<eos>,-0.0
7,0,The,0.0
7,1,assistant,19.641615
7,2,knew,15.797457
7,3,that,2.728114
7,4,the,1.719252
7,5,security,11.404789
7,6,guard,6.464586
7,7,said,9.157346
7,8,the,2.883517
7,9,secretary,12.999442
7,10,introduced,16.096813
7,11,her,6.666223
7,12,partner,18.237915
7,13,to,1.873419
7,14,her,4.266888
7,15,friend,6.778302
7,16,.,2.884684
7,17,<eos>,-0.0
8,0,The,0.0
8,1,assistant,19.641615
8,2,knew,15.797457
8,3,who,8.132307
8,4,the,4.022631
8,5,security,11.629489
8,6,guard,5.741409
8,7,said,8.462949
8,8,his,7.722405
8,9,manager,10.521006
8,10,believed,9.017894
8,11,the,2.897134
8,12,secretary,14.144478
8,13,introduced,16.304117
8,14,to,7.134691
8,15,her,7.351053
8,16,friend,9.135018
8,17,.,3.329355
8,18,<eos>,-0.0
9,0,The,0.0
9,1,assistant,19.641615
9,2,knew,15.797457
9,3,who,8.132307
9,4,the,4.022631
9,5,security,11.629489
9,6,guard,5.741409
9,7,said,8.462949
9,8,his,7.722405
9,9,manager,10.521006
9,10,believed,9.017894
9,11,the,2.897134
9,12,secretary,14.144478
9,13,introduced,16.304117
9,14,her,7.679334
9,15,partner,18.213093
9,16,to,1.919274
9,17,her,4.624214
9,18,friend,7.046852
9,19,.,2.442336
9,20,<eos>,-0.0
10,0,The,0.0
10,1,assistant,19.641615
10,2,knew,15.797457
10,3,that,2.728114
10,4,the,1.719252
10,5,security,11.404789
10,6,guard,6.464586
10,7,said,9.157346
10,8,his,5.916121
10,9,manager,10.421913
10,10,believed,8.788723
10,11,the,2.962441
10,12,secretary,14.039936
10,13,introduced,16.830351
10,14,to,6.86627
10,15,her,6.9762
10,16,friend,9.008499
10,17,.,3.953838
10,18,<eos>,-0.0
11,0,The,0.0
11,1,assistant,19.641615
11,2,knew,15.797457
11,3,that,2.728114
11,4,the,1.719252
11,5,security,11.404789
11,6,guard,6.464586
11,7,said,9.157346
11,8,his,5.916121
11,9,manager,10.421913
11,10,believed,8.788723
11,11,the,2.962441
11,12,secretary,14.039936
11,13,introduced,16.830351
11,14,her,7.336838
11,15,partner,17.959429
11,16,to,1.90603
11,17,her,4.496099
11,18,friend,7.191939
11,19,.,2.625839
11,20,<eos>,-0.0
12,0,The,0.0
12,1,assistant,19.641615
12,2,knew,15.797457
12,3,who,8.132307
12,4,the,4.022631
12,5,security,11.629489
12,6,guard,5.741409
12,7,said,8.462949
12,8,his,7.722405
12,9,manager,10.521006
12,10,believed,9.017894
12,11,the,2.897134
12,12,junior,14.415289
12,13,associate,15.4119
12,14,claimed,13.14212
12,15,the,4.10011
12,16,secretary,12.9998
12,17,introduced,16.331924
12,18,to,7.755556
12,19,her,6.84508
12,20,friend,9.610198
12,21,.,3.285521
12,22,<eos>,-0.0
13,0,The,0.0
13,1,assistant,19.641615
13,2,knew,15.797457
13,3,who,8.132307
13,4,the,4.022631
13,5,security,11.629489
13,6,guard,5.741409
13,7,said,8.462949
13,8,his,7.722405
13,9,manager,10.521006
13,10,believed,9.017894
13,11,the,2.897134
13,12,junior,14.415289
13,13,associate,15.4119
13,14,claimed,13.14212
13,15,the,4.10011
13,16,secretary,12.9998
13,17,introduced,16.331924
13,18,her,7.301968
13,19,partner,18.335918
13,20,to,2.009572
13,21,her,4.638586
13,22,friend,6.79339
13,23,.,2.588269
13,24,<eos>,-0.0
14,0,The,0.0
14,1,assistant,19.641615
14,2,knew,15.797457
14,3,that,2.728114
14,4,the,1.719252
14,5,security,11.404789
14,6,guard,6.464586
14,7,said,9.157346
14,8,his,5.916121
14,9,manager,10.421913
14,10,believed,8.788723
14,11,the,2.962441
14,12,junior,14.918139
14,13,associate,15.303257
14,14,claimed,13.183841
14,15,the,4.102692
14,16,secretary,12.948157
14,17,introduced,16.758928
14,18,to,7.690771
14,19,her,6.585217
14,20,friend,9.560618
14,21,.,3.672471
14,22,<eos>,-0.0
15,0,The,0.0
15,1,assistant,19.641615
15,2,knew,15.797457
15,3,that,2.728114
15,4,the,1.719252
15,5,security,11.404789
15,6,guard,6.464586
15,7,said,9.157346
15,8,his,5.916121
15,9,manager,10.421913
