sentence_id,token_id,token,surprisal
0,0,I,0.0
0,1,know,6.278276
0,2,what,4.561374
0,3,the,3.557633
0,4,lion,14.748716
0,5,devoured,15.573889
0,6,yesterday,11.039667
0,7,<eos>,24.507677
1,0,I,0.0
1,1,know,6.278276
1,2,what,4.561374
1,3,the,3.557633
1,4,lion,14.748716
1,5,devoured,15.573889
1,6,a,7.801432
1,7,<unk>,4.690822
1,8,yesterday,13.515928
1,9,<eos>,25.043615
2,0,I,0.0
2,1,know,6.278276
2,2,that,2.352433
2,3,the,2.35511
2,4,lion,13.763021
2,5,devoured,13.183076
2,6,a,4.8783
2,7,<unk>,4.881872
2,8,yesterday,15.774069
2,9,<eos>,24.519913
3,0,I,0.0
3,1,know,6.278276
3,2,that,2.352433
3,3,the,2.35511
3,4,lion,13.763021
3,5,devoured,13.183076
3,6,yesterday,16.361565
3,7,<eos>,25.15889
