Requested backend docker is not compatible with model Official<JRNN at docker://docker.io/cpllab/language-models:jrnn>; using DockerBackend instead
sentence_id	token_id	token	surprisal
1	1	<S>	0.0
1	2	I	17.757679
1	3	know	9.554412
1	4	what	3.134954
1	5	the	4.333603
1	6	lion	17.154649
1	7	devoured	19.520144
1	8	yesterday	9.906542
1	9	</S>	14.681394
2	1	<S>	0.0
2	2	I	17.757679
2	3	know	9.554412
2	4	what	3.134954
2	5	the	4.333603
2	6	lion	17.154649
2	7	devoured	19.520144
2	8	a	8.596311
2	9	gazelle	16.172673
2	10	yesterday	10.007428
2	11	</S>	15.114254
3	1	<S>	0.0
3	2	I	17.757679
3	3	know	9.554412
3	4	that	6.375424
3	5	the	5.707442
3	6	lion	16.623813
3	7	devoured	16.688264
3	8	a	4.956087
3	9	gazelle	15.960758
3	10	yesterday	9.249345
3	11	</S>	14.941646
4	1	<S>	0.0
4	2	I	17.757679
4	3	know	9.554412
4	4	that	6.375424
4	5	the	5.707442
4	6	lion	16.623813
4	7	devoured	16.688264
4	8	yesterday	12.115354
4	9	</S>	14.794342
Tokenizer v3
Language: en
