sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,embedding_4,subject,verb,object,continuation,main_clause_surprisal,main_clause_surprisal_mean,complementiser_surprisal,complementiser_surprisal_mean,embedding_1_surprisal,embedding_1_surprisal_mean,embedding_2_surprisal,embedding_2_surprisal_mean,embedding_3_surprisal,embedding_3_surprisal_mean,embedding_4_surprisal,embedding_4_surprisal_mean,subject_surprisal,subject_surprisal_mean,verb_surprisal,verb_surprisal_mean,object_surprisal,object_surprisal_mean,continuation_surprisal,continuation_surprisal_mean,semi_local_surprisal_mean,global_surprisal_mean,local_surprisal,local_surprisal_mean,main_clause_frequency,main_clause_frequency_mean,complementiser_frequency,complementiser_frequency_mean,embedding_1_frequency,embedding_1_frequency_mean,embedding_2_frequency,embedding_2_frequency_mean,embedding_3_frequency,embedding_3_frequency_mean,embedding_4_frequency,embedding_4_frequency_mean,subject_frequency,subject_frequency_mean,verb_frequency,verb_frequency_mean,object_frequency,object_frequency_mean,continuation_frequency,continuation_frequency_mean,local_frequency,local_frequency_mean
1,no,yes,0,-wh_gap,I know,that,,,,,your friend,threw,,into the trash can.,8.92268,7.641035,3.01867,3.01867,,,,,,,,,9.03142,9.03274,15.5017,15.5017,,,7.68647,7.4267725,7.4267725,8.157501,7.68647,7.4267725,0.0123,0.00114,0.0102,0.0102,,,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,,,0.00129,2.55e-05,0.00129,2.55e-05
1,no,no,0,-wh_no_gap,I know,that,,,,,your friend,threw,the plastic,into the trash can.,8.92268,7.641035,3.01867,3.01867,,,,,,,,,9.03142,9.03274,15.5017,15.5017,3.69269,9.046945,10.8086,8.2801,8.535715000000001,8.590184166666665,3.69269,9.046945,0.0123,0.00114,0.0102,0.0102,,,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.0537,3.23e-05
1,yes,yes,0,+wh_gap,I know,what,,,,,your friend,threw,,into the trash can.,8.92268,7.641035,4.42758,4.42758,,,,,,,,,8.81526,8.959305,15.5017,15.5017,,,7.68647,7.4267725,7.4267725,8.283705000000001,7.68647,7.4267725,0.0123,0.00114,0.0024,0.0024,,,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,,,0.00129,2.55e-05,0.00129,2.55e-05
1,yes,no,0,+wh_no_gap,I know,what,,,,,your friend,threw,the plastic,into the trash can.,8.92268,7.641035,4.42758,4.42758,,,,,,,,,8.81526,8.959305,15.5017,15.5017,3.69269,9.046945,10.8086,8.2801,8.535715000000001,8.695354166666666,3.69269,9.046945,0.0123,0.00114,0.0024,0.0024,,,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.0537,3.23e-05
1,no,yes,1,-wh_gap,I know,that,our mother said,,,,your friend,threw,,into the trash can.,8.92268,7.641035,3.01867,3.01867,9.03142,9.68994,,,,,,,15.38,12.1964,15.5017,15.5017,,,7.68647,7.4267725,7.4267725,8.997857692307692,7.68647,7.4267725,0.0123,0.00114,0.0102,0.0102,0.00138,0.000134,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,,,0.00129,2.55e-05,0.00129,2.55e-05
1,no,no,1,-wh_no_gap,I know,that,our mother said,,,,your friend,threw,the plastic,into the trash can.,8.92268,7.641035,3.01867,3.01867,9.03142,9.68994,,,,,,,15.38,12.1964,15.5017,15.5017,3.69269,9.046945,10.8086,8.2801,8.535715000000001,9.231956666666669,3.69269,9.046945,0.0123,0.00114,0.0102,0.0102,0.00138,0.000134,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.0537,3.23e-05
1,yes,yes,1,+wh_gap,I know,what,our mother said,,,,your friend,threw,,into the trash can.,8.92268,7.641035,4.42758,4.42758,10.4328,10.143266666666667,,,,,,,15.38,12.1964,15.5017,15.5017,,,7.68647,7.4267725,7.4267725,9.210849230769233,7.68647,7.4267725,0.0123,0.00114,0.0024,0.0024,0.00138,0.000134,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,,,0.00129,2.55e-05,0.00129,2.55e-05
1,yes,no,1,+wh_no_gap,I know,what,our mother said,,,,your friend,threw,the plastic,into the trash can.,8.92268,7.641035,4.42758,4.42758,10.4328,10.143266666666667,,,,,,,15.38,12.1964,15.5017,15.5017,3.69269,9.046945,10.8086,8.2801,8.535715000000001,9.416549333333334,3.69269,9.046945,0.0123,0.00114,0.0024,0.0024,0.00138,0.000134,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.0537,3.23e-05
1,no,yes,2,-wh_gap,I know,that,our mother said,her friend remarked,,,your friend,threw,,into the trash can.,8.92268,7.641035,3.01867,3.01867,9.03142,9.68994,8.58876,11.263733333333334,,,,,16.1277,12.57025,15.5017,15.5017,,,7.68647,7.4267725,7.4267725,9.469440625,7.68647,7.4267725,0.0123,0.00114,0.0102,0.0102,0.00138,0.000134,0.002,3.82e-06,,,,,0.00339,0.000219,2.88e-05,2.88e-05,,,0.00129,2.55e-05,0.00129,2.55e-05
1,no,no,2,-wh_no_gap,I know,that,our mother said,her friend remarked,,,your friend,threw,the plastic,into the trash can.,8.92268,7.641035,3.01867,3.01867,9.03142,9.68994,8.58876,11.263733333333334,,,,,16.1277,12.57025,15.5017,15.5017,3.69269,9.046945,10.8086,8.2801,8.535715000000001,9.612125,3.69269,9.046945,0.0123,0.00114,0.0102,0.0102,0.00138,0.000134,0.002,3.82e-06,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.0537,3.23e-05
