sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,embedding_4,subject,verb,object,continuation,main_clause_surprisal,main_clause_surprisal_mean,complementiser_surprisal,complementiser_surprisal_mean,embedding_1_surprisal,embedding_1_surprisal_mean,embedding_2_surprisal,embedding_2_surprisal_mean,embedding_3_surprisal,embedding_3_surprisal_mean,subject_surprisal,subject_surprisal_mean,verb_surprisal,verb_surprisal_mean,object_surprisal,object_surprisal_mean,continuation_surprisal,continuation_surprisal_mean,semi_local_surprisal_mean,global_surprisal_mean
54,no,yes,0,-wh_gap,They reported,that,,,,,,could have promoted,the accountant,last quarter.,9.39695,10.176728,2.208508,2.208508,,,,,,,,,14.70096,11.321244333333334,2.724253,11.2013435,12.331204,12.0429745,11.493195571428572,10.3014333
54,no,no,0,-wh_no_gap,They reported,that,,,,,the boss,could have promoted,the accountant,last quarter.,9.39695,10.176728,2.20851,2.20851,,,,,,,2.648978,7.563149999999999,8.011897,8.153969666666667,3.052271,8.2885455,10.01921,11.141309499999998,8.716435444444445,8.417490416666668
54,yes,yes,0,+wh_gap,They reported,who,,,,,,could have promoted,the accountant,last quarter.,9.39695,10.176728,12.973994,12.973994,,,,,,,,,8.262186,8.379314666666666,1.972487,10.387327,10.256871,11.5398615,9.856045857142858,10.2319771
54,yes,no,0,+wh_no_gap,They reported,who,,,,,the boss,could have promoted,the accountant,last quarter.,9.39695,10.176728,12.973997,12.973997,,,,,,,4.219928,7.469495,8.689499,8.615822666666666,6.060905,10.8568115,9.372092,11.258907,9.44643277777778,9.862112333333334
54,no,yes,1,-wh_gap,They reported,that,the man said,,,,,could have promoted,the accountant,last quarter.,9.396972,10.176701,2.20852,2.20852,2.648967,5.261041,,,,,,,15.235668,11.86383,2.770593,11.564115999999999,12.917899,13.2522365,12.174885,9.505326153846154
54,no,no,1,-wh_no_gap,They reported,that,the man said,,,,the boss,could have promoted,the accountant,last quarter.,9.396978,10.176702,2.208518,2.208518,2.648968,5.261040333333334,,,,,4.100878,8.1258625,7.375689,8.307947333333333,3.196167,8.18743,11.284,11.94031,9.047894111111113,7.985072666666667
54,yes,yes,1,+wh_gap,They reported,who,the man said,,,,,could have promoted,the accountant,last quarter.,9.396972,10.176701,12.973919,12.973919,4.219939,5.253209000000001,,,,,,,9.347312,9.394843666666667,1.923019,10.762424,11.524661,12.913253000000001,10.790840714285716,9.586371769230768
54,yes,no,1,+wh_no_gap,They reported,who,the man said,,,,the boss,could have promoted,the accountant,last quarter.,9.396978,10.176702,12.973917,12.973917,4.219927,5.253197,,,,,6.632644,9.7191685,9.799373,9.394399,6.600084,10.4970935,10.817945,12.051622,10.302107222222222,9.453725133333334
54,no,yes,2,-wh_gap,They reported,that,the man said,the old woman told him,,,,could have promoted,the accountant,last quarter.,9.396978,10.176702,2.208518,2.208518,2.648968,5.261040333333334,4.100878,5.060634800000001,,,,,13.88085,11.49967,3.16631,10.553265,12.242134,12.660046000000001,11.560804571428573,8.0318805
54,no,no,2,-wh_no_gap,They reported,that,the man said,the old woman told him,,,the boss,could have promoted,the accountant,last quarter.,9.396978,10.176702,2.208518,2.208518,2.648968,5.261040333333334,4.100878,5.060634800000001,,,4.558587,8.012105,6.836596,8.296091666666667,4.144182,8.793898,10.841263,11.7482425,9.110751777777777,7.282249150000001
54,yes,yes,2,+wh_gap,They reported,who,the man said,the old woman told him,,,,could have promoted,the accountant,last quarter.,9.396978,10.176702,12.973917,12.973917,4.219927,5.253197,6.632644,6.501829599999999,,,,,10.303357,10.201301333333333,3.534539,10.683392999999999,11.89335,12.668868,11.044060857142856,8.828026999999999
54,yes,no,2,+wh_no_gap,They reported,who,the man said,the old woman told him,,,the boss,could have promoted,the accountant,last quarter.,9.396978,10.176702,12.973917,12.973917,4.219927,5.253197,6.632644,6.501829599999999,,,6.447325,9.3398975,8.174655,8.685008,4.947648,9.345015,10.53533,11.5766635,9.619797333333333,8.408711799999997
54,no,yes,3,-wh_gap,They reported,that,the man said,the old woman told him,she knew,,,could have promoted,the accountant,last quarter.,9.396978,10.176702,2.208518,2.208518,2.648968,5.261040333333334,4.100878,5.060634800000001,2.029028,4.491567,,,14.76276,11.929380333333334,3.088566,10.448643,12.157721,12.6424255,11.710039714285713,7.73008145
54,no,no,3,-wh_no_gap,They reported,that,the man said,the old woman told him,she knew,,the boss,could have promoted,the accountant,last quarter.,9.396978,10.176702,2.208518,2.208518,2.648968,5.261040333333334,4.100878,5.060634800000001,2.029028,4.491567,3.174585,7.064463,6.800291,8.262808333333332,4.221392,8.839542,11.162835,11.915941,8.936479666666665,6.957257636363636
54,yes,yes,3,+wh_gap,They reported,who,the man said,the old woman told him,she knew,,,could have promoted,the accountant,last quarter.,9.396978,10.176702,12.973917,12.973917,4.219927,5.253197,6.632644,6.501829599999999,3.429522,4.6233375,,,10.985518,10.660400666666666,3.372609,10.517454,11.848614,12.6149895,11.178012714285714,8.4544412
54,yes,no,3,+wh_no_gap,They reported,who,the man said,the old woman told him,she knew,,the boss,could have promoted,the accountant,last quarter.,9.396978,10.176702,12.973917,12.973917,4.219927,5.253197,6.632644,6.501829599999999,3.429522,4.6233375,4.302233,7.8933575000000005,8.431473,8.806021666666666,4.777521,9.286444,10.849056,11.7327485,9.360351666666666,7.95845
54,no,yes,4,-wh_gap,They reported,that,the man said,the old woman told him,she knew,he noticed,,could have promoted,the accountant,last quarter.,9.396978,10.176702,2.208518,2.208518,2.648968,5.261040333333334,4.100878,5.060634800000001,2.029028,4.491567,,,14.76276,11.929380333333334,3.088566,10.448643,12.157721,12.6424255,11.710039714285713,7.73008145
54,no,no,4,-wh_no_gap,They reported,that,the man said,the old woman told him,she knew,he noticed,the boss,could have promoted,the accountant,last quarter.,9.396978,10.176702,2.208518,2.208518,2.648968,5.261040333333334,4.100878,5.060634800000001,2.029028,4.491567,3.174585,7.064463,6.800291,8.262808333333332,4.221392,8.839542,11.162835,11.915941,8.936479666666665,6.957257636363636
54,yes,yes,4,+wh_gap,They reported,who,the man said,the old woman told him,she knew,he noticed,,could have promoted,the accountant,last quarter.,9.396978,10.176702,12.973917,12.973917,4.219927,5.253197,6.632644,6.501829599999999,3.429522,4.6233375,,,10.985518,10.660400666666666,3.372609,10.517454,11.848614,12.6149895,11.178012714285714,8.4544412
54,yes,no,4,+wh_no_gap,They reported,who,the man said,the old woman told him,she knew,he noticed,the boss,could have promoted,the accountant,last quarter.,9.396978,10.176702,12.973917,12.973917,4.219927,5.253197,6.632644,6.501829599999999,3.429522,4.6233375,4.302233,7.8933575000000005,8.431473,8.806021666666666,4.777521,9.286444,10.849056,11.7327485,9.360351666666666,7.95845
53,no,yes,0,-wh_gap,He reported,that,,,,,,could abandon,his comrades,on the sinking ship.,8.582737,10.45716,2.374091,2.374091,,,,,,,,,14.49929,15.278065999999999,3.153446,8.7006605,5.273273,5.49198975,8.7406765,8.47398390909091
53,no,no,0,-wh_no_gap,He reported,that,,,,,the pirate,could abandon,his comrades,on the sinking ship.,8.582738,10.457133,2.37405,2.37405,,,,,,,2.664666,9.2041535,8.79563,11.4523715,1.690628,5.821747,5.036173,4.6672685000000005,7.162561800000001,7.301071846153846
53,yes,yes,0,+wh_gap,He reported,who,,,,,,could abandon,his comrades,on the sinking ship.,8.582737,10.45716,12.870041,12.870041,,,,,,,,,8.158725,11.5277335,3.013278,7.295255,5.28236,5.188110999999999,7.299802625,8.380252909090908
53,yes,no,0,+wh_no_gap,He reported,who,,,,,the pirate,could abandon,his comrades,on the sinking ship.,8.582738,10.457133,12.869989,12.869989,,,,,,,4.073953,9.3361705,9.528356,13.918661,4.654813,6.5961585,4.835819,4.66810725,7.8374409,8.627589538461539
53,no,yes,1,-wh_gap,He reported,that,the sailor believed,,,,,could abandon,his comrades,on the sinking ship.,8.582732,10.45713,2.374054,2.374054,2.664676,8.899889,,,,,,,15.021545,14.884074,2.324252,6.70172,4.886232,4.0964915,7.4446942499999995,7.8246810714285715
53,no,no,1,-wh_no_gap,He reported,that,the sailor believed,,,,the pirate,could abandon,his comrades,on the sinking ship.,8.582732,10.45713,2.374054,2.374054,2.664676,8.899889,,,,,3.15275,6.553561,7.588828,10.442988,1.808048,6.4290815,4.958538,4.15210675,6.3459688,7.090479312499999
53,yes,yes,1,+wh_gap,He reported,who,the sailor believed,,,,,could abandon,his comrades,on the sinking ship.,8.582732,10.45713,12.869993,12.869993,4.073953,8.69674,,,,,,,8.313302,12.129964000000001,3.405967,6.9786265,4.565635,4.1365415,6.845418375,8.188415714285714
53,yes,no,1,+wh_no_gap,He reported,who,the sailor believed,,,,the pirate,could abandon,his comrades,on the sinking ship.,8.582732,10.45713,12.869993,12.869993,4.073953,8.69674,,,,,6.695465,8.125224,9.479608,14.158755,4.718362,7.4052454999999995,4.470062,4.2747512500000004,7.6477454,8.5219954375
53,no,yes,2,-wh_gap,He reported,that,the sailor believed,the man believed,,,,could abandon,his comrades,on the sinking ship.,8.582732,10.45713,2.374054,2.374054,2.664676,8.899889,3.15275,5.834911666666667,,,,,12.64545,13.75252,2.298902,6.850204,4.893313,4.096330750000001,7.1988463750000005,7.357852176470589
53,no,no,2,-wh_no_gap,He reported,that,the sailor believed,the man believed,,,the pirate,could abandon,his comrades,on the sinking ship.,8.582732,10.45713,2.374054,2.374054,2.664676,8.899889,3.15275,5.834911666666667,,,3.005241,6.471247,7.857267,10.578146499999999,2.111577,6.898866,5.063547,4.18863625,6.465106400000001,6.954935789473685
53,yes,yes,2,+wh_gap,He reported,who,the sailor believed,the man believed,,,,could abandon,his comrades,on the sinking ship.,8.582732,10.45713,12.869993,12.869993,4.073953,8.69674,6.695465,6.4679356666666665,,,,,9.178286,12.766460499999999,2.880612,6.955009500000001,4.550544,4.1202975,6.99051625,7.953082941176471
53,yes,no,2,+wh_no_gap,He reported,who,the sailor believed,the man believed,,,the pirate,could abandon,his comrades,on the sinking ship.,8.582732,10.45713,12.869993,12.869993,4.073953,8.69674,6.695465,6.4679356666666665,,,4.806471,7.4974915,8.706732,13.145423000000001,4.59574,7.919071499999999,4.669649,4.258114,7.4156428000000005,8.075510947368421
53,no,yes,3,-wh_gap,He reported,that,the sailor believed,the man believed,he knew,,,could abandon,his comrades,on the sinking ship.,8.582732,10.45713,2.374054,2.374054,2.664676,8.899889,3.15275,5.834911666666667,2.478671,4.6590964999999995,,,7.663546,10.9983425,2.205765,6.7415389999999995,5.007141,4.124162,6.497051375,6.77828
53,no,no,3,-wh_no_gap,He reported,that,the sailor believed,the man believed,he knew,,the pirate,could abandon,his comrades,on the sinking ship.,8.582732,10.45713,2.374054,2.374054,2.664676,8.899889,3.15275,5.834911666666667,2.478671,4.6590964999999995,4.015225,7.178554500000001,8.354059,10.938825999999999,2.082901,6.706847499999999,5.199812,4.195547,6.6430644,6.821026333333332
53,yes,yes,3,+wh_gap,He reported,who,the sailor believed,the man believed,he knew,,,could abandon,his comrades,on the sinking ship.,8.582732,10.45713,12.869993,12.869993,4.073953,8.69674,6.695465,6.4679356666666665,4.32274,5.1758755,,,10.351674,12.748137499999999,2.663177,6.9296735,4.705105,4.1030282499999995,6.970966874999999,7.652513999999999
53,yes,no,3,+wh_no_gap,He reported,who,the sailor believed,the man believed,he knew,,the pirate,could abandon,his comrades,on the sinking ship.,8.582732,10.45713,12.869993,12.869993,4.073953,8.69674,6.695465,6.4679356666666665,4.32274,5.1758755,7.2475,9.2380165,8.894746,13.033569,4.263076,7.6744595,4.969123,4.207026,7.672019400000001,7.9214392857142855
