Requested backend docker is not compatible with model Official<gpt2 at docker://docker.io/cpllab/language-models:gpt2>; using DockerBackend instead
sentence_id	token_id	token	surprisal
1	1	<|endoftext|>	0.0
1	2	I	5.770367
1	3	Ġknow	5.545733
1	4	Ġwhat	4.510479
1	5	Ġthe	6.346878
1	6	Ġlion	14.863674
1	7	Ġdev	16.210724
1	8	oured	5.626653
1	9	Ġyesterday	7.415281
1	10	<|endoftext|>	13.428521
2	1	<|endoftext|>	0.0
2	2	I	5.770367
2	3	Ġknow	5.545733
2	4	Ġwhat	4.510479
2	5	Ġthe	6.346878
2	6	Ġlion	14.863675
2	7	Ġdev	16.210724
2	8	oured	5.626647
2	9	Ġa	8.190416
2	10	Ġg	11.430709
2	11	az	1.522089
2	12	elle	0.515309
2	13	Ġyesterday	8.002244
2	14	<|endoftext|>	12.899959
3	1	<|endoftext|>	0.0
3	2	I	5.770367
3	3	Ġknow	5.545733
3	4	Ġthat	2.74974
3	5	Ġthe	4.424285
3	6	Ġlion	13.311306
3	7	Ġdev	15.045718
3	8	oured	4.10353
3	9	Ġa	4.174514
3	10	Ġg	10.308731
3	11	az	1.511304
3	12	elle	0.243648
3	13	Ġyesterday	8.877794
3	14	<|endoftext|>	13.685945
4	1	<|endoftext|>	0.0
4	2	I	5.770367
4	3	Ġknow	5.545733
4	4	Ġthat	2.74974
4	5	Ġthe	4.424285
4	6	Ġlion	13.311317
4	7	Ġdev	15.045718
4	8	oured	4.103535
4	9	Ġyesterday	12.554128
4	10	<|endoftext|>	16.102643
