,sentence_start,condition,levels_of_embedding,sentence_id,next_token_POS
0,I know that your friend threw,-wh_no_gap,0,1,PROPN
1,I know that your friend threw,-wh_no_gap,0,1,PRON
2,I know that your friend threw,-wh_no_gap,0,1,ADP
3,I know that your friend threw,-wh_no_gap,0,1,ADP
4,I know that your friend threw,-wh_no_gap,0,1,PRON
5,I know that your friend threw,-wh_no_gap,0,1,PRON
6,I know that your friend threw,-wh_no_gap,0,1,PRON
7,I know that your friend threw,-wh_no_gap,0,1,ADV
8,I know that your friend threw,-wh_no_gap,0,1,ADP
9,I know that your friend threw,-wh_no_gap,0,1,PROPN
10,I know that your friend threw,-wh_no_gap,0,1,ADP
11,I know that your friend threw,-wh_no_gap,0,1,PRON
12,I know that your friend threw,-wh_no_gap,0,1,PRON
13,I know that your friend threw,-wh_no_gap,0,1,NOUN
14,I know that your friend threw,-wh_no_gap,0,1,PRON
15,I know that your friend threw,-wh_no_gap,0,1,PRON
16,I know that your friend threw,-wh_no_gap,0,1,ADV
17,I know that your friend threw,-wh_no_gap,0,1,PRON
18,I know that your friend threw,-wh_no_gap,0,1,PRON
19,I know that your friend threw,-wh_no_gap,0,1,NOUN
20,I know that your friend threw,-wh_no_gap,0,1,PRON
21,I know that your friend threw,-wh_no_gap,0,1,ADP
22,I know that your friend threw,-wh_no_gap,0,1,PRON
23,I know that your friend threw,-wh_no_gap,0,1,PUNCT
24,I know that your friend threw,-wh_no_gap,0,1,PRON
25,I know that your friend threw,-wh_no_gap,0,1,NOUN
26,I know that your friend threw,-wh_no_gap,0,1,PRON
27,I know that your friend threw,-wh_no_gap,0,1,ADP
28,I know that your friend threw,-wh_no_gap,0,1,ADP
29,I know that your friend threw,-wh_no_gap,0,1,PRON
30,I know that your friend threw,-wh_no_gap,0,1,PRON
31,I know that your friend threw,-wh_no_gap,0,1,PRON
32,I know that your friend threw,-wh_no_gap,0,1,NOUN
33,I know that your friend threw,-wh_no_gap,0,1,PRON
34,I know that your friend threw,-wh_no_gap,0,1,PRON
35,I know that your friend threw,-wh_no_gap,0,1,PRON
36,I know that your friend threw,-wh_no_gap,0,1,PRON
37,I know that your friend threw,-wh_no_gap,0,1,NOUN
38,I know that your friend threw,-wh_no_gap,0,1,ADP
39,I know that your friend threw,-wh_no_gap,0,1,PRON
40,I know that your friend threw,-wh_no_gap,0,1,PRON
41,I know that your friend threw,-wh_no_gap,0,1,ADP
42,I know that your friend threw,-wh_no_gap,0,1,ADP
43,I know that your friend threw,-wh_no_gap,0,1,ADP
44,I know that your friend threw,-wh_no_gap,0,1,PRON
45,I know that your friend threw,-wh_no_gap,0,1,ADJ
46,I know that your friend threw,-wh_no_gap,0,1,PRON
47,I know that your friend threw,-wh_no_gap,0,1,ADV
48,I know that your friend threw,-wh_no_gap,0,1,ADP
49,I know that your friend threw,-wh_no_gap,0,1,NOUN
50,I know that your friend threw,-wh_no_gap,0,1,CCONJ
51,I know that your friend threw,-wh_no_gap,0,1,ADP
52,I know that your friend threw,-wh_no_gap,0,1,NOUN
53,I know that your friend threw,-wh_no_gap,0,1,PUNCT
54,I know that your friend threw,-wh_no_gap,0,1,PRON
55,I know that your friend threw,-wh_no_gap,0,1,ADP
56,I know that your friend threw,-wh_no_gap,0,1,PRON
57,I know that your friend threw,-wh_no_gap,0,1,PRON
58,I know that your friend threw,-wh_no_gap,0,1,PRON
59,I know that your friend threw,-wh_no_gap,0,1,ADV
60,I know that your friend threw,-wh_no_gap,0,1,PRON
61,I know that your friend threw,-wh_no_gap,0,1,ADP
