,sentence_start,condition,levels_of_embedding,sentence_id,next_token_POS
0,I know that,-wh_no_gap,0,1,PRON
1,I know that,-wh_no_gap,0,1,SCONJ
2,I know that,-wh_no_gap,0,1,PROPN
3,I know that,-wh_no_gap,0,1,ADJ
4,I know that,-wh_no_gap,0,1,PRON
5,I know that,-wh_no_gap,0,1,PRON
6,I know that,-wh_no_gap,0,1,AUX
7,I know that,-wh_no_gap,0,1,AUX
8,I know that,-wh_no_gap,0,1,PRON
9,I know that,-wh_no_gap,0,1,NOUN
10,I know that,-wh_no_gap,0,1,PRON
11,I know that,-wh_no_gap,0,1,NUM
12,I know that,-wh_no_gap,0,1,PUNCT
13,I know that,-wh_no_gap,0,1,PRON
14,I know that,-wh_no_gap,0,1,PRON
15,I know that,-wh_no_gap,0,1,SCONJ
16,I know that,-wh_no_gap,0,1,PRON
17,I know that,-wh_no_gap,0,1,NOUN
18,I know that,-wh_no_gap,0,1,PRON
19,I know that,-wh_no_gap,0,1,NOUN
20,I know that,-wh_no_gap,0,1,PRON
21,I know that,-wh_no_gap,0,1,ADV
22,I know that,-wh_no_gap,0,1,PRON
23,I know that,-wh_no_gap,0,1,VERB
24,I know that,-wh_no_gap,0,1,NUM
25,I know that,-wh_no_gap,0,1,PRON
26,I know that,-wh_no_gap,0,1,PRON
27,I know that,-wh_no_gap,0,1,PRON
28,I know that,-wh_no_gap,0,1,NOUN
29,I know that,-wh_no_gap,0,1,PRON
30,I know that,-wh_no_gap,0,1,PRON
31,I know that,-wh_no_gap,0,1,VERB
32,I know that,-wh_no_gap,0,1,VERB
33,I know that,-wh_no_gap,0,1,PRON
34,I know that,-wh_no_gap,0,1,PRON
35,I know that,-wh_no_gap,0,1,PRON
36,I know that,-wh_no_gap,0,1,ADJ
37,I know that,-wh_no_gap,0,1,ADV
38,I know that,-wh_no_gap,0,1,SCONJ
39,I know that,-wh_no_gap,0,1,PRON
40,I know that,-wh_no_gap,0,1,ADP
41,I know that,-wh_no_gap,0,1,PROPN
42,I know that,-wh_no_gap,0,1,ADJ
43,I know that,-wh_no_gap,0,1,PRON
44,I know that,-wh_no_gap,0,1,PRON
45,I know that,-wh_no_gap,0,1,PRON
46,I know that,-wh_no_gap,0,1,PROPN
47,I know that,-wh_no_gap,0,1,ADJ
48,I know that,-wh_no_gap,0,1,ADJ
49,I know that,-wh_no_gap,0,1,NOUN
50,I know that,-wh_no_gap,0,1,PRON
51,I know that,-wh_no_gap,0,1,PRON
52,I know that,-wh_no_gap,0,1,PRON
53,I know that,-wh_no_gap,0,1,ADJ
54,I know that,-wh_no_gap,0,1,NUM
55,I know that,-wh_no_gap,0,1,PRON
56,I know that,-wh_no_gap,0,1,PROPN
57,I know that,-wh_no_gap,0,1,PRON
58,I know that,-wh_no_gap,0,1,ADJ
59,I know that,-wh_no_gap,0,1,PRON
60,I know that,-wh_no_gap,0,1,PRON
61,I know that,-wh_no_gap,0,1,PROPN
62,I know that,-wh_no_gap,0,1,PRON
63,I know that,-wh_no_gap,0,1,PROPN
64,I know that,-wh_no_gap,0,1,PRON
65,I know that,-wh_no_gap,0,1,SCONJ
66,I know that,-wh_no_gap,0,1,SCONJ
67,I know that,-wh_no_gap,0,1,VERB
68,I know that,-wh_no_gap,0,1,SCONJ
69,I know that,-wh_no_gap,0,1,PROPN
70,I know that,-wh_no_gap,0,1,PRON
71,I know that,-wh_no_gap,0,1,PRON
72,I know that,-wh_no_gap,0,1,PRON
73,I know that,-wh_no_gap,0,1,NOUN
74,I know that,-wh_no_gap,0,1,SCONJ
75,I know that,-wh_no_gap,0,1,PRON
76,I know that,-wh_no_gap,0,1,NOUN
