sentence_id,token_id,token,surprisal
0,0,<|endoftext|>,0.0
0,1,I,5.770367
0,2,Ġknow,5.545733
0,3,Ġthat,2.74974
0,4,Ġyour,6.902938
0,5,Ġfriend,7.219469
0,6,Ġthrew,12.316039
0,7,Ġinto,8.807188
0,8,Ġthe,1.752751
0,9,Ġtrash,6.749094
0,10,Ġcan,3.301439
0,11,.,4.482284
0,12,<|endoftext|>,9.94659
1,0,<|endoftext|>,0.0
1,1,I,5.770367
1,2,Ġknow,5.545733
1,3,Ġthat,2.749727
1,4,Ġyour,6.902938
1,5,Ġfriend,7.219469
1,6,Ġthrew,12.316045
1,7,Ġthe,3.978974
1,8,Ġplastic,11.313429
1,9,Ġinto,6.671617
1,10,Ġthe,1.218964
1,11,Ġtrash,3.823729
1,12,Ġcan,2.613783
1,13,.,2.574317
1,14,<|endoftext|>,9.9038
2,0,<|endoftext|>,0.0
2,1,I,5.770367
2,2,Ġknow,5.545733
2,3,Ġwhat,4.510479
2,4,Ġyour,5.887208
2,5,Ġfriend,9.75916
2,6,Ġthrew,14.83393
2,7,Ġinto,5.530588
2,8,Ġthe,1.860435
2,9,Ġtrash,4.90201
2,10,Ġcan,1.703058
2,11,.,1.908352
2,12,<|endoftext|>,9.019782
3,0,<|endoftext|>,0.0
3,1,I,5.770367
3,2,Ġknow,5.545733
3,3,Ġwhat,4.510466
3,4,Ġyour,5.887208
3,5,Ġfriend,9.75916
3,6,Ġthrew,14.833954
3,7,Ġthe,6.894532
3,8,Ġplastic,11.92557
3,9,Ġinto,6.651918
3,10,Ġthe,1.749706
3,11,Ġtrash,3.660315
3,12,Ġcan,2.329419
3,13,.,1.700395
3,14,<|endoftext|>,8.796248
4,0,<|endoftext|>,0.0
4,1,I,5.770362
4,2,Ġknow,5.545699
4,3,Ġthat,2.74972
4,4,Ġour,8.916295
4,5,Ġmother,9.931917
4,6,Ġsaid,6.590502
4,7,Ġyour,10.290993
4,8,Ġfriend,9.176866
4,9,Ġthrew,11.575096
4,10,Ġinto,10.788204
4,11,Ġthe,1.2151
4,12,Ġtrash,5.318927
4,13,Ġcan,3.211241
4,14,.,3.461844
4,15,<|endoftext|>,10.52967
5,0,<|endoftext|>,0.0
5,1,I,5.770357
5,2,Ġknow,5.545684
5,3,Ġthat,2.749692
5,4,Ġour,8.916299
5,5,Ġmother,9.931918
5,6,Ġsaid,6.590503
5,7,Ġyour,10.290977
5,8,Ġfriend,9.176875
5,9,Ġthrew,11.575058
5,10,Ġthe,3.464657
5,11,Ġplastic,9.518383
5,12,Ġinto,6.906036
5,13,Ġthe,1.010771
5,14,Ġtrash,4.246688
5,15,Ġcan,2.89976
5,16,.,2.057055
5,17,<|endoftext|>,10.244484
6,0,<|endoftext|>,0.0
6,1,I,5.770362
6,2,Ġknow,5.545699
6,3,Ġwhat,4.510481
6,4,Ġour,12.808653
6,5,Ġmother,9.021479
6,6,Ġsaid,2.517088
6,7,Ġyour,13.992891
6,8,Ġfriend,7.915233
6,9,Ġthrew,12.569459
6,10,Ġinto,8.931998
6,11,Ġthe,1.196426
6,12,Ġtrash,4.586684
6,13,Ġcan,2.966646
6,14,.,2.154284
6,15,<|endoftext|>,8.691178
7,0,<|endoftext|>,0.0
7,1,I,5.770357
7,2,Ġknow,5.545684
7,3,Ġwhat,4.510475
7,4,Ġour,12.808654
7,5,Ġmother,9.021499
7,6,Ġsaid,2.517112
7,7,Ġyour,13.992892
7,8,Ġfriend,7.915233
7,9,Ġthrew,12.569473
7,10,Ġthe,3.377598
7,11,Ġplastic,9.539864
7,12,Ġinto,6.770061
7,13,Ġthe,0.99338
7,14,Ġtrash,3.882716
7,15,Ġcan,2.962774
