sentence_id,token_id,token,surprisal
0,0,<S>,0.0
0,1,I,17.757679
0,2,know,9.554412
0,3,what,3.134954
0,4,the,4.333603
0,5,lion,17.154649
0,6,devoured,19.520144
0,7,yesterday,9.906542
0,8,</S>,14.681394
1,0,<S>,0.0
1,1,I,17.757679
1,2,know,9.554412
1,3,what,3.134954
1,4,the,4.333603
1,5,lion,17.154649
1,6,devoured,19.520144
1,7,a,8.596311
1,8,gazelle,16.172673
1,9,yesterday,10.007428
1,10,</S>,15.114254
2,0,<S>,0.0
2,1,I,17.757679
2,2,know,9.554412
2,3,that,6.375424
2,4,the,5.707442
2,5,lion,16.623813
2,6,devoured,16.688264
2,7,a,4.956087
2,8,gazelle,15.960758
2,9,yesterday,9.249345
2,10,</S>,14.941646
3,0,<S>,0.0
3,1,I,17.757679
3,2,know,9.554412
3,3,that,6.375424
3,4,the,5.707442
3,5,lion,16.623813
3,6,devoured,16.688264
3,7,yesterday,12.115354
3,8,</S>,14.794342
