,sentence_start,condition,levels_of_embedding,sentence_id,next_token_POS
0,I know that your friend threw,-wh_no_gap,0,1,NUM
1,I know that your friend threw,-wh_no_gap,0,1,ADP
2,I know that your friend threw,-wh_no_gap,0,1,PRON
3,I know that your friend threw,-wh_no_gap,0,1,PRON
4,I know that your friend threw,-wh_no_gap,0,1,PRON
5,I know that your friend threw,-wh_no_gap,0,1,PRON
6,I know that your friend threw,-wh_no_gap,0,1,PRON
7,I know that your friend threw,-wh_no_gap,0,1,PRON
8,I know that your friend threw,-wh_no_gap,0,1,PRON
9,I know that your friend threw,-wh_no_gap,0,1,ADV
10,I know that your friend threw,-wh_no_gap,0,1,PUNCT
11,I know that your friend threw,-wh_no_gap,0,1,PRON
12,I know that your friend threw,-wh_no_gap,0,1,NOUN
13,I know that your friend threw,-wh_no_gap,0,1,PRON
14,I know that your friend threw,-wh_no_gap,0,1,PRON
15,I know that your friend threw,-wh_no_gap,0,1,NOUN
16,I know that your friend threw,-wh_no_gap,0,1,ADP
17,I know that your friend threw,-wh_no_gap,0,1,ADP
18,I know that your friend threw,-wh_no_gap,0,1,NOUN
19,I know that your friend threw,-wh_no_gap,0,1,PRON
20,I know that your friend threw,-wh_no_gap,0,1,PRON
21,I know that your friend threw,-wh_no_gap,0,1,PRON
22,I know that your friend threw,-wh_no_gap,0,1,PRON
23,I know that your friend threw,-wh_no_gap,0,1,NOUN
24,I know that your friend threw,-wh_no_gap,0,1,PRON
25,I know that your friend threw,-wh_no_gap,0,1,ADP
26,I know that your friend threw,-wh_no_gap,0,1,PRON
27,I know that your friend threw,-wh_no_gap,0,1,ADP
28,I know that your friend threw,-wh_no_gap,0,1,PRON
29,I know that your friend threw,-wh_no_gap,0,1,ADV
30,I know that your friend threw,-wh_no_gap,0,1,PRON
31,I know that your friend threw,-wh_no_gap,0,1,PRON
32,I know that your friend threw,-wh_no_gap,0,1,ADP
33,I know that your friend threw,-wh_no_gap,0,1,PRON
34,I know that your friend threw,-wh_no_gap,0,1,PRON
35,I know that your friend threw,-wh_no_gap,0,1,PRON
36,I know that your friend threw,-wh_no_gap,0,1,PRON
37,I know that your friend threw,-wh_no_gap,0,1,PRON
38,I know that your friend threw,-wh_no_gap,0,1,PRON
39,I know that your friend threw,-wh_no_gap,0,1,PRON
40,I know that your friend threw,-wh_no_gap,0,1,PRON
41,I know that your friend threw,-wh_no_gap,0,1,PRON
42,I know that your friend threw,-wh_no_gap,0,1,ADV
43,I know that your friend threw,-wh_no_gap,0,1,ADP
44,I know that your friend threw,-wh_no_gap,0,1,NUM
45,I know that your friend threw,-wh_no_gap,0,1,PRON
46,I know that your friend threw,-wh_no_gap,0,1,PRON
47,I know that your friend threw,-wh_no_gap,0,1,PRON
48,I know that your friend threw,-wh_no_gap,0,1,PUNCT
49,I know that your friend threw,-wh_no_gap,0,1,PRON
50,I know that your friend threw,-wh_no_gap,0,1,PRON
51,I know that your friend threw,-wh_no_gap,0,1,PRON
52,I know that your friend threw,-wh_no_gap,0,1,PRON
53,I know that your friend threw,-wh_no_gap,0,1,PRON
54,I know that your friend threw,-wh_no_gap,0,1,PRON
55,I know that your friend threw,-wh_no_gap,0,1,NOUN
56,I know that your friend threw,-wh_no_gap,0,1,NOUN
57,I know that your friend threw,-wh_no_gap,0,1,ADP
58,I know that your friend threw,-wh_no_gap,0,1,ADP
59,I know that your friend threw,-wh_no_gap,0,1,PRON
60,I know that your friend threw,-wh_no_gap,0,1,NOUN
61,I know that your friend threw,-wh_no_gap,0,1,PRON
62,I know that your friend threw,-wh_no_gap,0,1,PRON
63,I know that your friend threw,-wh_no_gap,0,1,X
64,I know that your friend threw,-wh_no_gap,0,1,PRON
65,I know that your friend threw,-wh_no_gap,0,1,PRON
66,I know that your friend threw,-wh_no_gap,0,1,PRON
67,I know that your friend threw,-wh_no_gap,0,1,PRON
68,I know that your friend threw,-wh_no_gap,0,1,NOUN
69,I know that your friend threw,-wh_no_gap,0,1,PRON
70,I know that your friend threw,-wh_no_gap,0,1,ADJ
71,I know that your friend threw,-wh_no_gap,0,1,PRON
72,I know that your friend threw,-wh_no_gap,0,1,PRON
73,I know that your friend threw,-wh_no_gap,0,1,PRON
74,I know that your friend threw,-wh_no_gap,0,1,PRON
