sentence_id	token_id	token	surprisal
1	1	The	0.0
1	2	assistant	19.641615
1	3	knew	15.797457
1	4	who	8.132307
1	5	impressed	12.607956
1	6	the	1.942132
1	7	director	7.295457
1	8	at	6.469527
1	9	the	0.888705
1	10	meeting	9.096894
1	11	.	1.239974
1	12	<eos>	-0.0
2	1	The	0.0
2	2	assistant	19.641615
2	3	knew	15.797457
2	4	who	8.132307
2	5	the	4.022631
2	6	secretary	12.068179
2	7	impressed	15.12189
2	8	the	4.600652
2	9	director	6.437397
2	10	at	6.708155
2	11	the	1.054297
2	12	meeting	9.670674
2	13	.	1.198332
2	14	<eos>	-0.0
3	1	The	0.0
3	2	assistant	19.641615
3	3	knew	15.797457
3	4	that	2.728114
3	5	impressed	18.154541
3	6	the	5.076041
3	7	director	6.703613
3	8	at	7.030659
3	9	the	1.049672
3	10	meeting	9.270875
3	11	.	2.209222
3	12	<eos>	-0.0
4	1	The	0.0
4	2	assistant	19.641615
4	3	knew	15.797457
4	4	that	2.728114
4	5	the	1.719252
4	6	secretary	13.587895
4	7	impressed	15.763869
4	8	the	2.578375
4	9	director	6.313251
4	10	at	6.327034
4	11	the	0.995205
4	12	meeting	7.549859
4	13	.	1.565793
4	14	<eos>	-0.0
5	1	The	0.0
5	2	assistant	19.641615
5	3	knew	15.797457
5	4	who	8.132307
5	5	the	4.022631
5	6	security	11.629489
5	7	guard	5.741409
5	8	said	8.462949
5	9	impressed	19.804655
5	10	the	4.472296
5	11	director	6.193622
5	12	at	6.311594
5	13	the	0.968935
5	14	meeting	8.828954
5	15	.	1.110994
5	16	<eos>	-0.0
6	1	The	0.0
6	2	assistant	19.641615
6	3	knew	15.797457
6	4	who	8.132307
6	5	the	4.022631
6	6	security	11.629489
6	7	guard	5.741409
6	8	said	8.462949
6	9	the	4.754498
6	10	secretary	12.499672
6	11	impressed	15.522835
6	12	the	3.293344
6	13	director	6.332426
6	14	at	6.516068
6	15	the	1.039037
6	16	meeting	7.606596
