sentence_id,token_id,token,surprisal
0,0,The,0.0
0,1,assistant,19.641615
0,2,knew,15.797457
0,3,who,8.132307
0,4,the,4.022631
0,5,secretary,12.068179
0,6,impressed,15.12189
0,7,at,5.337453
0,8,the,1.09403
0,9,meeting,6.164015
0,10,.,1.321321
0,11,<eos>,-0.0
1,0,The,0.0
1,1,assistant,19.641615
1,2,knew,15.797457
1,3,who,8.132307
1,4,the,4.022631
1,5,secretary,12.068179
1,6,impressed,15.12189
1,7,the,4.600652
1,8,director,6.437397
1,9,at,6.708155
1,10,the,1.054297
1,11,meeting,9.670674
1,12,.,1.198332
1,13,<eos>,-0.0
2,0,The,0.0
2,1,assistant,19.641615
2,2,knew,15.797457
2,3,that,2.728114
2,4,the,1.719252
2,5,secretary,13.587895
2,6,impressed,15.763869
2,7,at,6.447496
2,8,the,0.806267
2,9,meeting,5.900657
2,10,.,2.226753
2,11,<eos>,-0.0
3,0,The,0.0
3,1,assistant,19.641615
3,2,knew,15.797457
3,3,that,2.728114
3,4,the,1.719252
3,5,secretary,13.587895
3,6,impressed,15.763869
3,7,the,2.578375
3,8,director,6.313251
3,9,at,6.327034
3,10,the,0.995205
3,11,meeting,7.549859
3,12,.,1.565793
3,13,<eos>,-0.0
4,0,The,0.0
4,1,assistant,19.641615
4,2,knew,15.797457
4,3,who,8.132307
4,4,the,4.022631
4,5,security,11.629489
4,6,guard,5.741409
4,7,said,8.462949
4,8,the,4.754498
4,9,secretary,12.499672
4,10,impressed,15.522835
4,11,at,6.341971
4,12,the,0.763413
4,13,meeting,5.889518
4,14,.,1.125455
4,15,<eos>,-0.0
5,0,The,0.0
5,1,assistant,19.641615
5,2,knew,15.797457
5,3,who,8.132307
5,4,the,4.022631
5,5,security,11.629489
5,6,guard,5.741409
5,7,said,8.462949
5,8,the,4.754498
5,9,secretary,12.499672
5,10,impressed,15.522835
5,11,the,3.293344
5,12,director,6.332426
5,13,at,6.516068
5,14,the,1.039037
5,15,meeting,7.606596
5,16,.,1.129052
5,17,<eos>,-0.0
6,0,The,0.0
6,1,assistant,19.641615
6,2,knew,15.797457
6,3,that,2.728114
6,4,the,1.719252
6,5,security,11.404789
6,6,guard,6.464586
6,7,said,9.157346
6,8,the,2.883517
6,9,secretary,12.999442
6,10,impressed,16.072693
6,11,at,6.952478
6,12,the,0.767481
6,13,meeting,5.560268
6,14,.,1.598629
6,15,<eos>,-0.0
7,0,The,0.0
7,1,assistant,19.641615
7,2,knew,15.797457
7,3,that,2.728114
7,4,the,1.719252
7,5,security,11.404789
7,6,guard,6.464586
7,7,said,9.157346
7,8,the,2.883517
7,9,secretary,12.999442
7,10,impressed,16.072693
7,11,the,2.544067
7,12,director,6.139357
7,13,at,6.459447
7,14,the,1.009543
7,15,meeting,7.139863
7,16,.,1.391995
7,17,<eos>,-0.0
8,0,The,0.0
8,1,assistant,19.641615
8,2,knew,15.797457
8,3,who,8.132307
8,4,the,4.022631
8,5,security,11.629489
8,6,guard,5.741409
8,7,said,8.462949
8,8,his,7.722405
8,9,manager,10.521006
8,10,believed,9.017894
8,11,the,2.897134
8,12,secretary,14.144478
8,13,impressed,15.87401
8,14,at,7.237423
8,15,the,0.934299
8,16,meeting,6.030597
8,17,.,1.098848
8,18,<eos>,-0.0
9,0,The,0.0
9,1,assistant,19.641615
9,2,knew,15.797457
9,3,who,8.132307
9,4,the,4.022631
9,5,security,11.629489
9,6,guard,5.741409
9,7,said,8.462949
9,8,his,7.722405
9,9,manager,10.521006
9,10,believed,9.017894
9,11,the,2.897134
9,12,secretary,14.144478
9,13,impressed,15.87401
9,14,the,3.050332
9,15,director,5.624099
9,16,at,6.48027
9,17,the,1.09355
9,18,meeting,7.541344
9,19,.,1.072472
9,20,<eos>,-0.0
10,0,The,0.0
10,1,assistant,19.641615
10,2,knew,15.797457
10,3,that,2.728114
10,4,the,1.719252
10,5,security,11.404789
10,6,guard,6.464586
10,7,said,9.157346
10,8,his,5.916121
10,9,manager,10.421913
10,10,believed,8.788723
10,11,the,2.962441
10,12,secretary,14.039936
10,13,impressed,16.07902
10,14,at,7.033169
10,15,the,0.941372
10,16,meeting,5.793011
10,17,.,1.428085
10,18,<eos>,-0.0
11,0,The,0.0
11,1,assistant,19.641615
11,2,knew,15.797457
11,3,that,2.728114
11,4,the,1.719252
11,5,security,11.404789
11,6,guard,6.464586
11,7,said,9.157346
11,8,his,5.916121
11,9,manager,10.421913
11,10,believed,8.788723
11,11,the,2.962441
11,12,secretary,14.039936
11,13,impressed,16.07902
11,14,the,2.847639
11,15,director,5.727151
11,16,at,6.428124
11,17,the,1.104901
11,18,meeting,7.284524
11,19,.,1.249532
11,20,<eos>,-0.0
12,0,The,0.0
12,1,assistant,19.641615
12,2,knew,15.797457
12,3,who,8.132307
12,4,the,4.022631
12,5,security,11.629489
12,6,guard,5.741409
12,7,said,8.462949
12,8,his,7.722405
12,9,manager,10.521006
12,10,believed,9.017894
12,11,the,2.897134
12,12,junior,14.415289
12,13,associate,15.4119
12,14,claimed,13.14212
12,15,the,4.10011
12,16,secretary,12.9998
12,17,impressed,17.434898
12,18,at,6.837619
12,19,the,0.875781
12,20,meeting,6.174657
12,21,.,1.167382
12,22,<eos>,-0.0
13,0,The,0.0
13,1,assistant,19.641615
13,2,knew,15.797457
13,3,who,8.132307
13,4,the,4.022631
13,5,security,11.629489
13,6,guard,5.741409
13,7,said,8.462949
13,8,his,7.722405
13,9,manager,10.521006
13,10,believed,9.017894
13,11,the,2.897134
13,12,junior,14.415289
13,13,associate,15.4119
13,14,claimed,13.14212
13,15,the,4.10011
13,16,secretary,12.9998
13,17,impressed,17.434898
13,18,the,3.321584
13,19,director,5.547514
13,20,at,6.187009
13,21,the,1.022983
13,22,meeting,7.50282
13,23,.,1.14622
13,24,<eos>,-0.0
14,0,The,0.0
14,1,assistant,19.641615
14,2,knew,15.797457
14,3,that,2.728114
14,4,the,1.719252
14,5,security,11.404789
14,6,guard,6.464586
14,7,said,9.157346
14,8,his,5.916121
14,9,manager,10.421913
14,10,believed,8.788723
14,11,the,2.962441
14,12,junior,14.918139
14,13,associate,15.303257
14,14,claimed,13.183841
14,15,the,4.102692
14,16,secretary,12.948157
14,17,impressed,17.33762
14,18,at,6.916268
14,19,the,0.862848
14,20,meeting,5.823844
14,21,.,1.303663
14,22,<eos>,-0.0
15,0,The,0.0
15,1,assistant,19.641615
15,2,knew,15.797457
15,3,that,2.728114
15,4,the,1.719252
15,5,security,11.404789
15,6,guard,6.464586
15,7,said,9.157346
15,8,his,5.916121
15,9,manager,10.421913
