sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,embedding_4,subject,verb,object,continuation,main_clause_surprisal,main_clause_surprisal_mean,complementiser_surprisal,complementiser_surprisal_mean,embedding_1_surprisal,embedding_1_surprisal_mean,embedding_2_surprisal,embedding_2_surprisal_mean,embedding_3_surprisal,embedding_3_surprisal_mean,embedding_4_surprisal,embedding_4_surprisal_mean,subject_surprisal,subject_surprisal_mean,verb_surprisal,verb_surprisal_mean,object_surprisal,object_surprisal_mean,continuation_surprisal,continuation_surprisal_mean,semi_local_surprisal_mean,global_surprisal_mean,local_surprisal,local_surprisal_mean,main_clause_frequency,main_clause_frequency_mean,complementiser_frequency,complementiser_frequency_mean,embedding_1_frequency,embedding_1_frequency_mean,embedding_2_frequency,embedding_2_frequency_mean,embedding_3_frequency,embedding_3_frequency_mean,embedding_4_frequency,embedding_4_frequency_mean,subject_frequency,subject_frequency_mean,verb_frequency,verb_frequency_mean,object_frequency,object_frequency_mean,continuation_frequency,continuation_frequency_mean,local_frequency,local_frequency_mean
1,no,yes,0,-wh_gap,I know,that,,,,,your friend,threw,,into the trash can.,5.770367,5.65805,2.74974,2.74974,,,,,,,,,6.902938,7.0612035,12.316039,12.316039,,,8.807188,5.152618,5.152618,6.1114758,8.807188,5.152618,0.0123,0.00114,0.0102,0.0102,,,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,,,0.00129,2.55e-05,0.00129,2.55e-05
1,no,no,0,-wh_no_gap,I know,that,,,,,your friend,threw,the plastic,into the trash can.,5.770367,5.65805,2.749727,2.749727,,,,,,,,,6.902938,7.0612035,12.316045,12.316045,3.978974,7.6462015,6.671617,3.58202325,4.936749333333334,5.843731249999999,3.978974,7.6462015,0.0123,0.00114,0.0102,0.0102,,,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.0537,3.23e-05
1,yes,yes,0,+wh_gap,I know,what,,,,,your friend,threw,,into the trash can.,5.770367,5.65805,4.510479,4.510479,,,,,,,,,5.887208,7.823183999999999,14.83393,14.83393,,,5.530588,3.49902275,3.49902275,6.0302968,5.530588,3.49902275,0.0123,0.00114,0.0024,0.0024,,,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,,,0.00129,2.55e-05,0.00129,2.55e-05
1,yes,no,0,+wh_no_gap,I know,what,,,,,your friend,threw,the plastic,into the trash can.,5.770367,5.65805,4.510466,4.510466,,,,,,,,,5.887208,7.823183999999999,14.833954,14.833954,6.894532,9.410051,6.651918,3.5978395,5.535243333333334,6.626529000000001,6.894532,9.410051,0.0123,0.00114,0.0024,0.0024,,,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.0537,3.23e-05
1,no,yes,1,-wh_gap,I know,that,our mother said,,,,your friend,threw,,into the trash can.,5.770362,5.658030500000001,2.74972,2.74972,8.916295,8.479571333333334,,,,,,,10.290993,9.7339295,11.575096,11.575096,,,10.788204,5.133368000000001,5.133368000000001,7.00622476923077,10.788204,5.133368000000001,0.0123,0.00114,0.0102,0.0102,0.00138,0.000134,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,,,0.00129,2.55e-05,0.00129,2.55e-05
1,no,no,1,-wh_no_gap,I know,that,our mother said,,,,your friend,threw,the plastic,into the trash can.,5.770357,5.658020499999999,2.749692,2.749692,8.916299,8.479573333333333,,,,,,,10.290977,9.733926,11.575058,11.575058,3.464657,6.49152,6.906036,3.76581375,4.6743825,6.572910533333334,3.464657,6.49152,0.0123,0.00114,0.0102,0.0102,0.00138,0.000134,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.0537,3.23e-05
1,yes,yes,1,+wh_gap,I know,what,our mother said,,,,your friend,threw,,into the trash can.,5.770362,5.658030500000001,4.510481,4.510481,12.808653,8.11574,,,,,,,13.992891,10.954062,12.569459,12.569459,,,8.931998,4.4204385,4.4204385,7.102546076923076,8.931998,4.4204385,0.0123,0.00114,0.0024,0.0024,0.00138,0.000134,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,,,0.00129,2.55e-05,0.00129,2.55e-05
1,yes,no,1,+wh_no_gap,I know,what,our mother said,,,,your friend,threw,the plastic,into the trash can.,5.770357,5.658020499999999,4.510475,4.510475,12.808654,8.115755000000002,,,,,,,13.992892,10.9540625,12.569473,12.569473,3.377598,6.458731,6.770061,3.65223275,4.587732166666666,6.811851466666667,3.377598,6.458731,0.0123,0.00114,0.0024,0.0024,0.00138,0.000134,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.0537,3.23e-05
1,no,yes,2,-wh_gap,I know,that,our mother said,her friend remarked,,,your friend,threw,,into the trash can.,5.770357,5.658020499999999,2.749692,2.749692,8.916299,8.479573333333333,7.331433,10.802526333333333,,,,,12.03681,8.490998,12.127652,12.127652,,,10.531254,5.28758475,5.28758475,7.635751187499999,10.531254,5.28758475,0.0123,0.00114,0.0102,0.0102,0.00138,0.000134,0.002,3.82e-06,,,,,0.00339,0.000219,2.88e-05,2.88e-05,,,0.00129,2.55e-05,0.00129,2.55e-05
1,no,no,2,-wh_no_gap,I know,that,our mother said,her friend remarked,,,your friend,threw,the plastic,into the trash can.,5.770357,5.658020499999999,2.749692,2.749692,8.916299,8.479573333333333,7.331433,10.802526333333333,,,,,12.03681,8.490998,12.127652,12.127652,3.281126,6.2789215,7.27692,3.90289975,4.694907,7.177284555555556,3.281126,6.2789215,0.0123,0.00114,0.0102,0.0102,0.00138,0.000134,0.002,3.82e-06,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.0537,3.23e-05
