sentence_id,token_id,token,surprisal
0,0,<|endoftext|>,0.0
0,1,The,4.729313
0,2,Ġassistant,14.661116
0,3,Ġknew,16.348918
0,4,Ġwho,6.747474
0,5,Ġthe,3.798539
0,6,Ġsecretary,10.22481
0,7,Ġintroduced,17.901278
0,8,Ġto,1.873882
0,9,Ġher,2.4049
0,10,Ġfriend,9.310272
0,11,.,2.521903
0,12,<|endoftext|>,8.747615
1,0,<|endoftext|>,0.0
1,1,The,4.729313
1,2,Ġassistant,14.661116
1,3,Ġknew,16.348932
1,4,Ġwho,6.747474
1,5,Ġthe,3.798539
1,6,Ġsecretary,10.224807
1,7,Ġintroduced,17.901288
1,8,Ġher,4.295585
1,9,Ġpartner,12.294804
1,10,Ġto,1.395767
1,11,Ġher,7.330529
1,12,Ġfriend,7.556306
1,13,.,2.335434
1,14,<|endoftext|>,8.562344
2,0,<|endoftext|>,0.0
2,1,The,4.729313
2,2,Ġassistant,14.661116
2,3,Ġknew,16.348918
2,4,Ġthat,3.218776
2,5,Ġthe,3.439892
2,6,Ġsecretary,11.326484
2,7,Ġintroduced,16.708807
2,8,Ġto,7.745109
2,9,Ġher,2.395998
2,10,Ġfriend,9.470826
2,11,.,6.329623
2,12,<|endoftext|>,8.638402
3,0,<|endoftext|>,0.0
3,1,The,4.729313
3,2,Ġassistant,14.661116
3,3,Ġknew,16.348932
3,4,Ġthat,3.218776
3,5,Ġthe,3.439892
3,6,Ġsecretary,11.326484
3,7,Ġintroduced,16.708811
3,8,Ġher,2.850313
3,9,Ġpartner,9.693775
3,10,Ġto,1.891158
3,11,Ġher,3.712069
3,12,Ġfriend,6.664204
3,13,.,3.037363
3,14,<|endoftext|>,9.213401
4,0,<|endoftext|>,0.0
4,1,The,4.729281
4,2,Ġassistant,14.661097
4,3,Ġknew,16.348909
4,4,Ġwho,6.747629
4,5,Ġthe,3.798587
4,6,Ġsecurity,11.535352
4,7,Ġguard,1.861078
4,8,Ġsaid,10.122579
4,9,Ġthe,5.823729
4,10,Ġsecretary,11.199588
4,11,Ġintroduced,15.560383
4,12,Ġto,1.430659
4,13,Ġher,2.469178
4,14,Ġfriend,10.166767
4,15,.,1.787542
4,16,<|endoftext|>,7.864218
5,0,<|endoftext|>,0.0
5,1,The,4.729281
5,2,Ġassistant,14.661097
5,3,Ġknew,16.348909
5,4,Ġwho,6.747629
5,5,Ġthe,3.798587
5,6,Ġsecurity,11.535352
5,7,Ġguard,1.861078
5,8,Ġsaid,10.122579
5,9,Ġthe,5.823729
5,10,Ġsecretary,11.199588
5,11,Ġintroduced,15.560383
5,12,Ġher,4.185199
5,13,Ġpartner,14.330941
5,14,Ġto,1.493732
5,15,Ġher,7.005361
5,16,Ġfriend,7.522891
5,17,.,1.839303
5,18,<|endoftext|>,7.782831
6,0,<|endoftext|>,0.0
6,1,The,4.729281
6,2,Ġassistant,14.661097
6,3,Ġknew,16.348909
6,4,Ġthat,3.218776
6,5,Ġthe,3.439831
6,6,Ġsecurity,10.229972
6,7,Ġguard,3.180852
6,8,Ġsaid,8.914582
6,9,Ġthe,3.803254
6,10,Ġsecretary,11.037679
6,11,Ġintroduced,15.409303
6,12,Ġto,8.221761
6,13,Ġher,2.559441
6,14,Ġfriend,9.804387
6,15,.,5.79874
6,16,<|endoftext|>,8.163122
7,0,<|endoftext|>,0.0
7,1,The,4.729281
7,2,Ġassistant,14.661097
7,3,Ġknew,16.348909
7,4,Ġthat,3.218776
7,5,Ġthe,3.439831
7,6,Ġsecurity,10.229972
7,7,Ġguard,3.180852
7,8,Ġsaid,8.914582
7,9,Ġthe,3.803254
7,10,Ġsecretary,11.037679
7,11,Ġintroduced,15.409303
7,12,Ġher,2.878279
7,13,Ġpartner,11.483413
7,14,Ġto,1.600936
7,15,Ġher,3.919469
7,16,Ġfriend,6.681886
7,17,.,2.34346
7,18,<|endoftext|>,8.284134
8,0,<|endoftext|>,0.0
8,1,The,4.729281
8,2,Ġassistant,14.661097
8,3,Ġknew,16.348909
8,4,Ġwho,6.747629
8,5,Ġthe,3.798587
8,6,Ġsecurity,11.535352
8,7,Ġguard,1.861078
8,8,Ġsaid,10.122579
8,9,Ġhis,7.988609
8,10,Ġmanager,10.784096
8,11,Ġbelieved,8.433873
8,12,Ġthe,7.776745
8,13,Ġsecretary,11.807971
8,14,Ġintroduced,15.818978
8,15,Ġto,1.655827
8,16,Ġher,3.128826
8,17,Ġfriend,10.125994
8,18,.,2.019984
8,19,<|endoftext|>,7.1479
9,0,<|endoftext|>,0.0
9,1,The,4.729281
9,2,Ġassistant,14.661097
9,3,Ġknew,16.348909
9,4,Ġwho,6.747629
9,5,Ġthe,3.798587
9,6,Ġsecurity,11.535352
9,7,Ġguard,1.861078
9,8,Ġsaid,10.122579
9,9,Ġhis,7.988609
9,10,Ġmanager,10.784096
9,11,Ġbelieved,8.433873
9,12,Ġthe,7.776745
9,13,Ġsecretary,11.807971
9,14,Ġintroduced,15.818978
9,15,Ġher,4.197791
9,16,Ġpartner,12.821353
9,17,Ġto,1.135877
9,18,Ġher,5.117599
