sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,embedding_4,subject,verb,object,continuation,main_clause_surprisal,main_clause_surprisal_mean,complementiser_surprisal,complementiser_surprisal_mean,embedding_1_surprisal,embedding_1_surprisal_mean,embedding_2_surprisal,embedding_2_surprisal_mean,embedding_3_surprisal,embedding_3_surprisal_mean,embedding_4_surprisal,embedding_4_surprisal_mean,subject_surprisal,subject_surprisal_mean,verb_surprisal,verb_surprisal_mean,object_surprisal,object_surprisal_mean,continuation_surprisal,continuation_surprisal_mean,semi_local_surprisal_mean,global_surprisal_mean,local_surprisal,local_surprisal_mean,main_clause_frequency,main_clause_frequency_mean,complementiser_frequency,complementiser_frequency_mean,embedding_1_frequency,embedding_1_frequency_mean,embedding_2_frequency,embedding_2_frequency_mean,embedding_3_frequency,embedding_3_frequency_mean,embedding_4_frequency,embedding_4_frequency_mean,subject_frequency,subject_frequency_mean,verb_frequency,verb_frequency_mean,object_frequency,object_frequency_mean,continuation_frequency,continuation_frequency_mean,local_frequency,local_frequency_mean
1,no,yes,0,-wh_gap,I know,that,,,,,your friend,threw,,into the trash can.,0.0,3.139138,2.352433,2.352433,,,,,,,,,9.241128,8.577377,13.686808,13.686808,,,7.438748,6.74474225,6.74474225,6.645124,7.438748,6.74474225,0.0123,0.00114,0.0102,0.0102,,,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,,,0.00129,2.55e-05,0.00129,2.55e-05
1,no,no,0,-wh_no_gap,I know,that,,,,,your friend,threw,the plastic,into the trash can.,0.0,3.139138,2.352433,2.352433,,,,,,,,,9.241128,8.577377,13.686808,13.686808,2.886432,7.135818,4.947669,6.1535530000000005,6.480974666666667,6.52984325,2.886432,7.135818,0.0123,0.00114,0.0102,0.0102,,,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.0537,3.23e-05
1,yes,yes,0,+wh_gap,I know,what,,,,,your friend,threw,,into the trash can.,0.0,3.139138,4.561374,4.561374,,,,,,,,,9.354386,8.348014,13.763621,13.763621,,,6.34998,6.408791750000001,6.408791750000001,6.6934466,6.34998,6.408791750000001,0.0123,0.00114,0.0024,0.0024,,,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,,,0.00129,2.55e-05,0.00129,2.55e-05
1,yes,no,0,+wh_no_gap,I know,what,,,,,your friend,threw,the plastic,into the trash can.,0.0,3.139138,4.561374,4.561374,,,,,,,,,9.354386,8.348014,13.763621,13.763621,3.619183,7.998699,6.396659,6.193421,6.795180333333334,6.839198416666666,3.619183,7.998699,0.0123,0.00114,0.0024,0.0024,,,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.0537,3.23e-05
1,no,yes,1,-wh_gap,I know,that,our mother said,,,,your friend,threw,,into the trash can.,0.0,3.139138,2.352433,2.352433,8.541259,8.674515666666666,,,,,,,12.143874,9.5482265,12.653158,12.653158,,,8.024834,7.106405500000001,7.106405500000001,7.294576076923077,8.024834,7.106405500000001,0.0123,0.00114,0.0102,0.0102,0.00138,0.000134,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,,,0.00129,2.55e-05,0.00129,2.55e-05
1,no,no,1,-wh_no_gap,I know,that,our mother said,,,,your friend,threw,the plastic,into the trash can.,0.0,3.139138,2.352433,2.352433,8.541259,8.674515666666666,,,,,,,12.143874,9.5482265,12.653158,12.653158,3.318855,7.389321000000001,5.283202,6.3745835,6.712829333333334,7.112056200000001,3.318855,7.389321000000001,0.0123,0.00114,0.0102,0.0102,0.00138,0.000134,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.0537,3.23e-05
1,yes,yes,1,+wh_gap,I know,what,our mother said,,,,your friend,threw,,into the trash can.,0.0,3.139138,4.561374,4.561374,9.632398,7.743895999999999,,,,,,,13.527543,10.280771,12.346433,12.346433,,,5.82832,6.391793249999999,6.391793249999999,7.118960461538463,5.82832,6.391793249999999,0.0123,0.00114,0.0024,0.0024,0.00138,0.000134,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,,,0.00129,2.55e-05,0.00129,2.55e-05
1,yes,no,1,+wh_no_gap,I know,what,our mother said,,,,your friend,threw,the plastic,into the trash can.,0.0,3.139138,4.561374,4.561374,9.632398,7.743895999999999,,,,,,,13.527543,10.280771,12.346433,12.346433,3.844788,7.7635795,5.484532,6.162053,6.695895166666666,7.1436456,3.844788,7.7635795,0.0123,0.00114,0.0024,0.0024,0.00138,0.000134,,,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.0537,3.23e-05
1,no,yes,2,-wh_gap,I know,that,our mother said,her friend remarked,,,your friend,threw,,into the trash can.,0.0,3.139138,2.352433,2.352433,8.541259,8.674515666666666,7.237803,9.628442333333334,,,,,16.045568,11.76071,12.494452,12.494452,,,8.229052,7.2587885,7.2587885,8.0369130625,8.229052,7.2587885,0.0123,0.00114,0.0102,0.0102,0.00138,0.000134,0.002,3.82e-06,,,,,0.00339,0.000219,2.88e-05,2.88e-05,,,0.00129,2.55e-05,0.00129,2.55e-05
1,no,no,2,-wh_no_gap,I know,that,our mother said,her friend remarked,,,your friend,threw,the plastic,into the trash can.,0.0,3.139138,2.352433,2.352433,8.541259,8.674515666666666,7.237803,9.628442333333334,,,,,16.045568,11.76071,12.494452,12.494452,3.600312,7.466377,5.189511,6.36015125,6.728893166666668,7.773822999999999,3.600312,7.466377,0.0123,0.00114,0.0102,0.0102,0.00138,0.000134,0.002,3.82e-06,,,,,0.00339,0.000219,2.88e-05,2.88e-05,0.0537,3.23e-05,0.00129,2.55e-05,0.0537,3.23e-05
