sentence_group,gap,filler,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,subject,verb,object,continuation,complementiser_surprisal,object_surprisal,subject_surprisal,continuation_surprisal
1,yes,no,0,gap_no_filler,The assistant knew,who,,,,the secretary,introduced,,to her friend.,8.132307,,4.022631,2.59475
1,yes,yes,0,gap_filler,The assistant knew,who,,,,the secretary,introduced,her partner,to her friend.,8.132307,8.545922,4.022631,2.101699
1,no,no,0,no_gap_no_filler,The assistant knew,that,,,,the secretary,introduced,,to her friend.,2.728114,,1.719252,6.753639
1,no,yes,0,no_gap_filler,The assistant knew,that,,,,the secretary,introduced,her partner,to her friend.,2.728114,5.73611,1.719252,1.704777
1,yes,no,1,gap_no_filler,The assistant knew,who,the security guard said,,,the secretary,introduced,,to her friend.,8.132307,,4.754498,5.356333
1,yes,yes,1,gap_filler,The assistant knew,who,the security guard said,,,the secretary,introduced,her partner,to her friend.,8.132307,6.958785,4.754498,1.845088
1,no,no,1,no_gap_no_filler,The assistant knew,that,the security guard said,,,the secretary,introduced,,to her friend.,2.728114,,2.883517,6.9588
1,no,yes,1,no_gap_filler,The assistant knew,that,the security guard said,,,the secretary,introduced,her partner,to her friend.,2.728114,6.666223,2.883517,1.873419
1,yes,no,2,gap_no_filler,The assistant knew,who,the security guard said,his manager believed,,the secretary,introduced,,to her friend.,8.132307,,2.897134,7.134691
1,yes,yes,2,gap_filler,The assistant knew,who,the security guard said,his manager believed,,the secretary,introduced,her partner,to her friend.,8.132307,7.679334,2.897134,1.919274
1,no,no,2,no_gap_no_filler,The assistant knew,that,the security guard said,his manager believed,,the secretary,introduced,,to her friend.,2.728114,,2.962441,6.86627
1,no,yes,2,no_gap_filler,The assistant knew,that,the security guard said,his manager believed,,the secretary,introduced,her partner,to her friend.,2.728114,7.336838,2.962441,1.90603
1,yes,no,3,gap_no_filler,The assistant knew,who,the security guard said,his manager believed,the junior associate claimed,the secretary,introduced,,to her friend.,8.132307,,4.10011,7.755556
1,yes,yes,3,gap_filler,The assistant knew,who,the security guard said,his manager believed,the junior associate claimed,the secretary,introduced,her partner,to her friend.,8.132307,7.301968,4.10011,2.009572
1,no,no,3,no_gap_no_filler,The assistant knew,that,the security guard said,his manager believed,the junior associate claimed,the secretary,introduced,,to her friend.,2.728114,,4.102692,7.690771
1,no,yes,3,no_gap_filler,The assistant knew,that,the security guard said,his manager believed,the junior associate claimed,the secretary,introduced,her partner,to her friend.,2.728114,7.149951,4.102692,2.036815
2,yes,no,0,gap_no_filler,The teacher reported,who,,,,the student,hit,,in art class.,11.682447,,6.521985,4.141243
2,yes,yes,0,gap_filler,The teacher reported,who,,,,the student,hit,her classmate,in art class.,11.682447,6.304439,6.521985,4.075709
2,no,no,0,no_gap_no_filler,The teacher reported,that,,,,the student,hit,,in art class.,1.091628,,2.056474,6.91443
2,no,yes,0,no_gap_filler,The teacher reported,that,,,,the student,hit,her classmate,in art class.,1.091628,5.855477,2.056474,4.709927
2,yes,no,1,gap_no_filler,The teacher reported,who,the other children claimed,,,the student,hit,,in art class.,11.682447,,6.385728,3.604985
2,yes,yes,1,gap_filler,The teacher reported,who,the other children claimed,,,the student,hit,her classmate,in art class.,11.682447,8.444296,6.385728,4.515424
2,no,no,1,no_gap_no_filler,The teacher reported,that,the other children claimed,,,the student,hit,,in art class.,1.091628,,3.930511,6.207874
2,no,yes,1,no_gap_filler,The teacher reported,that,the other children claimed,,,the student,hit,her classmate,in art class.,1.091628,5.504672,3.930511,5.132346
2,yes,no,2,gap_no_filler,The teacher reported,who,the other children claimed,their friends claimed,,the student,hit,,in art class.,11.682447,,6.728764,3.619822
2,yes,yes,2,gap_filler,The teacher reported,who,the other children claimed,their friends claimed,,the student,hit,her classmate,in art class.,11.682447,9.661848,6.728764,4.637275
2,no,no,2,no_gap_no_filler,The teacher reported,that,the other children claimed,their friends claimed,,the student,hit,,in art class.,1.091628,,3.162085,6.435966
2,no,yes,2,no_gap_filler,The teacher reported,that,the other children claimed,their friends claimed,,the student,hit,her classmate,in art class.,1.091628,5.71022,3.162085,5.287512
2,yes,no,3,gap_no_filler,The teacher reported,who,the other children claimed,their friends claimed,the teaching assistant stated,the student,hit,,in art class.,11.682447,,7.47245,3.597852
2,yes,yes,3,gap_filler,The teacher reported,who,the other children claimed,their friends claimed,the teaching assistant stated,the student,hit,her classmate,in art class.,11.682447,7.607402,7.47245,4.41923
2,no,no,3,no_gap_no_filler,The teacher reported,that,the other children claimed,their friends claimed,the teaching assistant stated,the student,hit,,in art class.,1.091628,,4.429604,6.317729
2,no,yes,3,no_gap_filler,The teacher reported,that,the other children claimed,their friends claimed,the teaching assistant stated,the student,hit,her classmate,in art class.,1.091628,5.277663,4.429604,5.184889
3,yes,no,0,gap_no_filler,I know,what,,,,the burglar,stole,,the other night.,4.561374,,3.557633,5.772654
3,yes,yes,0,gap_filler,I know,what,,,,the burglar,stole,the jewels,the other night.,4.561374,5.772654,3.557633,9.346796
3,no,no,0,no_gap_no_filler,I know,that,,,,the burglar,stole,,the other night.,2.352433,,2.35511,1.604144
3,no,yes,0,no_gap_filler,I know,that,,,,the burglar,stole,the jewels,the other night.,2.352433,1.604144,2.35511,10.681166
3,yes,no,1,gap_no_filler,I know,what,my mother thinks,,,the burglar,stole,,the other night.,4.561374,,6.211039,5.540863
3,yes,yes,1,gap_filler,I know,what,my mother thinks,,,the burglar,stole,the jewels,the other night.,4.561374,5.540863,6.211039,9.032211
