sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,embedding_4,subject,verb,object,continuation
1,no,yes,0,-wh_gap,I know,that,,,,,,threw,the plastic,into the trash can.
1,no,no,0,-wh_no_gap,I know,that,,,,,your friend,threw,the plastic,into the trash can.
1,yes,yes,0,+wh_gap,I know,who,,,,,,threw,the plastic,into the trash can.
1,yes,no,0,+wh_no_gap,I know,who,,,,,your friend,threw,the plastic,into the trash can.
1,no,yes,1,-wh_gap,I know,that,our mother said,,,,,threw,the plastic,into the trash can.
1,no,no,1,-wh_no_gap,I know,that,our mother said,,,,your friend,threw,the plastic,into the trash can.
1,yes,yes,1,+wh_gap,I know,who,our mother said,,,,,threw,the plastic,into the trash can.
1,yes,no,1,+wh_no_gap,I know,who,our mother said,,,,your friend,threw,the plastic,into the trash can.
1,no,yes,2,-wh_gap,I know,that,our mother said,her friend remarked,,,,threw,the plastic,into the trash can.
1,no,no,2,-wh_no_gap,I know,that,our mother said,her friend remarked,,,your friend,threw,the plastic,into the trash can.
1,yes,yes,2,+wh_gap,I know,who,our mother said,her friend remarked,,,,threw,the plastic,into the trash can.
1,yes,no,2,+wh_no_gap,I know,who,our mother said,her friend remarked,,,your friend,threw,the plastic,into the trash can.
1,no,yes,3,-wh_gap,I know,that,our mother said,her friend remarked,the park attendant reported,,,threw,the plastic,into the trash can.
1,no,no,3,-wh_no_gap,I know,that,our mother said,her friend remarked,the park attendant reported,,your friend,threw,the plastic,into the trash can.
1,yes,yes,3,+wh_gap,I know,who,our mother said,her friend remarked,the park attendant reported,,,threw,the plastic,into the trash can.
1,yes,no,3,+wh_no_gap,I know,who,our mother said,her friend remarked,the park attendant reported,,your friend,threw,the plastic,into the trash can.
1,no,yes,4,-wh_gap,I know,that,our mother said,her friend remarked,the park attendant reported,the cop thinks,,threw,the plastic,into the trash can.
1,no,no,4,-wh_no_gap,I know,that,our mother said,her friend remarked,the park attendant reported,the cop thinks,your friend,threw,the plastic,into the trash can.
1,yes,yes,4,+wh_gap,I know,who,our mother said,her friend remarked,the park attendant reported,the cop thinks,,threw,the plastic,into the trash can.
1,yes,no,4,+wh_no_gap,I know,who,our mother said,her friend remarked,the park attendant reported,the cop thinks,your friend,threw,the plastic,into the trash can.
10,no,yes,0,-wh_gap,The newspaper reported,that,,,,,,sold,a car,to his friend.
10,no,no,0,-wh_no_gap,The newspaper reported,that,,,,,the boss,sold,a car,to his friend.
10,yes,yes,0,+wh_gap,The newspaper reported,who,,,,,,sold,a car,to his friend.
10,yes,no,0,+wh_no_gap,The newspaper reported,who,,,,,the boss,sold,a car,to his friend.
10,no,yes,1,-wh_gap,The newspaper reported,that,the investigator thought,,,,,sold,a car,to his friend.
10,no,no,1,-wh_no_gap,The newspaper reported,that,the investigator thought,,,,the boss,sold,a car,to his friend.
10,yes,yes,1,+wh_gap,The newspaper reported,who,the investigator thought,,,,,sold,a car,to his friend.
10,yes,no,1,+wh_no_gap,The newspaper reported,who,the investigator thought,,,,the boss,sold,a car,to his friend.
10,no,yes,2,-wh_gap,The newspaper reported,that,the investigator thought,the businessman believed,,,,sold,a car,to his friend.
10,no,no,2,-wh_no_gap,The newspaper reported,that,the investigator thought,the businessman believed,,,the boss,sold,a car,to his friend.
10,yes,yes,2,+wh_gap,The newspaper reported,who,the investigator thought,the businessman believed,,,,sold,a car,to his friend.
10,yes,no,2,+wh_no_gap,The newspaper reported,who,the investigator thought,the businessman believed,,,the boss,sold,a car,to his friend.
10,no,yes,3,-wh_gap,The newspaper reported,that,the investigator thought,the businessman believed,the banker said,,,sold,a car,to his friend.
10,no,no,3,-wh_no_gap,The newspaper reported,that,the investigator thought,the businessman believed,the banker said,,the boss,sold,a car,to his friend.
10,yes,yes,3,+wh_gap,The newspaper reported,who,the investigator thought,the businessman believed,the banker said,,,sold,a car,to his friend.
10,yes,no,3,+wh_no_gap,The newspaper reported,who,the investigator thought,the businessman believed,the banker said,,the boss,sold,a car,to his friend.
10,no,yes,4,-wh_gap,The newspaper reported,that,the investigator thought,the businessman believed,the banker said,his friend believes,,sold,a car,to his friend.
10,no,no,4,-wh_no_gap,The newspaper reported,that,the investigator thought,the businessman believed,the banker said,his friend believes,the boss,sold,a car,to his friend.
10,yes,yes,4,+wh_gap,The newspaper reported,who,the investigator thought,the businessman believed,the banker said,his friend believes,,sold,a car,to his friend.
10,yes,no,4,+wh_no_gap,The newspaper reported,who,the investigator thought,the businessman believed,the banker said,his friend believes,the boss,sold,a car,to his friend.
11,no,yes,0,-wh_gap,Her friend found out,that,,,,,,told,a story,to the guests.
11,no,no,0,-wh_no_gap,Her friend found out,that,,,,,the visitor,told,a story,to the guests.
11,yes,yes,0,+wh_gap,Her friend found out,who,,,,,,told,a story,to the guests.
11,yes,no,0,+wh_no_gap,Her friend found out,who,,,,,the visitor,told,a story,to the guests.
11,no,yes,1,-wh_gap,Her friend found out,that,my friend believed,,,,,told,a story,to the guests.
11,no,no,1,-wh_no_gap,Her friend found out,that,my friend believed,,,,the visitor,told,a story,to the guests.
11,yes,yes,1,+wh_gap,Her friend found out,who,my friend believed,,,,,told,a story,to the guests.
11,yes,no,1,+wh_no_gap,Her friend found out,who,my friend believed,,,,the visitor,told,a story,to the guests.
11,no,yes,2,-wh_gap,Her friend found out,that,my friend believed,the professor said,,,,told,a story,to the guests.
11,no,no,2,-wh_no_gap,Her friend found out,that,my friend believed,the professor said,,,the visitor,told,a story,to the guests.
11,yes,yes,2,+wh_gap,Her friend found out,who,my friend believed,the professor said,,,,told,a story,to the guests.
11,yes,no,2,+wh_no_gap,Her friend found out,who,my friend believed,the professor said,,,the visitor,told,a story,to the guests.
11,no,yes,3,-wh_gap,Her friend found out,that,my friend believed,the professor said,his colleague noticed,,,told,a story,to the guests.
11,no,no,3,-wh_no_gap,Her friend found out,that,my friend believed,the professor said,his colleague noticed,,the visitor,told,a story,to the guests.
11,yes,yes,3,+wh_gap,Her friend found out,who,my friend believed,the professor said,his colleague noticed,,,told,a story,to the guests.
11,yes,no,3,+wh_no_gap,Her friend found out,who,my friend believed,the professor said,his colleague noticed,,the visitor,told,a story,to the guests.
11,no,yes,4,-wh_gap,Her friend found out,that,my friend believed,the professor said,his colleague noticed,their students recalled,,told,a story,to the guests.
11,no,no,4,-wh_no_gap,Her friend found out,that,my friend believed,the professor said,his colleague noticed,their students recalled,the visitor,told,a story,to the guests.
11,yes,yes,4,+wh_gap,Her friend found out,who,my friend believed,the professor said,his colleague noticed,their students recalled,,told,a story,to the guests.
11,yes,no,4,+wh_no_gap,Her friend found out,who,my friend believed,the professor said,his colleague noticed,their students recalled,the visitor,told,a story,to the guests.
12,no,yes,0,-wh_gap,I realized,that,,,,,,saw,a painting,at the museum.
12,no,no,0,-wh_no_gap,I realized,that,,,,,the suffering artist,saw,a painting,at the museum.
12,yes,yes,0,+wh_gap,I realized,who,,,,,,saw,a painting,at the museum.
12,yes,no,0,+wh_no_gap,I realized,who,,,,,the suffering artist,saw,a painting,at the museum.
12,no,yes,1,-wh_gap,I realized,that,the painter believed,,,,,saw,a painting,at the museum.
12,no,no,1,-wh_no_gap,I realized,that,the painter believed,,,,the suffering artist,saw,a painting,at the museum.
12,yes,yes,1,+wh_gap,I realized,who,the painter believed,,,,,saw,a painting,at the museum.
12,yes,no,1,+wh_no_gap,I realized,who,the painter believed,,,,the suffering artist,saw,a painting,at the museum.
12,no,yes,2,-wh_gap,I realized,that,the painter believed,his rival suspected,,,,saw,a painting,at the museum.
12,no,no,2,-wh_no_gap,I realized,that,the painter believed,his rival suspected,,,the suffering artist,saw,a painting,at the museum.
12,yes,yes,2,+wh_gap,I realized,who,the painter believed,his rival suspected,,,,saw,a painting,at the museum.
