sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,embedding_4,subject,verb,object,continuation,main_clause_surprisal,main_clause_surprisal_mean,complementiser_surprisal,complementiser_surprisal_mean,embedding_1_surprisal,embedding_1_surprisal_mean,embedding_2_surprisal,embedding_2_surprisal_mean,embedding_3_surprisal,embedding_3_surprisal_mean,subject_surprisal,subject_surprisal_mean,verb_surprisal,verb_surprisal_mean,object_surprisal,object_surprisal_mean,continuation_surprisal,continuation_surprisal_mean,semi_local_surprisal_mean,global_surprisal_mean,local_surprisal
1,no,yes,0,-wh_gap,I know,that,,,,,,threw,the plastic,into the trash can.,0.0,3.139138,2.352433,2.352433,,,,,,,,,21.288067,21.288067,2.671074,7.3562259999999995,4.248507,5.7329825,8.418921285714287,6.7563158,21.288067
1,no,no,0,-wh_no_gap,I know,that,,,,,your friend,threw,the plastic,into the trash can.,0.0,3.139138,2.352433,2.352433,,,,,,,9.241128,8.577377,13.686808,13.686808,2.886432,7.135818,4.947669,6.1535530000000005,7.747489999999999,6.52984325,9.241128
1,yes,yes,0,+wh_gap,I know,who,,,,,,threw,the plastic,into the trash can.,0.0,3.139138,6.580016,6.580016,,,,,,,,,14.399495,14.399495,2.528711,7.254809,5.304676,5.782997,7.434443,6.4899393000000005,14.399495
1,yes,no,0,+wh_no_gap,I know,who,,,,,your friend,threw,the plastic,into the trash can.,0.0,3.139138,6.580016,6.580016,,,,,,,10.622782,8.4015725,12.818234,12.818234,3.274189,7.772995,6.196071,6.146719,7.750471666666666,6.884378083333332,10.622782
1,no,yes,1,-wh_gap,I know,that,our mother said,,,,,threw,the plastic,into the trash can.,0.0,3.139138,2.352433,2.352433,8.541259,8.674515666666666,,,,,,,21.493061,21.493061,3.105338,7.236496,5.066407,5.9875152499999995,8.559444857142855,7.274643846153846,21.493061
1,no,no,1,-wh_no_gap,I know,that,our mother said,,,,your friend,threw,the plastic,into the trash can.,0.0,3.139138,2.352433,2.352433,8.541259,8.674515666666666,,,,,12.143874,9.5482265,12.653158,12.653158,3.318855,7.389321000000001,5.283202,6.3745835,8.002954111111112,7.112056200000001,12.143874
1,yes,yes,1,+wh_gap,I know,who,our mother said,,,,,threw,the plastic,into the trash can.,0.0,3.139138,6.580016,6.580016,11.02898,8.652342666666668,,,,,,,17.591938,17.591938,3.227876,7.648913,5.636511,6.19275575,8.237255285714285,7.421239,17.591938
1,yes,no,1,+wh_no_gap,I know,who,our mother said,,,,your friend,threw,the plastic,into the trash can.,0.0,3.139138,6.580016,6.580016,11.02898,8.652342666666668,,,,,11.853222,9.2569105,12.513227,12.513227,3.784674,7.751346999999999,5.502107,6.195744,7.923635333333333,7.3418692,11.853222
1,no,yes,2,-wh_gap,I know,that,our mother said,her friend remarked,,,,threw,the plastic,into the trash can.,0.0,3.139138,2.352433,2.352433,8.541259,8.674515666666666,7.237803,9.628442333333334,,,,,22.330013,22.330013,2.694475,7.142812,5.92802,6.73331675,9.078414857142857,7.943030437500001,22.330013
1,no,no,2,-wh_no_gap,I know,that,our mother said,her friend remarked,,,your friend,threw,the plastic,into the trash can.,0.0,3.139138,2.352433,2.352433,8.541259,8.674515666666666,7.237803,9.628442333333334,,,16.045568,11.76071,12.494452,12.494452,3.600312,7.4663770000000005,5.189511,6.36015125,8.487692333333333,7.773822999999999,16.045568
