Requested backend docker is not compatible with model Official<ngram at docker://docker.io/cpllab/language-models:ngram>; using DockerBackend instead
sentence_id	token_id	token	surprisal
1	1	i	8.92268
1	2	know	6.35939
1	3	what	4.42758
1	4	the	4.74202
1	5	lion	13.8872
1	6	devoured	19.5026
1	7	yesterday	17.3229
1	8	</s>	23.8948
2	1	i	8.92268
2	2	know	6.35939
2	3	what	4.42758
2	4	the	4.74202
2	5	lion	13.8872
2	6	devoured	19.5026
2	7	a	10.1686
2	8	<unk>	6.95131
2	9	yesterday	17.4258
2	10	</s>	23.8866
3	1	i	8.92268
3	2	know	6.35939
3	3	that	3.01867
3	4	the	4.26664
3	5	lion	16.0779
3	6	devoured	19.5026
3	7	a	10.1686
3	8	<unk>	6.95131
3	9	yesterday	17.4258
3	10	</s>	23.8866
4	1	i	8.92268
4	2	know	6.35939
4	3	that	3.01867
4	4	the	4.26664
4	5	lion	16.0779
4	6	devoured	19.5026
4	7	yesterday	17.3229
4	8	</s>	23.8948
reading /opt/srilm/checkpoint/model.lm in binary format
