item,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,embedding_4,subject,verb,object,continuation,continuation_type
1,-wh_gap,I know,that,our mother said,her friend remarked,the park attendant reported,the cop thinks,your friend,threw,,into the trash can,PP
1,-wh_no_gap,I know,that,our mother said,her friend remarked,the park attendant reported,the cop thinks,your friend,threw,the plastic,into the trash can,PP
1,+wh_gap,I know,what,our mother said,her friend remarked,the park attendant reported,the cop thinks,your friend,threw,,into the trash can,PP
1,+wh_no_gap,I know,what,our mother said,her friend remarked,the park attendant reported,the cop thinks,your friend,threw,the plastic,into the trash can,PP
2,-wh_gap,The accountant knew,that,the security guard believed,his friend knew,the assistant reported,her colleague suspected,the secretary,introduced,,to her friend,PP
2,-wh_no_gap,The accountant knew,that,the security guard believed,his friend knew,the assistant reported,her colleague suspected,the secretary,introduced,the new woman,to her friend,PP
2,+wh_gap,The accountant knew,who,the security guard believed,his friend knew,the assistant reported,her colleague suspected,the secretary,introduced,,to her friend,PP
2,+wh_no_gap,The accountant knew,who,the security guard believed,his friend knew,the assistant reported,her colleague suspected,the secretary,introduced,the new woman,to her friend,PP
3,-wh_gap,The assistant told me,that,the man knew,his friend recalled,the woman said,her colleague saw,the pilot,sent,,to his family,PP
3,-wh_no_gap,The assistant told me,that,the man knew,his friend recalled,the woman said,her colleague saw,the pilot,sent,the package,to his family,PP
3,+wh_gap,The assistant told me,what,the man knew,his friend recalled,the woman said,her colleague saw,the pilot,sent,,to his family,PP
3,+wh_no_gap,The assistant told me,what,the man knew,his friend recalled,the woman said,her colleague saw,the pilot,sent,the package,to his family,PP
4,-wh_gap,We discovered,that,the delivery boy remarked,the worker said,the gardener knew,the maid remembers,the funny actor,told,,about the woman,PP
4,-wh_no_gap,We discovered,that,the delivery boy remarked,the worker said,the gardener knew,the maid remembers,the funny actor,told,a story,about the woman,PP
4,+wh_gap,We discovered,what,the delivery boy remarked,the worker said,the gardener knew,the maid remembers,the funny actor,told,,about the woman,PP
4,+wh_no_gap,We discovered,what,the delivery boy remarked,the worker said,the gardener knew,the maid remembers,the funny actor,told,a story,about the woman,PP
5,-wh_gap,The neighbors found out,that,her mother heard,the newspaper reported,the mayor said,his assistant saw,the young woman,bought,,for her parents,PP
5,-wh_no_gap,The neighbors found out,that,her mother heard,the newspaper reported,the mayor said,his assistant saw,the young woman,bought,a gift,for her parents,PP
5,+wh_gap,The neighbors found out,what,her mother heard,the newspaper reported,the mayor said,his assistant saw,the young woman,bought,,for her parents,PP
5,+wh_no_gap,The neighbors found out,what,her mother heard,the newspaper reported,the mayor said,his assistant saw,the young woman,bought,a gift,for her parents,PP
6,-wh_gap,My friend knows,that,the judge thought,the cop said,the man testified,his friend reported,the successful architect,handed,,for her mother,PP
6,-wh_no_gap,My friend knows,that,the judge thought,the cop said,the man testified,his friend reported,the successful architect,handed,an award,for her mother,PP
6,+wh_gap,My friend knows,what,the judge thought,the cop said,the man testified,his friend reported,the successful architect,handed,,for her mother,PP
6,+wh_no_gap,My friend knows,what,the judge thought,the cop said,the man testified,his friend reported,the successful architect,handed,an award,for her mother,PP
7,-wh_gap,The commissioner discovered,that,the report stated,the television host thought,the man reported,the lawyer said,the police detective,lent,,to the man,PP
7,-wh_no_gap,The commissioner discovered,that,the report stated,the television host thought,the man reported,the lawyer said,the police detective,lent,some money,to the man,PP
7,+wh_gap,The commissioner discovered,what,the report stated,the television host thought,the man reported,the lawyer said,the police detective,lent,,to the man,PP
7,+wh_no_gap,The commissioner discovered,what,the report stated,the television host thought,the man reported,the lawyer said,the police detective,lent,some money,to the man,PP
8,-wh_gap,We all know,that,the accountant said,his colleague recalled,the partners knew,their accountant suspects,the investor,repaid,,to the criminal kingpin,PP
8,-wh_no_gap,We all know,that,the accountant said,his colleague recalled,the partners knew,their accountant suspects,the investor,repaid,his debt,to the criminal kingpin,PP
8,+wh_gap,We all know,what,the accountant said,his colleague recalled,the partners knew,their accountant suspects,the investor,repaid,,to the criminal kingpin ,PP
8,+wh_no_gap,We all know,what,the accountant said,his colleague recalled,the partners knew,their accountant suspects,the investor,repaid,his debt,to the criminal kingpin ,PP
9,-wh_gap,I know,that,the secretary said,the journalist remarked,the workers said,their representatives think,the business man,promised,,to the factory workers,PP
9,-wh_no_gap,I know,that,the secretary said,the journalist remarked,the workers said,their representatives think,the business man,promised,a raise,to the factory workers,PP
9,+wh_gap,I know,what,the secretary said,the journalist remarked,the workers said,their representatives think,the business man,promised,,to the factory workers,PP
9,+wh_no_gap,I know,what,the secretary said,the journalist remarked,the workers said,their representatives think,the business man,promised,a raise,to the factory workers,PP
10,-wh_gap,The newspaper reported,that,the investigator thought,the businessman believed,the banker said,his friend believes,the boss,sold,,to his friend,PP
10,-wh_no_gap,The newspaper reported,that,the investigator thought,the businessman believed,the banker said,his friend believes,the boss,sold,a car,to his friend,PP
10,+wh_gap,The newspaper reported,what,the investigator thought,the businessman believed,the banker said,his friend believes,the boss,sold,,to his friend,PP
10,+wh_no_gap,The newspaper reported,what,the investigator thought,the businessman believed,the banker said,his friend believes,the boss,sold,a car,to his friend,PP
11,-wh_gap,Her friend found out,that,my friend believed,the professor said,his colleague noticed,their students recalled,the visitor,told,,to the guests,PP
11,-wh_no_gap,Her friend found out,that,my friend believed,the professor said,his colleague noticed,their students recalled,the visitor,told,a story,to the guests,PP
11,+wh_gap,Her friend found out,what,my friend believed,the professor said,his colleague noticed,their students recalled,the visitor,told,,to the guests,PP
11,+wh_no_gap,Her friend found out,what,my friend believed,the professor said,his colleague noticed,their students recalled,the visitor,told,a story,to the guests,PP
12,-wh_gap,I realized,that,the painter believed,his rival suspected,the man said,his friend recalls,the suffering artist,saw,,at the museum,PP
12,-wh_no_gap,I realized,that,the painter believed,his rival suspected,the man said,his friend recalls,the suffering artist,saw,a painting,at the museum,PP
12,+wh_gap,I realized,what,the painter believed,his rival suspected,the man said,his friend recalls,the suffering artist,saw,,at the museum,PP
12,+wh_no_gap,I realized,what,the painter believed,his rival suspected,the man said,his friend recalls,the suffering artist,saw,a painting,at the museum,PP
13,-wh_gap,The novel revealed,that,our friend thought,the reporter knows,her contact said,his friend saw,the young politician,said,,to his donors,PP
13,-wh_no_gap,The novel revealed,that,our friend thought,the reporter knows,her contact said,his friend saw,the young politician,said,something,to his donors,PP
13,+wh_gap,The novel revealed,what,our friend thought,the reporter knows,her contact said,his friend saw,the young politician,said,,to his donors,PP
13,+wh_no_gap,The novel revealed,what,our friend thought,the reporter knows,her contact said,his friend saw,the young politician,said,something,to his donors,PP
14,-wh_gap,We all know,that,my neighbor said,her associate knew,a friend thinks,her sister believes,the young professional,assembled,,for his parents,PP
14,-wh_no_gap,We all know,that,my neighbor said,her associate knew,a friend thinks,her sister believes,the young professional,assembled,the bed,for his parents,PP
14,+wh_gap,We all know,what,my neighbor said,her associate knew,a friend thinks,her sister believes,the young professional,assembled,,for his parents,PP
14,+wh_no_gap,We all know,what,my neighbor said,her associate knew,a friend thinks,her sister believes,the young professional,assembled,the bed,for his parents,PP
15,-wh_gap,I know,that,their friend said,the secretary believed,the worker thinks,his boss reported,the elderly lady,found,,on the bus,PP
15,-wh_no_gap,I know,that,their friend said,the secretary believed,the worker thinks,his boss reported,the elderly lady,found,a quarter,on the bus,PP
15,+wh_gap,I know,what,their friend said,the secretary believed,the worker thinks,his boss reported,the elderly lady,found,,on the bus,PP
15,+wh_no_gap,I know,what,their friend said,the secretary believed,the worker thinks,his boss reported,the elderly lady,found,a quarter,on the bus,PP
16,-wh_gap,My friends all know,that,her friend knew,the delivery man believed,the cop said,his partner recalled,the single mother,described,,to her friends,PP
16,-wh_no_gap,My friends all know,that,her friend knew,the delivery man believed,the cop said,his partner recalled,the single mother,described,her woes,to her friends,PP
16,+wh_gap,My friends all know,what,her friend knew,the delivery man believed,the cop said,his partner recalled,the single mother,described,,to her friends,PP
16,+wh_no_gap,My friends all know,what,her friend knew,the delivery man believed,the cop said,his partner recalled,the single mother,described,her woes,to her friends,PP
