sentence_id	token_id	token	surprisal
1	1	the	2.46696
1	2	assistant	15.2034
1	3	knew	15.6583
1	4	who	6.5865
1	5	impressed	13.5162
1	6	the	4.71827
1	7	director	12.3383
1	8	at	6.47196
1	9	the	1.8512
1	10	meeting	10.3209
1	11	.	4.36052
1	12	</s>	24.3093
2	1	the	2.46696
2	2	assistant	15.2034
2	3	knew	15.6583
2	4	who	6.5865
2	5	the	4.19838
2	6	secretary	12.9498
2	7	impressed	17.8356
2	8	the	3.86737
2	9	director	12.3383
2	10	at	6.47196
2	11	the	1.8512
2	12	meeting	10.3209
2	13	.	4.36052
2	14	</s>	24.3093
3	1	the	2.46696
3	2	assistant	15.2034
3	3	knew	15.6583
3	4	that	3.27732
3	5	impressed	15.3592
3	6	the	1.92461
3	7	director	12.3383
3	8	at	6.47196
3	9	the	1.8512
3	10	meeting	10.3209
3	11	.	4.36052
3	12	</s>	24.3093
4	1	the	2.46696
4	2	assistant	15.2034
4	3	knew	15.6583
4	4	that	3.27732
4	5	the	3.23771
4	6	secretary	12.5664
4	7	impressed	18.7121
4	8	the	3.86737
4	9	director	12.3383
4	10	at	6.47196
4	11	the	1.8512
4	12	meeting	10.3209
4	13	.	4.36052
4	14	</s>	24.3093
5	1	the	2.46696
5	2	assistant	15.2034
5	3	knew	15.6583
5	4	who	6.5865
5	5	the	4.19838
5	6	security	12.3762
5	7	guard	6.83755
5	8	said	11.4595
5	9	impressed	17.3005
5	10	the	3.86737
5	11	director	12.3383
5	12	at	6.47196
5	13	the	1.8512
5	14	meeting	10.3209
5	15	.	4.36052
5	16	</s>	24.3093
6	1	the	2.46696
6	2	assistant	15.2034
6	3	knew	15.6583
6	4	who	6.5865
6	5	the	4.19838
6	6	security	12.3762
6	7	guard	6.83755
6	8	said	11.4595
6	9	the	4.51729
6	10	secretary	13.1325
6	11	impressed	17.8356
6	12	the	3.86737
6	13	director	12.3383
6	14	at	6.47196
6	15	the	1.8512
6	16	meeting	10.3209
6	17	.	4.36052
