sentence_id	token_id	token	surprisal
1	1	<|endoftext|>	0.0
1	2	I	5.770367
1	3	Ġknow	5.545733
1	4	Ġthat	2.74974
1	5	Ġyour	6.902938
1	6	Ġfriend	7.219469
1	7	Ġthrew	12.316039
1	8	Ġinto	8.807188
1	9	Ġthe	1.752751
1	10	Ġtrash	6.749094
1	11	Ġcan	3.301439
1	12	.	4.482284
1	13	<|endoftext|>	9.94659
2	1	<|endoftext|>	0.0
2	2	I	5.770367
2	3	Ġknow	5.545733
2	4	Ġthat	2.749727
2	5	Ġyour	6.902938
2	6	Ġfriend	7.219469
2	7	Ġthrew	12.316045
2	8	Ġthe	3.978974
2	9	Ġplastic	11.313429
2	10	Ġinto	6.671617
2	11	Ġthe	1.218964
2	12	Ġtrash	3.823729
2	13	Ġcan	2.613783
2	14	.	2.574317
2	15	<|endoftext|>	9.9038
3	1	<|endoftext|>	0.0
3	2	I	5.770367
3	3	Ġknow	5.545733
3	4	Ġwhat	4.510479
3	5	Ġyour	5.887208
3	6	Ġfriend	9.75916
3	7	Ġthrew	14.83393
3	8	Ġinto	5.530588
3	9	Ġthe	1.860435
3	10	Ġtrash	4.90201
3	11	Ġcan	1.703058
3	12	.	1.908352
3	13	<|endoftext|>	9.019782
4	1	<|endoftext|>	0.0
4	2	I	5.770367
4	3	Ġknow	5.545733
4	4	Ġwhat	4.510466
4	5	Ġyour	5.887208
4	6	Ġfriend	9.75916
4	7	Ġthrew	14.833954
4	8	Ġthe	6.894532
4	9	Ġplastic	11.92557
4	10	Ġinto	6.651918
4	11	Ġthe	1.749706
4	12	Ġtrash	3.660315
4	13	Ġcan	2.329419
4	14	.	1.700395
4	15	<|endoftext|>	8.796248
5	1	<|endoftext|>	0.0
5	2	I	5.770362
5	3	Ġknow	5.545699
5	4	Ġthat	2.74972
5	5	Ġour	8.916295
5	6	Ġmother	9.931917
5	7	Ġsaid	6.590502
5	8	Ġyour	10.290993
5	9	Ġfriend	9.176866
5	10	Ġthrew	11.575096
5	11	Ġinto	10.788204
5	12	Ġthe	1.2151
5	13	Ġtrash	5.318927
5	14	Ġcan	3.211241
5	15	.	3.461844
5	16	<|endoftext|>	10.52967
6	1	<|endoftext|>	0.0
6	2	I	5.770357
6	3	Ġknow	5.545684
6	4	Ġthat	2.749692
6	5	Ġour	8.916299
6	6	Ġmother	9.931918
6	7	Ġsaid	6.590503
6	8	Ġyour	10.290977
6	9	Ġfriend	9.176875
6	10	Ġthrew	11.575058
6	11	Ġthe	3.464657
6	12	Ġplastic	9.518383
6	13	Ġinto	6.906036
6	14	Ġthe	1.010771
6	15	Ġtrash	4.246688
6	16	Ġcan	2.89976
6	17	.	2.057055
6	18	<|endoftext|>	10.244484
7	1	<|endoftext|>	0.0
7	2	I	5.770362
7	3	Ġknow	5.545699
7	4	Ġwhat	4.510481
7	5	Ġour	12.808653
7	6	Ġmother	9.021479
7	7	Ġsaid	2.517088
7	8	Ġyour	13.992891
7	9	Ġfriend	7.915233
7	10	Ġthrew	12.569459
7	11	Ġinto	8.931998
7	12	Ġthe	1.196426
7	13	Ġtrash	4.586684
7	14	Ġcan	2.966646
7	15	.	2.154284
7	16	<|endoftext|>	8.691178
8	1	<|endoftext|>	0.0
8	2	I	5.770357
8	3	Ġknow	5.545684
8	4	Ġwhat	4.510475
8	5	Ġour	12.808654
8	6	Ġmother	9.021499
8	7	Ġsaid	2.517112
8	8	Ġyour	13.992892
8	9	Ġfriend	7.915233
8	10	Ġthrew	12.569473
8	11	Ġthe	3.377598
8	12	Ġplastic	9.539864
8	13	Ġinto	6.770061
8	14	Ġthe	0.99338
8	15	Ġtrash	3.882716
8	16	Ġcan	2.962774
8	17	.	1.670056
8	18	<|endoftext|>	8.344637
9	1	<|endoftext|>	0.0
9	2	I	5.770357
9	3	Ġknow	5.545684
9	4	Ġthat	2.749692
9	5	Ġour	8.916299
9	6	Ġmother	9.931918
9	7	Ġsaid	6.590503
9	8	Ġher	7.331433
9	9	Ġfriend	9.653595
9	10	Ġremarked	15.422551
9	11	Ġyour	12.03681
9	12	Ġfriend	4.945186
9	13	Ġthrew	12.127652
9	14	Ġinto	10.531254
9	15	Ġthe	1.102057
9	16	Ġtrash	4.991073
9	17	Ġcan	4.525955
9	18	.	3.136631
9	19	<|endoftext|>	10.685674
10	1	<|endoftext|>	0.0
10	2	I	5.770357
10	3	Ġknow	5.545684
10	4	Ġthat	2.749692
10	5	Ġour	8.916299
10	6	Ġmother	9.931918
10	7	Ġsaid	6.590503
10	8	Ġher	7.331433
10	9	Ġfriend	9.653595
10	10	Ġremarked	15.422551
10	11	Ġyour	12.03681
10	12	Ġfriend	4.945186
10	13	Ġthrew	12.127652
10	14	Ġthe	3.281126
10	15	Ġplastic	9.276717
10	16	Ġinto	7.27692
10	17	Ġthe	0.94254
10	18	Ġtrash	4.167905
10	19	Ġcan	3.224234
10	20	.	1.795994
10	21	<|endoftext|>	10.297295
11	1	<|endoftext|>	0.0
11	2	I	5.770357
11	3	Ġknow	5.545684
11	4	Ġwhat	4.510475
11	5	Ġour	12.808654
11	6	Ġmother	9.021499
11	7	Ġsaid	2.517112
11	8	Ġher	11.796743
11	9	Ġfriend	7.265095
11	10	Ġremarked	14.77128
11	11	Ġyour	11.49959
11	12	Ġfriend	4.394389
11	13	Ġthrew	12.072805
11	14	Ġinto	9.703758
11	15	Ġthe	1.166598
11	16	Ġtrash	4.646685
11	17	Ġcan	3.943959
11	18	.	2.473889
11	19	<|endoftext|>	9.124934
12	1	<|endoftext|>	0.0
12	2	I	5.770357
12	3	Ġknow	5.545684
12	4	Ġwhat	4.510475
12	5	Ġour	12.808654
12	6	Ġmother	9.021499
12	7	Ġsaid	2.517112
12	8	Ġher	11.796743
12	9	Ġfriend	7.265095
12	10	Ġremarked	14.77128
12	11	Ġyour	11.49959
12	12	Ġfriend	4.394389
12	13	Ġthrew	12.072805
12	14	Ġthe	3.235889
12	15	Ġplastic	9.243029
12	16	Ġinto	7.185461
12	17	Ġthe	0.952441
12	18	Ġtrash	3.808581
12	19	Ġcan	3.079724
12	20	.	1.624789
12	21	<|endoftext|>	8.701817
13	1	<|endoftext|>	0.0
13	2	I	5.770357
13	3	Ġknow	5.545684
13	4	Ġthat	2.749692
13	5	Ġour	8.916299
13	6	Ġmother	9.931918
13	7	Ġsaid	6.590503
13	8	Ġher	7.331433
13	9	Ġfriend	9.653595
13	10	Ġremarked	15.422551
13	11	Ġthe	7.058251
13	12	Ġpark	13.377457
13	13	Ġattendant	12.693683
13	14	Ġreported	12.190502
13	15	Ġyour	11.112687
13	16	Ġfriend	4.033353
13	17	Ġthrew	11.493462
13	18	Ġinto	10.922285
13	19	Ġthe	0.538585
13	20	Ġtrash	4.234048
13	21	Ġcan	4.603172
13	22	.	2.035815
13	23	<|endoftext|>	10.386116
14	1	<|endoftext|>	0.0
14	2	I	5.770357
14	3	Ġknow	5.545684
14	4	Ġthat	2.749692
14	5	Ġour	8.916299
14	6	Ġmother	9.931918
14	7	Ġsaid	6.590503
14	8	Ġher	7.331433
14	9	Ġfriend	9.653595
14	10	Ġremarked	15.422551
14	11	Ġthe	7.058251
14	12	Ġpark	13.377457
14	13	Ġattendant	12.693683
14	14	Ġreported	12.190502
14	15	Ġyour	11.112687
14	16	Ġfriend	4.033353
14	17	Ġthrew	11.493462
14	18	Ġthe	3.095572
14	19	Ġplastic	6.850482
14	20	Ġinto	8.142272
14	21	Ġthe	0.57896
14	22	Ġtrash	3.961717
14	23	Ġcan	3.038417
14	24	.	1.351829
14	25	<|endoftext|>	10.091271
15	1	<|endoftext|>	0.0
15	2	I	5.770357
15	3	Ġknow	5.545684
15	4	Ġwhat	4.510475
15	5	Ġour	12.808654
15	6	Ġmother	9.021499
15	7	Ġsaid	2.517112
15	8	Ġher	11.796743
15	9	Ġfriend	7.265095
15	10	Ġremarked	14.77128
15	11	Ġthe	6.961515
15	12	Ġpark	15.366804
15	13	Ġattendant	11.964203
15	14	Ġreported	11.798498
15	15	Ġyour	10.884739
15	16	Ġfriend	4.249016
15	17	Ġthrew	11.180098
15	18	Ġinto	10.57008
15	19	Ġthe	0.581085
15	20	Ġtrash	4.17208
15	21	Ġcan	4.397834
15	22	.	2.023603
15	23	<|endoftext|>	9.049437
16	1	<|endoftext|>	0.0
16	2	I	5.770357
16	3	Ġknow	5.545684
16	4	Ġwhat	4.510475
16	5	Ġour	12.808654
16	6	Ġmother	9.021499
16	7	Ġsaid	2.517112
16	8	Ġher	11.796743
16	9	Ġfriend	7.265095
16	10	Ġremarked	14.77128
16	11	Ġthe	6.961515
16	12	Ġpark	15.366804
16	13	Ġattendant	11.964203
16	14	Ġreported	11.798498
16	15	Ġyour	10.884739
16	16	Ġfriend	4.249016
16	17	Ġthrew	11.180098
16	18	Ġthe	3.023074
16	19	Ġplastic	6.916482
16	20	Ġinto	8.078101
16	21	Ġthe	0.601609
16	22	Ġtrash	3.827382
16	23	Ġcan	2.937573
16	24	.	1.354883
16	25	<|endoftext|>	8.700344
17	1	<|endoftext|>	0.0
17	2	I	5.770357
17	3	Ġknow	5.545684
17	4	Ġthat	2.749692
17	5	Ġour	8.916299
17	6	Ġmother	9.931918
17	7	Ġsaid	6.590503
17	8	Ġher	7.331433
17	9	Ġfriend	9.653595
17	10	Ġremarked	15.422551
17	11	Ġthe	7.058251
17	12	Ġpark	13.377457
17	13	Ġattendant	12.693683
17	14	Ġreported	12.190502
17	15	Ġyour	11.112687
17	16	Ġfriend	4.033353
17	17	Ġthrew	11.493462
17	18	Ġinto	10.922285
17	19	Ġthe	0.538585
17	20	Ġtrash	4.234048
17	21	Ġcan	4.603172
17	22	.	2.035815
17	23	<|endoftext|>	10.386116
18	1	<|endoftext|>	0.0
18	2	I	5.770357
18	3	Ġknow	5.545684
18	4	Ġthat	2.749692
18	5	Ġour	8.916299
18	6	Ġmother	9.931918
18	7	Ġsaid	6.590503
18	8	Ġher	7.331433
18	9	Ġfriend	9.653595
18	10	Ġremarked	15.422551
18	11	Ġthe	7.058251
18	12	Ġpark	13.377457
18	13	Ġattendant	12.693683
18	14	Ġreported	12.190502
18	15	Ġyour	11.112687
18	16	Ġfriend	4.033353
18	17	Ġthrew	11.493462
18	18	Ġthe	3.095572
18	19	Ġplastic	6.850482
18	20	Ġinto	8.142272
18	21	Ġthe	0.57896
18	22	Ġtrash	3.961717
18	23	Ġcan	3.038417
18	24	.	1.351829
18	25	<|endoftext|>	10.091271
19	1	<|endoftext|>	0.0
19	2	I	5.770357
19	3	Ġknow	5.545684
19	4	Ġwhat	4.510475
19	5	Ġour	12.808654
19	6	Ġmother	9.021499
19	7	Ġsaid	2.517112
19	8	Ġher	11.796743
19	9	Ġfriend	7.265095
19	10	Ġremarked	14.77128
19	11	Ġthe	6.961515
19	12	Ġpark	15.366804
19	13	Ġattendant	11.964203
19	14	Ġreported	11.798498
19	15	Ġyour	10.884739
19	16	Ġfriend	4.249016
19	17	Ġthrew	11.180098
19	18	Ġinto	10.57008
19	19	Ġthe	0.581085
19	20	Ġtrash	4.17208
19	21	Ġcan	4.397834
19	22	.	2.023603
19	23	<|endoftext|>	9.049437
20	1	<|endoftext|>	0.0
20	2	I	5.770357
20	3	Ġknow	5.545684
20	4	Ġwhat	4.510475
20	5	Ġour	12.808654
20	6	Ġmother	9.021499
20	7	Ġsaid	2.517112
20	8	Ġher	11.796743
20	9	Ġfriend	7.265095
20	10	Ġremarked	14.77128
20	11	Ġthe	6.961515
20	12	Ġpark	15.366804
20	13	Ġattendant	11.964203
20	14	Ġreported	11.798498
20	15	Ġyour	10.884739
20	16	Ġfriend	4.249016
20	17	Ġthrew	11.180098
20	18	Ġthe	3.023074
20	19	Ġplastic	6.916482
20	20	Ġinto	8.078101
20	21	Ġthe	0.601609
20	22	Ġtrash	3.827382
20	23	Ġcan	2.937573
20	24	.	1.354883
20	25	<|endoftext|>	8.700344
21	1	<|endoftext|>	0.0
21	2	The	4.729313
21	3	Ġnewspaper	13.263054
21	4	Ġreported	3.595349
21	5	Ġthat	0.76549
21	6	Ġthe	2.480994
21	7	Ġboss	11.282581
21	8	Ġsold	14.352079
21	9	Ġto	7.092157
21	10	Ġhis	6.162774
21	11	Ġfriend	6.208858
21	12	.	7.044309
21	13	<|endoftext|>	5.426068
22	1	<|endoftext|>	0.0
22	2	The	4.729313
22	3	Ġnewspaper	13.263054
22	4	Ġreported	3.595349
22	5	Ġthat	0.76549
22	6	Ġthe	2.480994
22	7	Ġboss	11.282601
22	8	Ġsold	14.352068
22	9	Ġa	3.998891
22	10	Ġcar	6.810201
22	11	Ġto	2.161944
22	12	Ġhis	5.407646
22	13	Ġfriend	5.145444
22	14	.	4.795877
22	15	<|endoftext|>	5.74548
23	1	<|endoftext|>	0.0
23	2	The	4.729313
23	3	Ġnewspaper	13.263054
23	4	Ġreported	3.595349
23	5	Ġwhat	10.905774
23	6	Ġthe	3.544712
23	7	Ġboss	10.857845
23	8	Ġsold	16.069564
23	9	Ġto	1.781652
23	10	Ġhis	4.341898
23	11	Ġfriend	6.673659
23	12	.	3.49184
23	13	<|endoftext|>	5.481655
24	1	<|endoftext|>	0.0
24	2	The	4.729313
24	3	Ġnewspaper	13.263054
24	4	Ġreported	3.595349
24	5	Ġwhat	10.905774
24	6	Ġthe	3.544712
24	7	Ġboss	10.857832
24	8	Ġsold	16.069547
24	9	Ġa	7.680442
24	10	Ġcar	7.397984
24	11	Ġto	1.168419
24	12	Ġhis	6.846966
24	13	Ġfriend	5.311182
24	14	.	2.9121
24	15	<|endoftext|>	5.788828
25	1	<|endoftext|>	0.0
25	2	The	4.729286
25	3	Ġnewspaper	13.263032
25	4	Ġreported	3.595366
25	5	Ġthat	0.765484
25	6	Ġthe	2.480973
25	7	Ġinvestigator	12.798558
25	8	Ġthought	11.463146
25	9	Ġthe	2.353279
25	10	Ġboss	12.726532
25	11	Ġsold	13.933994
25	12	Ġto	7.989907
25	13	Ġhis	5.206156
25	14	Ġfriend	5.727319
25	15	.	4.201789
25	16	<|endoftext|>	5.750031
26	1	<|endoftext|>	0.0
26	2	The	4.729281
26	3	Ġnewspaper	13.263024
26	4	Ġreported	3.595351
26	5	Ġthat	0.765479
26	6	Ġthe	2.480964
26	7	Ġinvestigator	12.798575
26	8	Ġthought	11.463144
26	9	Ġthe	2.353284
26	10	Ġboss	12.726528
26	11	Ġsold	13.933986
26	12	Ġa	4.488002
26	13	Ġcar	5.661609
26	14	Ġto	1.868136
26	15	Ġhis	5.060585
26	16	Ġfriend	5.057851
26	17	.	2.958801
26	18	<|endoftext|>	5.967517
27	1	<|endoftext|>	0.0
27	2	The	4.729286
27	3	Ġnewspaper	13.263032
27	4	Ġreported	3.595366
27	5	Ġwhat	10.905768
27	6	Ġthe	3.544714
27	7	Ġinvestigator	11.594991
27	8	Ġthought	8.478196
27	9	Ġthe	6.641341
27	10	Ġboss	12.349862
27	11	Ġsold	15.222195
27	12	Ġto	1.949966
27	13	Ġhis	4.16243
27	14	Ġfriend	5.875654
27	15	.	2.188397
27	16	<|endoftext|>	6.149139
28	1	<|endoftext|>	0.0
28	2	The	4.729281
28	3	Ġnewspaper	13.263024
28	4	Ġreported	3.595351
28	5	Ġwhat	10.905762
28	6	Ġthe	3.544728
28	7	Ġinvestigator	11.594989
28	8	Ġthought	8.478208
28	9	Ġthe	6.641352
28	10	Ġboss	12.349857
28	11	Ġsold	15.222208
28	12	Ġa	6.911505
28	13	Ġcar	5.70378
28	14	Ġto	1.525848
28	15	Ġhis	6.115352
28	16	Ġfriend	5.049455
28	17	.	2.074591
28	18	<|endoftext|>	6.296788
29	1	<|endoftext|>	0.0
29	2	The	4.729281
29	3	Ġnewspaper	13.263024
29	4	Ġreported	3.595351
29	5	Ġthat	0.765479
29	6	Ġthe	2.480964
29	7	Ġinvestigator	12.798575
29	8	Ġthought	11.463144
29	9	Ġthe	2.353284
29	10	Ġbusinessman	11.015749
29	11	Ġbelieved	9.365991
29	12	Ġthe	2.532215
29	13	Ġboss	12.315114
29	14	Ġsold	12.370012
29	15	Ġto	8.087382
29	16	Ġhis	4.679973
29	17	Ġfriend	5.962396
29	18	.	3.891163
29	19	<|endoftext|>	5.486487
30	1	<|endoftext|>	0.0
30	2	The	4.729281
30	3	Ġnewspaper	13.263024
30	4	Ġreported	3.595351
30	5	Ġthat	0.765479
30	6	Ġthe	2.480964
30	7	Ġinvestigator	12.798575
30	8	Ġthought	11.463144
30	9	Ġthe	2.353284
30	10	Ġbusinessman	11.015749
30	11	Ġbelieved	9.365991
30	12	Ġthe	2.532215
30	13	Ġboss	12.315114
30	14	Ġsold	12.370012
30	15	Ġa	4.923584
30	16	Ġcar	5.133059
