sentence_group,wh,gap,levels_of_embedding,condition,main_clause,complementiser,embedding_1,embedding_2,embedding_3,embedding_4,subject,verb,object,continuation,main_clause_surprisal,main_clause_surprisal_mean,complementiser_surprisal,complementiser_surprisal_mean,embedding_1_surprisal,embedding_1_surprisal_mean,embedding_2_surprisal,embedding_2_surprisal_mean,embedding_3_surprisal,embedding_3_surprisal_mean,subject_surprisal,subject_surprisal_mean,verb_surprisal,verb_surprisal_mean,object_surprisal,object_surprisal_mean,continuation_surprisal,continuation_surprisal_mean,semi_local_surprisal_mean,global_surprisal_mean
54,no,yes,0,-wh_gap,They reported,that,,,,,,could have promoted,the accountant,last quarter.,0.0,5.2062265,1.780984,1.780984,,,,,,,,,14.058225,10.584244333333332,1.462504,10.560454499999999,15.678619,12.5435105,11.137237571428571,9.01541
54,no,no,0,-wh_no_gap,They reported,that,,,,,the boss,could have promoted,the accountant,last quarter.,0.0,5.2062265,1.780984,1.780984,,,,,,,1.89322,8.566491000000001,4.987105,7.276038666666667,1.503596,10.452349000000002,15.588111,12.352606999999999,9.396778888888889,8.063703916666666
54,yes,yes,0,+wh_gap,They reported,who,,,,,,could have promoted,the accountant,last quarter.,0.0,5.2062265,11.821813,11.821813,,,,,,,,,6.14351,7.4964173333333335,1.446931,10.493115999999999,15.650681,12.1832585,9.691714428571428,9.0076267
54,yes,no,0,+wh_no_gap,They reported,who,,,,,the boss,could have promoted,the accountant,last quarter.,0.0,5.2062265,11.821813,11.821813,,,,,,,7.229744,11.068461,5.074233,6.866776000000001,5.784883,11.9512945,15.359127,12.5921695,10.202686444444444,9.504870333333335
54,no,yes,1,-wh_gap,They reported,that,the man said,,,,,could have promoted,the accountant,last quarter.,0.0,5.2062265,1.780984,1.780984,1.89322,6.592964666666667,,,,,,,9.33667,8.476409666666667,1.778742,10.367937000000001,15.698484,12.730431,10.232280714285716,7.969099692307694
54,no,no,1,-wh_no_gap,They reported,that,the man said,,,,the boss,could have promoted,the accountant,last quarter.,0.0,5.2062265,1.780984,1.780984,1.89322,6.592964666666667,,,,,4.605371,9.4124205,5.48197,7.386678333333333,1.64784,10.031480499999999,15.464504,12.3619965,9.530203333333333,7.849610733333334
54,yes,yes,1,+wh_gap,They reported,who,the man said,,,,,could have promoted,the accountant,last quarter.,0.0,5.2062265,11.821813,11.821813,7.229744,7.604829333333334,,,,,,,7.581649,7.954815666666666,1.757004,10.4818375,15.722594,12.5507775,9.989953857142856,8.844494692307693
54,yes,no,1,+wh_no_gap,They reported,who,the man said,,,,the boss,could have promoted,the accountant,last quarter.,0.0,5.2062265,11.821813,11.821813,7.229744,7.604829333333334,,,,,6.105996,10.1307055,5.669885,7.420931333333333,2.771923,10.6208565,15.2795,12.2265455,9.80211211111111,8.884517533333334
54,no,yes,2,-wh_gap,They reported,that,the man said,the old woman told him,,,,could have promoted,the accountant,last quarter.,0.0,5.2062265,1.780984,1.780984,1.89322,6.592964666666667,4.605371,5.6659158000000005,,,,,13.262743,10.39331,1.973507,10.267171000000001,15.898722,12.914411999999999,11.077585142857142,7.65805588888889
54,no,no,2,-wh_no_gap,They reported,that,the man said,the old woman told him,,,the boss,could have promoted,the accountant,last quarter.,0.0,5.2062265,1.780984,1.780984,1.89322,6.592964666666667,4.605371,5.6659158000000005,,,5.062836,10.286262,4.424331,7.271268333333333,1.922299,10.0634445,15.666544,12.6949455,9.76701211111111,7.41025095
54,yes,yes,2,+wh_gap,They reported,who,the man said,the old woman told him,,,,could have promoted,the accountant,last quarter.,0.0,5.2062265,11.821813,11.821813,7.229744,7.604829333333334,6.105996,5.9048728,,,,,10.261149,9.358491333333333,2.45416,10.640677,15.510133,12.730920999999999,10.688381428571429,8.299543777777778
54,yes,no,2,+wh_no_gap,They reported,who,the man said,the old woman told him,,,the boss,could have promoted,the accountant,last quarter.,0.0,5.2062265,11.821813,11.821813,7.229744,7.604829333333334,6.105996,5.9048728,,,5.879863,10.549299000000001,4.913995,7.259848000000001,5.681216,11.9618475,15.089994,12.676387,10.23940122222222,8.33638645
54,no,yes,3,-wh_gap,They reported,that,the man said,the old woman told him,she knew,,,could have promoted,the accountant,last quarter.,0.0,5.2062265,1.780984,1.780984,1.89322,6.592964666666667,4.605371,5.6659158000000005,4.404286,5.622662,,,14.137612,10.932501666666667,2.156481,10.4709255,15.731109,12.865275,11.352843714285715,7.550856999999999
54,no,no,3,-wh_no_gap,They reported,that,the man said,the old woman told him,she knew,,the boss,could have promoted,the accountant,last quarter.,0.0,5.2062265,1.780984,1.780984,1.89322,6.592964666666667,4.605371,5.6659158000000005,4.404286,5.622662,3.435165,9.3389895,5.083458,7.479841333333333,2.089418,10.412649000000002,15.974133,12.9395505,9.75798911111111,7.244051636363636
54,yes,yes,3,+wh_gap,They reported,who,the man said,the old woman told him,she knew,,,could have promoted,the accountant,last quarter.,0.0,5.2062265,11.821813,11.821813,7.229744,7.604829333333334,6.105996,5.9048728,5.853952,5.6831075,,,10.237205,9.462525333333334,2.338814,10.5678255,15.476512,12.6977675,10.702680285714285,8.042904750000002
54,yes,no,3,+wh_no_gap,They reported,who,the man said,the old woman told him,she knew,,the boss,could have promoted,the accountant,last quarter.,0.0,5.2062265,11.821813,11.821813,7.229744,7.604829333333334,6.105996,5.9048728,5.853952,5.6831075,4.061439,9.6427385,5.304705,7.574421666666667,2.145902,10.516961,15.793547,12.773879,9.843380222222223,7.933170681818182
54,no,yes,4,-wh_gap,They reported,that,the man said,the old woman told him,she knew,he noticed,,could have promoted,the accountant,last quarter.,0.0,5.2062265,1.780984,1.780984,1.89322,6.592964666666667,4.605371,5.6659158000000005,4.404286,5.622662,,,14.137612,10.932501666666667,2.156481,10.4709255,15.731109,12.865275,11.352843714285715,7.550856999999999
