,sentence_start,condition,levels_of_embedding,sentence_id,next_token_POS
0,I know that,-wh_no_gap,0,1,PRON
1,I know that,-wh_no_gap,0,1,NUM
2,I know that,-wh_no_gap,0,1,PRON
3,I know that,-wh_no_gap,0,1,PRON
4,I know that,-wh_no_gap,0,1,PRON
5,I know that,-wh_no_gap,0,1,PRON
6,I know that,-wh_no_gap,0,1,PRON
7,I know that,-wh_no_gap,0,1,NOUN
8,I know that,-wh_no_gap,0,1,PRON
9,I know that,-wh_no_gap,0,1,PRON
10,I know that,-wh_no_gap,0,1,ADP
11,I know that,-wh_no_gap,0,1,PRON
12,I know that,-wh_no_gap,0,1,PUNCT
13,I know that,-wh_no_gap,0,1,PRON
14,I know that,-wh_no_gap,0,1,PUNCT
15,I know that,-wh_no_gap,0,1,X
16,I know that,-wh_no_gap,0,1,PRON
17,I know that,-wh_no_gap,0,1,PRON
18,I know that,-wh_no_gap,0,1,ADP
19,I know that,-wh_no_gap,0,1,ADP
20,I know that,-wh_no_gap,0,1,PRON
21,I know that,-wh_no_gap,0,1,PRON
22,I know that,-wh_no_gap,0,1,PRON
23,I know that,-wh_no_gap,0,1,PRON
24,I know that,-wh_no_gap,0,1,PROPN
25,I know that,-wh_no_gap,0,1,PRON
26,I know that,-wh_no_gap,0,1,PRON
27,I know that,-wh_no_gap,0,1,PRON
28,I know that,-wh_no_gap,0,1,PRON
29,I know that,-wh_no_gap,0,1,NOUN
30,I know that,-wh_no_gap,0,1,PRON
31,I know that,-wh_no_gap,0,1,PROPN
32,I know that,-wh_no_gap,0,1,PRON
33,I know that,-wh_no_gap,0,1,SCONJ
34,I know that,-wh_no_gap,0,1,PRON
35,I know that,-wh_no_gap,0,1,PRON
36,I know that,-wh_no_gap,0,1,X
37,I know that,-wh_no_gap,0,1,NUM
38,I know that,-wh_no_gap,0,1,PRON
39,I know that,-wh_no_gap,0,1,PRON
40,I know that,-wh_no_gap,0,1,PRON
41,I know that,-wh_no_gap,0,1,PRON
42,I know that,-wh_no_gap,0,1,PRON
43,I know that,-wh_no_gap,0,1,PRON
44,I know that,-wh_no_gap,0,1,PRON
45,I know that,-wh_no_gap,0,1,PROPN
46,I know that,-wh_no_gap,0,1,PROPN
47,I know that,-wh_no_gap,0,1,PRON
48,I know that,-wh_no_gap,0,1,X
49,I know that,-wh_no_gap,0,1,PRON
50,I know that,-wh_no_gap,0,1,SCONJ
51,I know that,-wh_no_gap,0,1,NOUN
52,I know that,-wh_no_gap,0,1,PRON
53,I know that,-wh_no_gap,0,1,PRON
54,I know that,-wh_no_gap,0,1,PRON
55,I know that,-wh_no_gap,0,1,PRON
56,I know that,-wh_no_gap,0,1,PRON
57,I know that,-wh_no_gap,0,1,PRON
58,I know that,-wh_no_gap,0,1,NOUN
59,I know that,-wh_no_gap,0,1,PRON
60,I know that,-wh_no_gap,0,1,ADJ
61,I know that,-wh_no_gap,0,1,ADP
62,I know that,-wh_no_gap,0,1,PRON
63,I know that,-wh_no_gap,0,1,PRON
64,I know that,-wh_no_gap,0,1,PRON
65,I know that,-wh_no_gap,0,1,PRON
66,I know that,-wh_no_gap,0,1,PRON
67,I know that,-wh_no_gap,0,1,X
68,I know that,-wh_no_gap,0,1,VERB
69,I know that,-wh_no_gap,0,1,PRON
70,I know that,-wh_no_gap,0,1,PRON
